mouse kid,mouse liv
GO:1901379,GO:0009119
GO:0090263,GO:0006753
GO:0030705,GO:0140053
GO:0016054,GO:0006661
GO:0034101,GO:0044282
GO:0071496,GO:0008202
GO:0003018,GO:0006635
GO:0044282,GO:0055086
GO:0010827,GO:0019693
GO:0051650,GO:0006399
GO:2000045,GO:0045833
GO:0031669,GO:0050994
GO:0002262,GO:0044283
GO:0033157,GO:0009259
GO:1903364,GO:0005976
GO:0120161,GO:0007041
GO:1901605,GO:0009247
GO:0002690,GO:0006644
GO:1904950,GO:0007569
GO:0051222,GO:0008610
GO:0030004,GO:0051258
GO:1903844,GO:0030433
GO:0015849,GO:0034284
GO:0048193,GO:0042440
GO:2001243,GO:0019637
GO:0099173,GO:1902117
GO:0042542,GO:0061077
GO:2000060,GO:0062012
GO:1901800,GO:0046467
GO:0032370,GO:0090407
GO:0061041,GO:0090559
GO:0006401,GO:0043467
GO:1905954,GO:0046890
GO:0001101,GO:0030301
GO:0120162,GO:1902806
GO:1903793,GO:0034504
GO:0030278,GO:0036503
GO:0034767,GO:0006066
GO:0034764,GO:0009746
GO:0001525,GO:0009150
GO:0032868,GO:0072521
GO:0006644,GO:0017038
GO:0006402,GO:0006641
GO:0048660,GO:0006888
GO:0016050,GO:0042770
GO:0010970,GO:0006082
GO:0007034,GO:0071453
GO:0033500,GO:0006650
GO:0070201,GO:0006163
GO:0032368,GO:0150116
GO:0006605,GO:0072330
GO:0099175,GO:0019752
GO:0046467,GO:0046394
GO:0051648,GO:0015980
GO:0051928,GO:0045834
GO:1903829,GO:0016053
GO:0030335,GO:0006475
GO:0046434,GO:0018393
GO:0030177,GO:0009165
GO:1903034,GO:0009267
GO:1901342,GO:0008033
GO:0042593,GO:1901293
GO:0098656,GO:0046486
GO:0043266,GO:0007029
GO:0045765,GO:0009062
GO:0097746,GO:0043436
GO:0035296,GO:0019318
GO:0048754,GO:0019216
GO:0043547,GO:0000723
GO:0031668,GO:0032200
GO:1903052,GO:0044106
GO:0051224,GO:1903959
GO:0061136,GO:0044281
GO:1903827,GO:0046434
GO:0035150,GO:0009141
GO:1900180,GO:0007034
GO:0032388,GO:0009743
GO:0007623,GO:0009749
GO:0043270,GO:0036294
GO:0009100,GO:0018394
GO:0030334,GO:0006473
GO:0040017,GO:0006638
GO:2000147,GO:1905897
GO:1901653,GO:0034401
GO:0034655,GO:0071456
GO:0046700,GO:0006639
GO:0002793,GO:0019751
GO:0044262,GO:0035264
GO:0008360,GO:0046390
GO:0006486,GO:0019058
GO:0043413,GO:0006576
GO:0048872,GO:0032204
GO:0050921,GO:0007033
GO:0006650,GO:0048193
GO:1902806,GO:0045185
GO:0002687,GO:0006091
GO:0051223,GO:0006643
GO:0045834,GO:0042594
GO:0030307,GO:0043603
GO:0032880,GO:1903320
GO:0062013,GO:0032436
GO:0008610,GO:0048814
GO:0090316,GO:0006006
GO:0042060,GO:0016050
GO:0030336,GO:0044270
GO:0045598,GO:0009308
GO:0006520,GO:0046700
GO:0051272,GO:0001678
GO:0006066,GO:0009132
GO:0016197,GO:0006720
GO:0015931,GO:0043543
GO:0046486,GO:0031669
GO:0006403,GO:0032787
GO:0071702,GO:0006913
GO:0044070,GO:0051169
GO:0071375,GO:0006664
GO:0008361,GO:0016032
GO:0044255,GO:0034655
GO:0046890,GO:0044262
GO:0044270,GO:0034754
GO:0010256,GO:0071466
GO:0032386,GO:1903312
GO:0071705,GO:0017148
GO:0048545,GO:0009260
GO:0006820,GO:0016573
GO:0045766,GO:0044272
GO:1904018,GO:0006805
GO:0001822,GO:1903578
