"","RPZT00_1","RPZT00_2","RPZT02_1","RPZT02_2","RPZT04_1","RPZT04_2","RPZT06_1","RPZT06_2","RPZT08_1","RPZT08_2","RPZT10_1","RPZT10_2","RPZT12_1","RPZT12_2","RPZT14_1","RPZT14_2","RPZT16_1","RPZT16_2","RPZT18_1","RPZT18_2","RPZT20_1","RPZT20_2","RPZT22_1","RPZT22_2"
"ENSMUSG00000032239",9.398963,12.49898,8.448264,9.387633,9.464671,11.84171,9.68788,10.83183,9.071339,7.741682,9.307244,11.04067,8.593926,12.49873,10.9108,9.361107,11.7928,13.8136,8.525967,9.243566,8.913289,8.092037,9.017561,9.323823
"ENSMUSG00000040249",97.80118,100.5349,83.07239,94.19472,85.3594,84.76731,85.81771,114.7525,100.2657,97.9309,103.6725,76.38863,85.42842,97.38108,72.49188,80.78375,106.0479,96.57521,78.51494,67.7149,81.36081,69.00558,80.55367,75.55325
"ENSMUSG00000039089",1.74858,1.744782,1.779023,2.140358,1.421334,1.285007,1.518764,1.488918,1.680129,1.880404,1.398839,1.218578,2.073765,1.669651,2.13348,2.257747,2.871572,2.288308,2.667251,2.375529,1.905944,1.601632,1.295233,1.532589
"ENSMUSG00000040242",11.94594,9.357072,10.39918,12.01733,11.04961,11.09976,12.16029,10.74505,11.45002,12.31234,10.14289,12.65278,10.70279,12.74063,10.97267,11.91676,10.37107,11.62386,12.80143,9.087485,8.877965,9.373819,11.14125,11.5257
"ENSMUSG00000055319",10.56804,9.873402,9.63241,8.632412,8.005694,9.765324,8.525248,9.374424,9.799548,10.46615,10.39487,10.03656,12.17331,13.00209,12.12452,10.78259,10.32596,10.08319,8.595446,8.8461,7.997234,6.600351,8.319343,7.378069
"ENSMUSG00000050148",25.22781,22.49957,26.08798,26.03391,25.98926,21.1656,26.7925,24.63421,22.37291,21.63008,23.02319,17.32486,16.65851,17.86336,21.19699,20.41582,18.31345,19.15463,22.65588,18.29093,21.97692,20.37097,17.31704,23.05358
"ENSMUSG00000024273",5.765735,5.160969,5.208233,7.155597,5.774659,6.620558,6.101449,4.581074,5.523536,6.534743,4.86709,5.194654,5.285949,4.887106,5.136867,4.240625,5.656832,5.979074,5.578881,5.479523,5.713295,5.466858,5.900551,5.588039
"ENSMUSG00000055312",15.70839,17.53476,15.3364,16.69091,19.46229,19.96987,11.56518,17.07286,20.45509,13.67794,18.14154,9.606837,18.49399,15.4302,15.67245,17.6509,20.23842,17.69898,15.08755,18.09265,14.41895,21.07658,15.78862,12.13528
"ENSMUSG00000000266",0.972096,1.069836,1.126512,1.425399,1.428653,1.395273,1.402769,1.229588,1.09458,0.8647455,0.8521464,0.8808875,1.102155,1.071989,1.045889,0.930943,1.182998,0.9849929,1.42645,1.277854,1.411017,0.9456178,1.510004,1.382483
"ENSMUSG00000050144",8.636246,10.0477,8.094466,8.368896,7.306505,6.091656,6.35837,8.045499,10.47855,13.70661,10.76707,5.697613,11.55151,9.027517,11.23404,11.64506,10.61468,9.46035,11.27056,8.361312,9.742022,10.59438,8.251976,8.110142
"ENSMUSG00000061950",3.974931,4.098549,3.91094,3.881152,3.461812,3.042834,3.593194,3.976852,4.431321,4.000291,3.958571,4.071159,4.776512,4.456476,4.217694,4.559844,5.04366,4.563797,4.337312,4.828406,3.633365,3.970048,3.76022,3.206623
"ENSMUSG00000061959",92.99221,100.3636,97.06339,85.68712,96.3334,104.7392,113.6106,55.48836,67.66494,101.3652,78.00777,83.56846,95.94044,105.5152,89.19082,71.67098,64.65811,57.47711,109.1736,93.02482,108.5938,93.62658,135.9232,108.7736
"ENSMUSG00000056666",243.0054,216.9295,175.1728,219.4672,199.1957,174.3287,229.9117,208.9251,191.7059,173.2899,225.1127,156.3969,202.5752,216.9581,202.4911,135.8908,121.752,140.303,224.3897,233.8649,246.7296,248.662,282.1259,209.5198
"ENSMUSG00000059173",0.1145732,0.1681241,0.163413,0.07791328,0.3658714,0.2631196,0.3149204,0.1030555,0.1965858,0.4831796,0.4463811,0.2187551,0.08939508,0.3171058,0.1730114,0.1872604,0.2075247,0.4685567,0.2282416,0.2142016,0.3547849,0.2869581,0.2512548,0.3218613
"ENSMUSG00000047731",18.78095,16.03436,15.65946,18.04475,16.10871,13.86866,15.36929,15.9118,14.76957,11.13796,14.15382,10.17011,14.4317,16.44073,16.71533,19.3012,20.10133,17.12347,17.2896,16.18172,14.75946,13.89772,18.06217,16.54739
"ENSMUSG00000047735",2.542058,2.70198,3.907463,4.836712,3.361008,3.579358,2.791259,2.867025,2.644131,3.916,2.206577,2.428352,2.404775,2.228271,2.219647,2.050481,1.884698,2.135365,2.383959,2.166957,2.618455,2.870005,2.936553,2.730676
"ENSMUSG00000026280",18.7575,18.61412,17.30655,18.48491,17.62824,19.63205,18.83162,18.06338,19.04691,17.89065,15.194,17.2809,20.03069,19.0283,20.64348,18.90116,18.09129,18.34176,20.35724,20.85274,16.83453,18.5985,19.05665,20.67567
"ENSMUSG00000026283",4.690482,4.817949,4.088284,3.63268,4.992769,4.122532,5.801597,5.547152,4.396576,7.211733,6.497518,5.410647,4.168014,4.778062,3.698831,5.856124,4.405226,5.176125,4.22701,2.435872,4.438023,3.356485,4.825554,5.270636
"ENSMUSG00000024491",3.239794,3.531583,3.190579,3.245724,2.821573,2.494845,2.766917,2.792685,3.242673,2.897266,2.990293,3.362121,3.340346,3.562709,3.564357,3.333121,3.545363,3.37995,3.309321,3.28087,2.723046,3.394771,2.974407,2.53536
"ENSMUSG00000050965",1.928526,1.780103,1.796769,2.506573,2.085923,2.000146,1.308105,2.601985,2.481736,2.238215,2.108655,2.761606,1.274158,1.807898,1.296386,1.220134,1.324,1.771819,1.832389,1.424752,1.878237,1.402302,2.614818,2.280657
