mouse adr,mouse aor,mouse bfat,mouse bst,mouse cer,mouse hea,mouse hyp,mouse lun,mouse mus,mouse wat,mouse kid,mouse liv
GO:0030154,,GO:0001934,,,,,GO:0050778,GO:0060491,,GO:0051240,
GO:0050896,,GO:0051093,,,,,GO:0051248,GO:0050776,,GO:0010557,
GO:0009987,,GO:0051248,,,,,GO:0010629,GO:0033674,,GO:0006950,
GO:0065007,,GO:0023057,,,,,GO:0033043,GO:1901214,,GO:0010468,
,,GO:0043066,,,,,GO:0051239,GO:0033993,,GO:0007166,
,,GO:0044283,,,,,GO:0006954,GO:1901698,,GO:0009888,
,,GO:0043069,,,,,GO:0046907,GO:0032101,,GO:0010556,
,,GO:0043085,,,,,GO:0051046,GO:0022603,,GO:2000112,
,,GO:0016050,,,,,GO:0001817,GO:0043085,,GO:0019219,
,,GO:1903532,,,,,GO:0006935,GO:0051347,,GO:0007399,
,,GO:0007346,,,,,GO:0051093,GO:0071407,,GO:0032502,
,,GO:0032879,,,,,GO:0043066,GO:0001932,,GO:0051252,
,,GO:0009896,,,,,GO:0006812,GO:0042325,,GO:0048731,
,,GO:0019752,,,,,GO:0042330,GO:0008284,,GO:0007275,
,,GO:0042325,,,,,GO:0032989,GO:0048729,,GO:0048856,
,,GO:0045860,,,,,GO:0014070,GO:0048732,,GO:0009987,
,,GO:0051345,,,,,GO:0040008,GO:0051094,,GO:0065007,
,,GO:0032989,,,,,GO:0045596,GO:1901701,,GO:0008150,
,,GO:0051050,,,,,GO:0065008,GO:0008217,,,
,,GO:0044265,,,,,GO:1901699,GO:0034762,,,
,,GO:0044087,,,,,GO:0032990,GO:0051338,,,
,,GO:0043161,,,,,GO:0008283,GO:0071496,,,
,,GO:0055086,,,,,GO:0008610,GO:0045137,,,
,,GO:0032270,,,,,GO:0048858,GO:0043271,,,
,,GO:0051174,,,,,GO:0048523,GO:0051240,,,
,,GO:0010256,,,,,GO:0010942,GO:0044093,,,
,,GO:0035295,,,,,GO:0044419,GO:1901700,,,
,,GO:0019220,,,,,GO:0050776,GO:0002376,,,
,,GO:0008202,,,,,GO:0000904,GO:0032496,,,
,,GO:1901987,,,,,GO:0061061,GO:0031400,,,
,,GO:0009968,,,,,GO:0018193,GO:0060173,,,
,,GO:0046883,,,,,GO:0010035,GO:0048736,,,
,,GO:0040008,,,,,GO:0006950,GO:0002252,,,
,,GO:0061024,,,,,GO:0048519,GO:0051174,,,
,,GO:0010720,,,,,GO:0050793,GO:0031347,,,
,,GO:0042391,,,,,GO:0120039,GO:0006874,,,
,,GO:0001932,,,,,GO:0000902,GO:0002009,,,
,,GO:0009057,,,,,GO:0045595,GO:0051480,,,
,,GO:1903530,,,,,GO:0043068,GO:0019220,,,
,,GO:0051347,,,,,GO:0051094,GO:0009628,,,
,,GO:0051130,,,,,GO:0008104,GO:0001934,,,
,,GO:0033674,,,,,GO:0009605,GO:0072503,,,
,,GO:0001558,,,,,GO:0033036,GO:0031668,,,
,,GO:0009611,,,,,GO:0048522,GO:0045859,,,
,,GO:0051239,,,,,GO:0051641,GO:0031349,,,
,,GO:0051348,,,,,GO:0006810,GO:0016310,,,
,,GO:0030111,,,,,GO:0051649,GO:0051051,,,
,,GO:0051049,,,,,GO:0045597,GO:0010941,,,
,,GO:0072657,,,,,GO:0051173,GO:0044089,,,
,,GO:0006417,,,,,GO:0048812,GO:0043067,,,
,,GO:0010639,,,,,GO:0060429,GO:0042981,,,
,,GO:0045787,,,,,GO:1903827,GO:0035556,,,
,,GO:0009117,,,,,GO:1901575,GO:0045860,,,
,,GO:0051047,,,,,GO:0031325,GO:0010562,,,
,,GO:0051246,,,,,GO:0009893,GO:0045937,,,
,,GO:0032956,,,,,GO:0042127,GO:0030100,,,
,,GO:0050769,,,,,GO:0043086,GO:0044057,,,
,,GO:0035556,,,,,GO:0051179,GO:0042327,,,
,,GO:0051046,,,,,GO:0043065,GO:0014070,,,
,,GO:0050878,,,,,GO:0071702,GO:0031327,,,
,,GO:0015711,,,,,GO:0044057,GO:0001558,,,
,,GO:0043410,,,,,GO:0071705,GO:0034765,,,
,,GO:1902531,,,,,GO:0010604,GO:1902531,,,
,,GO:0007005,,,,,GO:0042221,GO:1902533,,,
,,GO:0010817,,,,,GO:0048518,GO:1903508,,,
,,GO:0070647,,,,,GO:0043207,GO:0045893,,,
,,GO:0032268,,,,,GO:0009607,GO:1902680,,,
,,GO:0048585,,,,,GO:0009888,GO:0071902,,,
,,GO:0022603,,,,,GO:0051234,GO:0031401,,,
,,GO:0050767,,,,,GO:0033554,GO:0009887,,,
,,GO:0010608,,,,,GO:0009056,GO:0009888,,,
