SDLEAF,SDM,SDVA
GO:0033692,GO:0033036,
GO:0043207,GO:0051234,
GO:0051707,GO:0051179,
GO:0009607,GO:0009056,
GO:0098542,GO:1901575,
GO:0010410,GO:0050896,
GO:0051704,GO:0006793,
GO:0098813,GO:0006796,
GO:0042742,GO:0044248,
GO:0009617,GO:0051716,
GO:0032786,GO:0050789,
GO:0032784,GO:0044249,
GO:0000075,GO:0009987,
GO:0000070,GO:0009058,
GO:0006354,GO:1901576,
GO:0007093,GO:0050794,
GO:0032968,GO:0065007,
GO:0006368,GO:0008150,
GO:0000279,GO:0044237,
GO:0098764,GO:0008152,
GO:0098762,GO:0071704,
GO:0051326,GO:1901564,
GO:0007134,GO:0044238,
GO:0007131,GO:0032446,
GO:0044848,GO:0006397,
GO:0007127,GO:0022618,
GO:0035825,GO:0016567,
GO:0022403,GO:0070647,
,GO:0071826,
,GO:0000398,
,GO:0000377,
,GO:0000375,
,GO:0008380,
,GO:0006310,
,GO:0009266,
,GO:0070646,
,GO:0030162,
,GO:0009651,
,GO:1901800,
,GO:0006970,
,GO:0032436,
,GO:1903052,
,GO:1903364,
,GO:0061136,
,GO:0045862,
,GO:0032434,
,GO:2000060,
,GO:1903050,
,GO:1903362,
,GO:2000058,
