KID,LIV
Klf11,Prdx3
Pten,Serpina7
Ankmy2,Ulk1
Cct3,Scn3a
Zfp354c,Hars2
Rnf128,Rab11fip4
Ppp2r1b,1110038D17Rik
Khdrbs2,Ahcyl1
Cacna1a,Dazap2
Prdx3,Spink5
Plin1,Arap1
Tmx1,Scamp3
Large,Dusp12
Ulk1,Krcc1
Rab11fip4,Smc5
1110038D17Rik,Hist1h2bm
Ahcyl1,Gpcpd1
Cacnb3,Shprh
Dazap2,Lsr
Arap1,Ptcd3
BC030499,Phka1
Pzp,Smarca4
Dusp12,Alkbh4
Clip4,Rad51l3
Plac9,Usp6nl
Itga6,Arf6
Tmem169,Nars2
Luc7l3,Stk38
Gpcpd1,Sertad1
Tex24,Lman2
Fabp4,Rqcd1
Lsr,Srprb
Phka1,Zfp78
Apex2,Hlcs
0610007P14Rik,Atxn3
Apobec2,Cby1
Smarca4,Abcg5
Lbr,Eif2s3x
Arf6,Zmiz1
Nars2,Afm
Stk38,Fbxo38
Lman2,Anxa7
Rqcd1,Magohb
Sft2d3,Ivd
Srprb,Ciz1
Sp4,Cask
Alg2,Ttc17
Ntn4,Bre
Cacna1d,Psmd11
S1pr3,Fam116b
Tha1,Rsad1
Eif2s3x,Lrp12
Nexn,Nfix
Zmiz1,Dclre1c
Afm,Leo1
Anxa7,Rabepk
Slc6a20a,1110008P14Rik
Mga,Dpp9
Cask,Ghitm
B3gnt8,Pomp
Nol11,Olfr77
Bre,Vipr1
Psmd11,Ndufa13
Rsad1,Tacc2
Gorasp1,Loxl4
Dclre1c,Golt1a
Leo1,Rxra
Pcyox1l,Gm2a
Plcg2,Mest
Rfc1,Cenpl
Rab1,Abca8b
Ghitm,Tmem63b
Hrasls5,Dcakd
Loxl4,Ppl
Creg2,Ndufb2
Gtf2h5,Wwp2
Abca8b,Tmem56
Rabgap1,Fam20a
Nlrx1,Zfat
Tmem63b,Pcyt1a
Penk,Lmod2
Wwp2,Ubxn2a
Tmem56,Slc25a37
Fam20a,Homez
Pcyt1a,Lnp
Kcnj10,Erlin2
Gpr35,Zbtb26
Ubxn2a,Card10
Lnp,Med24
Erlin2,Srr
Zbtb26,BC024978
Card10,2210016F16Rik
Med24,Arhgap21
Fam160a2,Esr1
Ap3b1,D2hgdh
Srr,Nudt9
Esr1,Klhdc7a
Prkg1,Snrpb2
Camsap2,Gm14296
Pkn2,Inhbb
Fam101b,Pkn2
Nktr,Vmo1
Chic1,Cecr5
Tnfrsf13c,Chic1
Nup205,4930523C07Rik
Tmem248,Chkb
Gm5887,Nup205
Pde3a,Tmem248
Cxcl10,Gm5887
Lad1,Puf60
Zfp738,Dhx35
Eif4ebp2,Cyp2d37-ps
Aif1l,Cxcl10
Ccrn4l,Lad1
Timm8b,Rab5a
Gmps,Tubb1
Greb1l,Ccrn4l
Ola1,Timm8b
Hebp2,Bbs2
Ccdc50,Slfn9
Ncstn,Atic
Prune,Rbmx
Ptges3,Ift172
Arhgap6,Ola1
Uxs1,4930447C04Rik
Olfr742,Wdr41
Tmem8b,Pofut1
Fam132a,Ccdc50
Ccdc101,Cyp26a1
Snrpe,Aldob
Lgals4,Arhgap6
Dpy19l3,Csf2rb
Angpt1,Uxs1
Dnaja1,Arfgap2
Ssbp4,Klf7
Cyp2j6,Ccdc101
Pde4b,Snrpe
Il1r1,Fam167a
Pop4,Ing1
Stxbp2,Dnaja1
Fkbp15,Slc22a18
Bhmt,Bdh1
Lgals12,Pop4
Ufm1,Stxbp2
4930579F01Rik,Scp2
Aoc3,Il1rn
Rps12,Fkbp15
Tle3,Bhmt
C1qtnf2,Dera
Ccdc108,Atp11c
Bcas3,Gpr19
Usp2,Tle3
Npat,Bcas3
Prkar2a,Usp2
Tomm34,Smc4
Orc2,Prkar2a
Lamtor1,Tomm34
Nras,Mipep
Tmem27,Lpgat1
Sdcbp,Lamtor1
Sesn3,Yy1
Ppp6c,Atp6v0a1
Tyw1,Ino80b
Dpp8,Kcnv2
Csrnp1,Bend7
Osgin2,Cdhr5
Cdc25b,Tnip2
Hpgd,Osgin2
Dmrt2,Lrrc8c
Dhdds,Pex5
Zfp706,Zfp706
Senp2,Mbp
Acvr1b,Phf14
Ipmk,Slc6a9
Taf1c,Trpd52l3
Eef2k,Tbck
Serpina1f,Med16
Aprt,Dsg1c
Phf14,Tjp3
Slc6a9,Rhoj
Cnpy2,Plp2
Tmem71,Dopey2
Med16,Sipa1
Klk1b1,Fam107a
Tjp3,Ift46
Rhoj,Ablim3
Ift46,Slc2a5
Slc2a5,Mettl25
Fam173b,Rere
Mettl25,Exosc9
Rere,Rab7l1
Art1,Aagab
Exosc9,Tm4sf1
Pcm1,Gm10716
Usp24,Plin3
B9d1,Ndufv3
Mettl4,B3galt1
Adamts5,Asnsd1
