SAMPLE2,SAMPLE6
YBR130C,YBR192W
YBR131W,YBR195C
YBR132C,YBR196C
YBR133C,YBR197C
YBR137W,YBR199W
YBR139W,YBR200W
YBR141C,YBR201C-A
YBR142W,YBR201W
YBR143C,YBR203W
YBR145W,YBR205W
YBR146W,YBR206W
YBR148W,YBR211C
YBR149W,YBR212W
YBR151W,YBR213W
YBR152W,YBR214W
YBR153W,YBR219C
YBR154C,YBR220C
YBR155W,YBR221C
YBR156C,YBR222C
YBR157C,YBR225W
YBR158W,YBR228W
YBR159W,YBR230C
YBR160W,YBR230W-A
YBR161W,YBR231C
YBR162C,YBR233W
YBR162W-A,YBR233W-A
YBR163W,YBR236C
YBR164C,YBR239C
YBR166C,YBR240C
YBR167C,YBR241C
YBR168W,YBR242W
YBR169C,YBR243C
YBR171W,YBR244W
YBR172C,YBR245C
YBR173C,YBR246W
YBR175W,YBR247C
YBR176W,YBR249C
YBR177C,YBR250W
YBR179C,YBR251W
YBR180W,YBR252W
YBR181C,YBR253W
YBR182C,YBR255C-A
YBR183W,YBR255W
YBR185C,YBR256C
YBR187W,YBR257W
YBR188C,YBR260C
YBR189W,YBR261C
YBR191W,YBR262C
YBR191W-A,YBR267W
YBR192W,YBR268W
YBR193C,YBR269C
YBR194W,YBR270C
YBR195C,YBR271W
YBR196C,YBR273C
YBR197C,YBR275C
YBR198C,YBR280C
YBR200W,YBR281C
YBR201C-A,YBR282W
YBR202W,YBR283C
YBR203W,YBR286W
YBR205W,YBR287W
YBR206W,YBR291C
YBR207W,YBR294W
YBR208C,YBR295W
YBR211C,YBR296C
YBR212W,YBR297W
YBR213W,YBR298C
YBR214W,YBR299W
YBR215W,YCL001W
YBR216C,YCL002C
YBR217W,YCL005W
YBR218C,YCL011C
YBR219C,YCL012C
YBR220C,YCL014W
YBR221C,YCL016C
YBR222C,YCL017C
YBR223C,YCL018W
YBR226C,YCL021W-A
YBR227C,YCL024W
YBR228W,YCL025C
YBR230C,YCL026C-B
YBR230W-A,YCL027W
YBR231C,YCL028W
YBR235W,YCL029C
YBR236C,YCL030C
YBR238C,YCL031C
YBR239C,YCL033C
YBR240C,YCL036W
YBR241C,YCL037C
YBR242W,YCL038C
YBR243C,YCL039W
YBR244W,YCL040W
YBR245C,YCL042W
YBR246W,YCL044C
YBR247C,YCL045C
YBR248C,YCL047C
YBR249C,YCL048W
YBR250W,YCL048W-A
YBR251W,YCL050C
YBR252W,YCL054W
YBR253W,YCL055W
YBR254C,YCL057C-A
YBR255C-A,YCL058C
YBR256C,YCL058W-A
YBR257W,YCL059C
YBR258C,YCL063W
YBR259W,YCL064C
YBR261C,YCR002C
YBR262C,YCR003W
YBR263W,YCR004C
YBR267W,YCR007C
YBR268W,YCR008W
YBR269C,YCR010C
YBR270C,YCR012W
YBR271W,YCR014C
YBR273C,YCR017C
YBR274W,YCR018C
YBR275C,YCR019W
YBR276C,YCR020C
YBR279W,YCR020C-A
YBR280C,YCR021C
YBR281C,YCR022C
YBR282W,YCR023C
YBR283C,YCR024C
YBR284W,YCR024C-A
YBR285W,YCR027C
YBR286W,YCR030C
YBR287W,YCR031C
YBR288C,YCR033W
YBR291C,YCR034W
YBR292C,YCR037C
YBR293W,YCR038C
YBR294W,YCR042C
YBR295W,YCR043C
YBR296C,YCR044C
YBR297W,YCR045W-A
YBR298C,YCR046C
YBR299W,YCR047C
YCL001W,YCR048W
YCL002C,YCR052W
YCL004W,YCR054C
YCL005W,YCR057C
YCL005W-A,YCR059C
YCL008C,YCR060W
YCL011C,YCR061W
YCL012C,YCR065W
YCL016C,YCR067C
YCL017C,YCR068W
YCL018W,YCR069W
YCL021W-A,YCR071C
YCL024W,YCR072C
YCL025C,YCR073C
YCL026C-A,YCR077C
YCL026C-B,YCR083W
YCL027W,YCR084C
YCL029C,YCR086W
YCL030C,YCR087C-A
YCL031C,YCR087W
YCL032W,YCR089W
YCL033C,YCR091W
YCL034W,YCR092C
YCL035C,YCR093W
YCL036W,YCR094W
YCL037C,YCR095W-A
YCL038C,YCR097W
YCL039W,YCR099C
YCL040W,YCR100C
YCL042W,YCR101C
YCL043C,YDL001W
YCL044C,YDL003W
YCL047C,YDL006W
YCL048W,YDL010W
YCL048W-A,YDL012C
YCL049C,YDL013W
YCL050C,YDL014W
YCL052C,YDL015C
YCL054W,YDL017W
YCL055W,YDL018C
YCL056C,YDL019C
YCL057C-A,YDL020C
YCL058C,YDL022C-A
YCL058W-A,YDL022W
YCL059C,YDL024C
YCL061C,YDL025C
YCL064C,YDL028C
YCR002C,YDL029W
YCR003W,YDL031W
YCR004C,YDL033C
YCR005C,YDL036C
YCR006C,YDL039C
YCR008W,YDL040C
YCR010C,YDL042C
YCR012W,YDL043C
YCR014C,YDL044C
YCR015C,YDL045C
YCR016W,YDL045W-A
YCR017C,YDL046W
YCR018C,YDL048C
YCR019W,YDL049C
YCR020C,YDL051W
YCR020C-A,YDL052C
YCR020W-B,YDL055C
YCR021C,YDL056W
YCR022C,YDL057W
YCR023C,YDL059C
YCR024C,YDL060W
YCR024C-A,YDL061C
YCR024C-B,YDL062W
YCR026C,YDL063C
YCR027C,YDL064W
YCR028C,YDL069C
YCR028C-A,YDL070W
YCR030C,YDL071C
YCR031C,YDL073W
YCR032W,YDL074C
YCR034W,YDL075W
YCR035C,YDL078C
YCR037C,YDL079C
YCR042C,YDL080C
YCR043C,YDL081C
YCR044C,YDL082W
YCR046C,YDL083C
YCR047C,YDL084W
YCR048W,YDL085C-A
YCR051W,YDL085W
YCR052W,YDL086W
YCR053W,YDL087C
YCR054C,YDL088C
YCR057C,YDL089W
YCR059C,YDL091C
YCR061W,YDL092W
YCR063W,YDL093W
YCR065W,YDL095W
YCR066W,YDL097C
YCR067C,YDL098C
YCR069W,YDL099W
YCR071C,YDL101C
YCR072C,YDL102W
YCR073C,YDL103C
YCR073W-A,YDL105W
YCR075C,YDL106C
YCR076C,YDL107W
YCR079W,YDL108W
YCR082W,YDL110C
YCR083W,YDL111C
YCR087C-A,YDL112W
YCR088W,YDL114W
YCR089W,YDL116W
YCR090C,YDL117W
YCR091W,YDL120W
YCR092C,YDL123W
YCR095C,YDL124W
YCR095W-A,YDL125C
YCR097W,YDL126C
YCR098C,YDL127W
YCR100C,YDL128W
YCR102C,YDL129W
YCR108C,YDL130W
YDL001W,YDL130W-A
YDL002C,YDL131W
YDL003W,YDL132W
YDL004W,YDL133W
YDL005C,YDL134C
YDL010W,YDL136W
YDL013W,YDL137W
YDL014W,YDL138W
YDL015C,YDL139C
YDL016C,YDL141W
YDL017W,YDL143W
YDL018C,YDL145C
YDL019C,YDL147W
YDL020C,YDL148C
YDL022C-A,YDL149W
YDL022W,YDL150W
YDL029W,YDL153C
YDL030W,YDL155W
YDL031W,YDL157C
YDL033C,YDL160C
YDL035C,YDL164C
YDL036C,YDL166C
YDL037C,YDL168W
YDL039C,YDL169C
YDL040C,YDL170W
YDL042C,YDL174C
YDL043C,YDL175C
YDL044C,YDL176W
YDL045W-A,YDL178W
YDL046W,YDL179W
YDL047W,YDL180W
YDL048C,YDL181W
YDL049C,YDL182W
YDL051W,YDL183C
YDL052C,YDL187C
YDL053C,YDL189W
YDL054C,YDL190C
YDL055C,YDL191W
YDL059C,YDL192W
YDL060W,YDL197C
YDL061C,YDL198C
YDL063C,YDL199C
YDL064W,YDL200C
YDL065C,YDL201W
YDL066W,YDL202W
YDL067C,YDL204W
YDL069C,YDL207W
YDL070W,YDL208W
YDL072C,YDL209C
YDL073W,YDL210W
YDL074C,YDL211C
YDL075W,YDL213C
YDL076C,YDL214C
YDL077C,YDL215C
YDL078C,YDL216C
YDL080C,YDL217C
YDL081C,YDL218W
YDL082W,YDL219W
YDL083C,YDL220C
YDL084W,YDL221W
YDL085C-A,YDL222C
YDL085W,YDL223C
YDL086W,YDL225W
YDL087C,YDL226C
YDL088C,YDL227C
YDL090C,YDL229W
YDL091C,YDL230W
YDL092W,YDL231C
YDL093W,YDL233W
YDL095W,YDL234C
YDL096C,YDL235C
YDL097C,YDL236W
YDL098C,YDL238C
YDL101C,YDL239C
YDL102W,YDL240W
YDL103C,YDL241W
YDL104C,YDL243C
YDL105W,YDL244W
YDL107W,YDL247W
YDL108W,YDR001C
YDL109C,YDR002W
YDL110C,YDR003W
YDL111C,YDR003W-A
YDL112W,YDR005C
YDL114W,YDR006C
YDL116W,YDR011W
YDL117W,YDR012W
YDL119C,YDR016C
YDL120W,YDR018C
YDL121C,YDR019C
YDL122W,YDR021W
YDL123W,YDR022C
YDL124W,YDR023W
YDL125C,YDR025W
YDL126C,YDR026C
YDL127W,YDR027C
YDL128W,YDR030C
YDL129W,YDR031W
YDL130W,YDR032C
YDL130W-A,YDR033W
YDL131W,YDR034C
YDL132W,YDR034C-A
YDL133C-A,YDR034W-B
YDL133W,YDR035W
YDL136W,YDR036C
YDL137W,YDR037W
YDL138W,YDR038C
YDL139C,YDR041W
YDL141W,YDR046C
YDL143W,YDR047W
YDL145C,YDR048C
YDL146W,YDR052C
YDL148C,YDR055W
YDL150W,YDR059C
YDL153C,YDR060W
YDL154W,YDR061W
YDL155W,YDR062W
YDL156W,YDR064W
YDL157C,YDR065W
YDL158C,YDR066C
YDL159W,YDR067C
YDL160C-A,YDR070C
YDL161W,YDR072C
YDL164C,YDR073W
YDL166C,YDR074W
YDL167C,YDR075W
YDL168W,YDR076W
YDL169C,YDR078C
YDL170W,YDR079W
YDL171C,YDR083W
YDL173W,YDR085C
YDL174C,YDR087C
YDL177C,YDR088C
YDL178W,YDR089W
YDL179W,YDR091C
YDL180W,YDR092W
YDL181W,YDR093W
YDL182W,YDR094W
YDL183C,YDR096W
YDL184C,YDR098C
YDL185W,YDR099W
YDL189W,YDR101C
YDL191W,YDR104C
YDL192W,YDR106W
YDL197C,YDR109C
YDL198C,YDR110W
YDL199C,YDR111C
YDL200C,YDR113C
YDL201W,YDR115W
YDL202W,YDR116C
YDL203C,YDR117C
YDL204W,YDR118W
YDL205C,YDR119W-A
YDL206W,YDR120C
YDL207W,YDR121W
YDL208W,YDR123C
YDL209C,YDR127W
YDL210W,YDR129C
YDL211C,YDR130C
YDL212W,YDR133C
YDL213C,YDR135C
YDL214C,YDR144C
YDL215C,YDR146C
YDL217C,YDR147W
YDL218W,YDR151C
YDL219W,YDR154C
YDL220C,YDR155C
YDL222C,YDR156W
YDL223C,YDR157W
YDL224C,YDR158W
YDL225W,YDR159W
YDL226C,YDR160W
YDL227C,YDR161W
YDL229W,YDR162C
YDL231C,YDR165W
YDL235C,YDR167W
YDL236W,YDR171W
YDL237W,YDR173C
YDL239C,YDR174W
YDL241W,YDR175C
YDL243C,YDR177W
YDL244W,YDR178W
YDL248W,YDR179C
YDR001C,YDR183C-A
YDR002W,YDR184C
YDR003W,YDR186C
YDR005C,YDR188W
YDR006C,YDR191W
YDR012W,YDR192C
YDR013W,YDR194C
YDR014W,YDR197W
YDR014W-A,YDR201W
YDR016C,YDR202C
YDR018C,YDR204W
YDR019C,YDR208W
YDR020C,YDR210C-C
YDR021W,YDR210W
YDR022C,YDR213W
YDR023W,YDR214W
YDR025W,YDR217C
YDR026C,YDR218C
YDR028C,YDR219C
YDR030C,YDR222W
YDR031W,YDR223W
YDR032C,YDR225W
YDR033W,YDR226W
YDR034C,YDR229W
YDR035W,YDR232W
YDR036C,YDR233C
YDR037W,YDR234W
YDR041W,YDR235W
YDR042C,YDR237W
YDR043C,YDR238C
YDR044W,YDR240C
YDR045C,YDR241W
YDR046C,YDR244W
YDR047W,YDR245W
YDR048C,YDR246W
YDR049W,YDR247W
YDR050C,YDR248C
YDR051C,YDR249C
YDR054C,YDR253C
YDR055W,YDR254W
YDR057W,YDR255C
YDR058C,YDR256C
YDR059C,YDR257C
YDR060W,YDR258C
YDR061W,YDR261C
YDR062W,YDR261C-D
YDR063W,YDR262W
YDR064W,YDR263C
YDR065W,YDR264C
YDR066C,YDR266C
YDR067C,YDR267C
YDR068W,YDR268W
YDR070C,YDR275W
YDR073W,YDR276C
YDR074W,YDR277C
YDR075W,YDR279W
YDR076W,YDR280W
YDR077W,YDR281C
YDR079W,YDR283C
YDR080W,YDR285W
YDR081C,YDR292C
YDR083W,YDR293C
YDR086C,YDR294C
YDR087C,YDR295C
YDR088C,YDR296W
YDR089W,YDR297W
YDR090C,YDR298C
YDR091C,YDR299W
YDR093W,YDR300C
YDR094W,YDR301W
YDR096W,YDR302W
