Human_blood,Human_muscle
C3orf32,DMXL2
C3orf51,DNAJA1
C3orf58,DNAJB6
C4orf3,DNAJC30
C4orf31,DNAJC7
C4orf39,DOCK7
C4orf43,DPH5
C4orf46,DPM1
C4orf52,DPP8
C5orf34,DSCR3
C5orf41,DSE
C5orf44,DSTYK
C5orf53,DTX2
C6orf136,DUS1L
C6orf162,DUS4L
C6orf195,DVL3
C6orf218,DYNC1LI2
C6orf48,E2F2
C7orf33,EAF1
C7orf49,EBP
C7orf54,EEA1
C7orf69,EEF2K
C8orf31,EFNA3
C8orf44,EGLN1
C8orf55,EIF2B2
C9orf100,EIF2C1
C9orf114,EIF4ENIF1
C9orf123,EIF5
C9orf130,ELMO2
C9orf4,EMG1
C9orf5,EMP1
C9orf57,ENDOU
C9orf62,ENY2
C9orf66,EPHB6
C9orf89,ERI2
C9orf9,ERLEC1
CA1,ERLIN2
CABP1,ESD
CABP7,ESRP2
CABYR,ESYT1
CACNA2D1,ESYT2
CACNA2D3,ETF1
CACNG4,ETV6
CADM4,EXOC1
CALCOCO2,EXOC2
CALML3,EXOC6B
CAMK2N2,EXOC7
CAMK4,EXOSC7
CAND1,FAM105B
CAND2,FAM111A
CARD6,FAM111B
CASC1,FAM117A
CASD1,FAM117B
CASP8,FAM120AOS
CATR1,FAM120C
CBFB,FAM122A
CBLN2,FAM122B
CBX8,FAM126B
CC2D2B,FAM127A
CCBL1,FAM131A
CCBP2,FAM134C
CCDC102A,FAM13B
CCDC102B,FAM149B1
CCDC105,FAM164A
CCDC122,FAM173B
CCDC130,FAM174A
CCDC142,FAM36A
CCDC27,FAM46B
CCDC43,FAM65A
CCDC51,FAM76A
CCDC63,FAM83B
CCDC72,FANCL
CCDC85A,FARS2
CCDC85C,FASTKD1
CCDC87,FBXO22
CCDC92,FBXO3
CCDC96,FBXO9
CCL15,FBXW2
CCL21,FDFT1
CCL5,FDPS
CCM2,FER
CCND2,FERMT1
CCNJ,FIG4
CCNT2,FIGNL1
CCR7,FKBP3
CCRN4L,FKBP5
CD200,FLRT2
CD209,FNIP1
CD300E,FOSL2
CD320,FOXJ2
CD48,FOXN3
CD82,FPGT
CDC25A,FRAT1
CDC7,FRMD6
CDCA2,FTO
CDCA5,FUBP1
CDCP1,FYTTD1
CDH11,GAB1
CDH12,GABPB1
CDH20,GADD45B
CDH3,GAL3ST4
CDH4,GALNT11
CDH6,GALNT2
CDHR2,GALNT3
CDK13,GAS2L1
CDR1,GBP1
CDX2,GBP2
CEACAM20,GBP7
CEACAM8,GCLC
CELF6,GDE1
CENPC1,GDPD1
CENPP,GFOD1
CENPV,GGCX
CETN2,GLMN
CHD9,GLUD1
CHEK2,GLUL
CHN2,GMPR2
CHST7,GNPAT
CHTF18,GOLGA5
CIAPIN1,GORASP2
CIB2,GOSR2
CIR1,GPR115
CISD1,GRHL3
CISD2,GRIP1
CIT,GRLF1
CKAP2,GSK3B
CLCA2,GTF3C2
CLCN6,GYG1
CLCN7,H2AFJ
CLDN14,H2AFX
CLDN15,H3F3B
CLDN19,HAS3
CLEC10A,HDAC4
CLEC2L,HDAC5
CLEC3B,HDHD2
CLIP3,HELQ
CLUL1,HERC3
CLYBL,HERPUD1
CMKLR1,HGSNAT
CMTM6,HIAT1
CMTM7,HIPK1
CNIH3,HIST1H3A
CNKSR1,HIVEP1
CNN2,HIVEP2
CNTFR,HK1
CNTNAP2,HK2
COG2,HLF
COIL,HMGCS1
