SAMPLE2,SAMPLE6
YAL003W,Q0105
YAL005C,Q0120
YAL007C,YAL002W
YAL008W,YAL003W
YAL009W,YAL005C
YAL010C,YAL007C
YAL011W,YAL008W
YAL012W,YAL012W
YAL013W,YAL015C
YAL015C,YAL018C
YAL017W,YAL019W
YAL019W,YAL020C
YAL020C,YAL022C
YAL021C,YAL023C
YAL022C,YAL024C
YAL023C,YAL025C
YAL024C,YAL028W
YAL025C,YAL029C
YAL026C,YAL030W
YAL026C-A,YAL034C
YAL027W,YAL034W-A
YAL028W,YAL036C
YAL029C,YAL038W
YAL030W,YAL039C
YAL033W,YAL040C
YAL034C,YAL041W
YAL034W-A,YAL042W
YAL035W,YAL044C
YAL036C,YAL046C
YAL037C-A,YAL048C
YAL037W,YAL049C
YAL038W,YAL053W
YAL040C,YAL054C
YAL041W,YAL055W
YAL043C,YAL058W
YAL044C,YAL059W
YAL046C,YAL061W
YAL047C,YAL062W
YAL049C,YAL063C-A
YAL053W,YAR002C-A
YAL054C,YAR002W
YAL058W,YAR003W
YAL059W,YAR007C
YAL060W,YAR008W
YAL061W,YAR014C
YAL067W-A,YAR015W
YAR002C-A,YAR018C
YAR002W,YAR019C
YAR003W,YAR031W
YAR007C,YAR042W
YAR008W,YAR050W
YAR014C,YAR068W
YAR015W,YBL001C
YAR018C,YBL002W
YBL001C,YBL003C
YBL002W,YBL005W
YBL003C,YBL008W
YBL004W,YBL009W
YBL005W,YBL010C
YBL006C,YBL011W
YBL007C,YBL013W
YBL008W,YBL015W
YBL009W,YBL016W
YBL010C,YBL020W
YBL011W,YBL021C
YBL014C,YBL022C
YBL015W,YBL024W
YBL016W,YBL027W
YBL017C,YBL028C
YBL018C,YBL029C-A
YBL020W,YBL030C
YBL021C,YBL031W
YBL022C,YBL032W
YBL023C,YBL034C
YBL024W,YBL035C
YBL026W,YBL036C
YBL027W,YBL037W
YBL028C,YBL038W
YBL029W,YBL039C
YBL030C,YBL039C-A
YBL032W,YBL039W-B
YBL033C,YBL040C
YBL034C,YBL043W
YBL035C,YBL044W
YBL036C,YBL045C
YBL038W,YBL046W
YBL039C,YBL048W
YBL039C-A,YBL049W
YBL039W-B,YBL054W
YBL040C,YBL055C
YBL041W,YBL056W
YBL042C,YBL057C
YBL044W,YBL059C-A
YBL045C,YBL059W
YBL046W,YBL061C
YBL047C,YBL062W
YBL051C,YBL063W
YBL054W,YBL064C
YBL055C,YBL066C
YBL056W,YBL067C
YBL057C,YBL068W-A
YBL058W,YBL069W
YBL059C-A,YBL071W-A
YBL059W,YBL072C
YBL061C,YBL074C
YBL063W,YBL075C
YBL064C,YBL076C
YBL065W,YBL078C
YBL066C,YBL079W
YBL067C,YBL080C
YBL068W,YBL081W
YBL068W-A,YBL082C
YBL069W,YBL083C
YBL071W-A,YBL086C
YBL072C,YBL087C
YBL074C,YBL088C
YBL075C,YBL089W
YBL076C,YBL090W
YBL078C,YBL092W
YBL079W,YBL093C
YBL080C,YBL096C
YBL081W,YBL097W
YBL082C,YBL098W
YBL083C,YBL099W
YBL085W,YBL100W-B
YBL086C,YBL101C
YBL087C,YBL106C
YBL089W,YBL107C
YBL090W,YBL113C
YBL091C,YBR002C
YBL091C-A,YBR003W
YBL092W,YBR005W
YBL093C,YBR006W
YBL099W,YBR007C
YBL102W,YBR008C
YBL103C,YBR010W
YBL104C,YBR012C
YBL106C,YBR015C
YBL107C,YBR017C
YBL108W,YBR018C
YBL113C,YBR019C
YBR001C,YBR020W
YBR002C,YBR021W
YBR003W,YBR022W
YBR004C,YBR025C
YBR005W,YBR026C
YBR007C,YBR027C
YBR009C,YBR028C
YBR010W,YBR029C
YBR011C,YBR030W
YBR015C,YBR031W
YBR017C,YBR036C
YBR018C,YBR037C
YBR020W,YBR038W
YBR021W,YBR039W
YBR022W,YBR041W
YBR023C,YBR042C
YBR024W,YBR043C
YBR025C,YBR044C
YBR026C,YBR045C
YBR028C,YBR046C
YBR029C,YBR047W
YBR030W,YBR048W
YBR031W,YBR049C
YBR033W,YBR052C
YBR034C,YBR054W
YBR036C,YBR055C
YBR037C,YBR056W
YBR038W,YBR057C
YBR039W,YBR061C
YBR040W,YBR063C
YBR041W,YBR065C
YBR042C,YBR066C
YBR043C,YBR067C
YBR044C,YBR068C
YBR045C,YBR069C
YBR046C,YBR070C
YBR047W,YBR071W
YBR048W,YBR072W
YBR049C,YBR073W
