ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Adrm1,Gnb2,Myh7b,Nxf1,Megf10,Tubd1,Gdf3,Zfp563,Fam195b,Bhlhe41,Wdr67,Cirbp
Acy3,Rnf41,Olfr190,Ppbp,Hnrnpc,Cxcl9,Ufsp1,Fam134c,Cyth3,Gnl3l,Fam150b,Klhl13
Arhgap10,Neu1,Hgs,2410002F23Rik,Gadd45g,Inpp5k,Alg12,Rbm48,Sel1l,Ptprd,Olfr137,Gypc
Cys1,Ube2s,Agpat6,Pde4dip,Gnao1,Sdf2l1,Trmt12,Ptgs1,Hapln4,Susd4,Tbkbp1,C1galt1c1
Nt5c2,Zfp629,Taz,Mdga2,Lrrc8a,Smyd2,Mpzl1,Sel1l,Hoga1,Fam171a1,Siglecg,Nagk
Cyp2u1,Rbm47,Asb15,Tdrd6,Magt1,Zfp462,Siae,Hoga1,Hdac11,2210408I21Rik,Ptpn4,Homer3
Parl,Crtc2,Arpc5l,Trnau1ap,Gcnt1,Ror1,Tpst1,Hdac11,2700062C07Rik,2310015B20Rik,Zfp710,Ssh2
Cacybp,Prr18,Dpf3,Slc25a27,Slc41a2,Marcks,Magt1,Cck,Ppp1ca,Mbnl3,Dgat1,Zfp653
Rad50,Dcaf4,Pgm3,Epha5,Shc4,Map2k7,Pigz,Slc35a4,Mtmr9,Hnrnpd,Six1,Il17ra
Loxl1,Tbc1d20,43164,Tipin,Snap29,Det1,Dmtf1,Dgkb,Nat6,Tgm2,Ano1,Tomm20
Ubr7,Slc25a33,Hspa8,Atp10a,Slc39a2,C1qb,Pipox,Tmem198b,Apoc3,Lrp10,Fam198b,Megf9
Usp13,Trip10,Chd9,Syt2,Angptl2,Dock11,Brd7,Thap2,Tmem238,Praf2,Ptplb,Rasd1
Fam126a,9030418K01Rik,Galntl4,Ptpn11,Abce1,Klf3,Nsun3,Prmt3,Zfp617,Tinagl1,Ebf1,Gltscr2
Zfp597,Fbxo3,Tmem38b,Catsper2,Chd5,Plxdc2,Eif3j1,Sod2,Adprh,Nr2c2ap,Pcx,Lonrf3
Efhd2,Fmo1,Eef1a2,Ece1,Dennd3,Snapc3,Slc39a2,Sox7,Thap2,Brox,Hp,Cdc40
Gpr55,Tspyl2,Bmp4,Stard9,Lass5,Lzic,Slc4a8,Gsdma3,Prmt3,0610037L13Rik,1110003E01Rik,Cxcr4
Lig4,Cant1,Mrpl33,Vangl2,Lin52,Rftn1,Tubb4a,Smarcad1,Sod2,Mapk14,Tmem57,Angpt2
Rnh1,Ccbe1,Gsn,Slc25a16,Slc19a3,Upf1,Npdc1,Cdc42bpg,Arhgap19,Alkbh7,Map3k1,Cerk
B4galnt1,Uap1,Tubb2a,Ddit4l,Tspan4,Mak16,Hspa1b,Tnfrsf14,Gpn3,Trmt1,Nr6a1,Med13l
Rnf5,Cep128,Nadk,Fam38a,Cd9,Steap3,Serbp1,Tor1aip2,Tep1,Rsph10b2,Actb,Ypel5
S1pr1,Agap2,Tnfsf12,Tra2b,Snx11,Glul,Tmem106b,9530068E07Rik,Rpl7,Itga1,Tle1,Cd14
Exoc3,Engase,Hist2h4,Ubxn2b,Mrpl23,Tecrl,Psmb6,Bhlhe41,Nfkb1,0610009B22Rik,Egfl7,Cd209a
St7,D19Ertd737e,Calr,1110032F04Rik,1110031I02Rik,Crbn,Efcab7,Syngr1,Cnst,Chaf1b,Zfp697,Apobec1
Nipsnap3b,Slc25a42,Aacs,Paqr8,Smad3,Acsl6,Dennd3,Bloc1s5,Sub1,Itga4,B3galt2,Gstt2
Lrp8,Psmc3,Nuak1,Dusp11,Pdcd6ip,Xirp2,Fbrsl1,Ptprd,Adap2,Aldh9a1,Tenm3,A430033K04Rik
Htr1b,Impdh1,Alpk2,Tgfb3,Galnt9,Col4a1,Mrpl2,Smg7,Tor1aip2,Hk2,Mcrs1,Cmklr1
Dctd,Akt3,Mbd6,Olig2,Cables1,Rasl11a,Usp7,Mtdh,9530068E07Rik,F3,Nudt4,Gpt
Anapc13,Pla2g15,Pomgnt1,Zbtb38,BC003266,Tnfaip1,B930041F14Rik,Hnrnpd,Npas3,Clcn2,Adamts9,Myo19
Ninj1,Macrod1,Crhr2,Gjb6,Tubgcp4,Gstt1,Tspan4,Atxn7l3b,Bhlhe41,Ptgfr,Htt,Slc26a10
Psmb8,Cldn25,Ubc,Lap3,Elavl4,Rasgrp3,Gpaa1,Tgm2,Bloc1s5,Ptger4,Fam108b,Ptprg
Hist1h2be,Oma1,Ifrd2,Pot1b,Rmnd1,Galc,Tollip,Praf2,Ptprd,Piga,43353,Gtpbp8
Cct7,Ptger3,Sar1b,Cd33,Slc6a15,Rev1,Rab28,Tinagl1,Ly96,Ino80e,Cdo1,Casp6
Pak1,Sypl,Rap2c,Paip1,Cst3,Plekhf1,Tubgcp4,Brox,Fam171a1,Gm867,Inppl1,Ezh1
Sgk3,2810408A11Rik,Serp1,Fnbp1,Saal1,Fktn,Rmnd1,Mapk14,Tdp1,Cd70,2310067B10Rik,Eif4a1
Kctd13,Dgat2,Usp46,Plod3,Wwc2,Abhd4,Gm6816,Alkbh7,Tmed10,Myh14,Bpifb4,Klhl22
Adamts17,Gab1,Apbb1,Ctsq,R3hdm2,Itgb6,Pex13,2310030G06Rik,Leap2,Gprc5b,Tmpo,Pdk2
AI413582,Cdc42bpb,Pde8a,Pltp,Car12,Corin,Slc2a10,Ap1g1,Hnrnpd,Lcp2,Crebbp,Tmem167
Sema3f,Nsdhl,Gabre,Plekha6,Rdh5,Mapkapk2,1700084C01Rik,Itga1,Prkaca,Papd7,Kcnh7,Tank
Adck3,Ldb1,Map3k11,Ddah2,Rgs9,Rdh13,Kirrel3,Rassf6,Atxn7l3b,Ablim2,Ufsp1,Fbn1
Folr2,Unc119,Efemp1,Pfkp,Rnf145,Adrm1,Rfc3,4831426I19Rik,Tgm2,Jarid2,Gadd45g,Fancb
AI316807,Nfe2l2,Peg3,Ubp1,Ccar1,Sec23ip,Wwc2,Trpc1,Lrp10,2010011I20Rik,Mpzl1,E130208F15Rik
Parp12,Kitl,Pdzd2,Per3,Tjp2,Arhgap10,Tmco3,0610009B22Rik,Praf2,Gm6505,Tbpl1,Dcun1d3
Gdi1,AK129341,Papola,Agxt2l1,Tra2a,Cys1,E230008N13Rik,Dst,Rnf135,Mtmr4,Sfmbt1,Prkca
Cmtm6,Ube2v2,Psmf1,Nudt5,Hmgb3,Nt5c2,Znhit2,Gm5595,Mterf,Ankrd13a,Isg20,Acbd5
Lama5,Tmem55b,H60b,Sorl1,Blcap,Cyp2u1,Rdh5,Letmd1,Nr2c2ap,Spock2,Cygb,B230120H23Rik
Paip2b,Rbm28,Lta4h,Mbnl1,Ywhab,Tjap1,Olfr1370,Pter,Kdm5b,Epsti1,Gpr183,Clec5a
Cox7c,Amotl1,Pitx2,P2ry1,Nr1d2,Ifi35,Adal,Cd6,Mapk14,Gigyf1,Csf2rb2,Pxdn
Serpina3f,Fubp1,Cacna2d1,Tle4,Paqr9,Rad50,Dhrs11,Clcn2,Higd2a,Ptgfrn,Ptprj,Trpv4
Isoc1,Lysmd2,4933406P04Rik,Pfn4,Aass,Loxl1,Ccar1,Tor3a,Alkbh7,Aktip,Mgst2,2610301G19Rik
Flcn,Bcl10,Slc16a1,Mfsd2a,Reck,Glis2,Tjp2,Ptgfr,Ap1g1,Rpl37a,Tmem106b,Atp5s
Atp1a4,Pfas,Trabd,Kif2a,Stap1,Ctnnal1,Srek1,Tbc1d13,Myst4,Glrx,Als2cr12,Il17rc
H2-Q7,Cops7a,Gm7293,Ina,Cirbp,Efhd2,Tra2a,Upp2,Rassf6,Sytl5,Kcnj8,Riok2
Pxdc1,Prr5,Ddx17,Sdpr,Tdrkh,Dclre1b,Nr1d2,Atp13a3,4831426I19Rik,Mzt1,Dennd3,Dkc1
Plin4,2210407C18Rik,Irak3,Hyou1,Slc2a1,H2-Q2,Aass,Rbm4b,Lpar6,Acadsb,Fbrsl1,Ift122
Mllt3,Ppib,Zcchc2,Plxnb3,Igsf21,Intu,Glipr1,Stag1,0610009B22Rik,Gm10384,Has2,B4galt1
Sel1l3,Pja1,Pccb,Slc1a4,Zufsp,Ms4a4c,Urgcp,Sirt3,Dst,Nudt22,Bmp2k,Irak1bp1
Pbx3,Nme6,Rbm22,Rarb,Ssh2,Rab11fip5,Snx27,Myh14,Ppp2cb,Gyg,Lin52,Egln2
Fah,Cidec,Ccdc123,Rps16,Clybl,Abl1,Tmem28,Itih2,Wdr11,Stk40,Plekha2,Lhfpl2
Slc25a23,Ogfr,Fam73b,Slc13a3,Zfp235,Psmd8,Cirbp,Gprc5b,Chaf1b,Plcxd3,Tspan4,Gatad1
Zbed3,Pyroxd2,H2-Q6,Impg2,Gm9900,Foxs1,Igsf21,Snd1,Letmd1,Rasgrp1,Wdr44,Mapk12
H2-K1,Tmem33,Rbp4,0610010O12Rik,Megf9,Mylk4,1700088E04Rik,Adcy4,Pter,Dars2,Scn4b,Bfar
D18Ertd653e,Stk35,Lbh,2010002N04Rik,Lonrf3,Dnase1l2,Wbp11,Papd7,Zscan21,Palld,Dennd2c,Rnf11
Wfikkn1,Lep,Gramd4,Grik1,Cdc40,Rgs7,Snn,Ablim2,Tor3a,Anxa3,Nfat5,Srm
Srcin1,Psmd4,Mul1,Cd68,Cnot3,St7,Ccdc85a,Slc38a3,Upp2,Arl4a,Smad3,Hiatl1
Mgll,B3galtl,Lrp11,Tlcd1,Cerk,Ifit3,Acr,Gm6505,Egr1,Crebl2,Csk,Cp
Xylt2,Wdtc1,Plce1,Irf3,Mtch1,Sec22c,Ehbp1,Arhgap12,Sirt3,Gak,Hbp1,Col5a3
Atp6v1d,Stac,Myom1,Iffo2,Gstt2,Lpp,Lonrf3,Tlr2,Itih2,0910001L09Rik,Rmnd1,Cbl
Mpst,Fam53b,Zfp598,Ifit1,Igsf1,Hmcn1,Dars,Mtmr4,Lcp2,Rhoa,Elf2,Gatsl2
Zfr2,Dgkd,Abcc1,Mef2c,Abcb8,Layn,Cacna1b,Armcx4,Snd1,Erbb2ip,Erg,Clpx
Herpud1,Gpx4,Bzw2,Ifrd1,1700001P01Rik,Rgnef,Zdhhc13,Pla2g4d,Papd7,Mcart1,Cbx4,Cln6
Ipo11,Cars2,Rps8,Dnaja4,Npl,Pcdhb7,Mrpl54,Tsen15,Dap,Myh11,Slfn10-ps,Tceal1
Ppil6,1810009A15Rik,Arl6ip1,Zfp192,Fam117b,Rpl21-ps4,Aifm1,Nusap1,Slc38a3,Entpd5,Rnf145,Pde4dip
Elmod3,Crispld2,Slit3,1700093K21Rik,Dmp1,Notch2,Cd14,Ttc32,2010011I20Rik,Srpk2,Slc22a23,Zfp809
1700007G11Rik,Arhgap1,Wdr62,Cthrc1,Btbd11,Ninj1,Cdk9,Ptgfrn,Gpi1,Arhgap23,Dhrs11,Setd4
D6Wsu163e,Phospho1,Rad21,Hcn2,Ucp2,Antxr1,Apobec1,Atf1,Mtmr4,Gpam,Asb4,Slc25a27
Hsd17b11,Bcl6b,Lmf1,Tnfsf10,Pglyrp1,Fgd5,Purb,Glrx,Fam160b1,Ubl3,Tmem2,Nat9
Asah2,Tead1,Gdf10,Pllp,Fbn1,Vps33b,Wscd1,Tsga14,Tsen15,Lclat1,D630003M21Rik,Rangap1
Gadd45b,Dtnbp1,Ppp1r3c,Ccs,B630005N14Rik,Wdr91,S100g,Sytl5,Ankrd13a,Rps18,Rara,Syt2
Kcnma1,Arl15,Lrrk2,Ralgapb,Nmral1,Popdc2,Pcdhb15,Nudt22,Smarce1,Pacrg,Gpatch1,Wdr45
Tagln,Dhrs3,Mpp6,Pdia6,Cstad,Grsf1,Vps35,Pot1a,Nusap1,Rasip1,Nedd4l,Ptpn11
Negr1,Pde4a,Gnrhr,Tcf7l2,Whsc1,Kctd13,Abcb8,Sars2,Epsti1,Clec2i,Nr1d2,Rel
Abcb6,ORF61,Camta2,Gjb2,Stx2,Sos2,Hbegf,Sec61a1,Grlf1,Rps3a,Akap8,Ehd1
Tulp3,Grk5,Samd4,Sdc4,Adcy2,Nfia,Supt7l,Ift80,Bmp7,Iqcj,Sh2d3c,Fbxo8
Thnsl1,Kcnk3,Cxxc5,Cnp,Kcnb2,Adck3,Fam117b,Stk40,Pex10,Akr1a1,Stap1,Strap
Mst1r,Foxk2,Tmem216,Kbtbd2,Scn2b,Sbf2,Zfp120,Rasgrp1,Aktip,Spata18,Mks1,Mta1
Ssr1,Vwa3a,Dgcr8,Fgfr1,Fbf1,Tmem164,Slc35a5,Pgm2,Glrx,Men1,Myl2,Adora2a
Gm11127,Osr1,Prpf6,Haghl,Gtdc1,Folr2,Olfr78,Trp53bp2,Tsga14,Gsta4,Pus7,Lrp5
Rab8a,Wdr67,Cdk2,Pdpn,Edn1,AI316807,Ttc4,Mogat2,Zrsr2,Ccdc60,43349,Elmod2
Surf1,Osgin1,Npas2,Dnajb2,Folr1,Cmtm6,Fancb,Anxa3,Mzt1,Ifi47,Klhl13,Ints10
Galnt10,Fam13c,Capn3,Uggt1,Phkg2,Mall,Duxbl,Crebl2,Acadsb,Itpk1,Itk,Qrsl1
Gas2l3,Xrcc1,Nub1,Slc29a3,Slc35f3,Larp1,Cstad,Prnp,Nudt22,Elac2,Sh2d1a,Fgd2
Lrrc4,Pxmp2,Bet1l,Gys1,Ssr4,Pcolce2,Otub1,Fbxl21,Pot1a,Lrig1,Myl3,Cd33
Acvr1,Slc31a2,Spag5,Trmt6,Frem1,Lama5,Pgls,0910001L09Rik,Sec61a1,Il17d,Rab11fip3,Arap2
Fads2,Slc7a10,Cox5a,Pef1,Ift122,Cyp4b1,Ep400,Olfr1394,Ift80,Dnahc9,Vhl,Sema4b
Dhrs4,Dgat1,Pacs1,Lace1,Josd2,Steap4,Wnk2,Erbb2ip,1810013L24Rik,Mnat1,Mre11a,Fnbp1
Agtr1a,Rasl11b,Csrp3,Chrna3,Gpc1,Larp4b,Taco1,Ppp2ca,Stk40,Tll1,Myo1e,Sh3pxd2a
Tnfrsf1b,Ano1,Tie1,Klraq1,Ttc39a,Top2a,Ndufa2,Entpd5,Pgm2,Mreg,Erbb3,Ucp3
Klhl8,Gm20459,Myef2,Xrcc3,Fstl5,Gm9956,Commd10,Gdap1,Trp53bp2,Stx19,Elmo1,Elovl5
Pik3r1,Fibin,Cab39,Vstm4,Napepld,Gatad2b,2610507B11Rik,Reps2,Dars2,Ctnnb1,Dnttip2,Elovl3
Ss18,Sec24b,Tmem167b,Ppp2r5b,Slco1c1,Pbrm1,Nploc4,Col4a3bp,Palld,Shank3,Aff3,Alas1
Pip5k1a,Ebf1,Nfic,Macf1,Tiam2,Pdp2,Amfr,Gpam,Galnt13,Dym,Ndufb11,Ccdc45
E2f6,Ndufa5,Sema5a,Dgki,Gpr17,Plin4,Abcg3,Cdkl4,Cadps,Hddc2,Ctps,Gnai1
Wdyhv1,Gramd1a,Hbs1l,Fmo2,Ifitm1,Mapk8ip3,Gtdc1,Aqp8,Arl4a,Cmip,Lonrf3,Fam188a
Dzip3,Acaa1a,Cad,Azin1,Mapk12,Tmem220,Ripk1,Nt5dc1,Crebl2,Kpna3,Zdhhc14,Plxna1
Pcgf5,Tmem57,Dbp,Rnaset2b,Usp5,Zbtb22,Edn1,Trim11,Gak,Klf9,Cxcr4,Cog2
Spred1,Etl4,Rnf167,Bckdhb,Fntb,Itpr3,Eri3,Lclat1,Prnp,Txn2,Pdgfra,Pfkp
Egfl6,Eif4ebp1,Slc43a3,Gm266,Gm7536,Dyrk2,Nmbr,Yeats4,Fbxl21,2210011C24Rik,Col6a6,Pak1ip1
C2cd2l,Mapt,Ppp1r13b,Sgk1,Srm,Sugp1,Atp5g2,Rasip1,Shq1,Gja5,Rab30,Mcm7
Atp2c1,Gpt2,Lcorl,Il33,Vgll4,1110007C09Rik,Prkd1,Tanc2,Rhoa,Plxnc1,43344,Per3
Klhl24,Uck1,Gtl3,Fkbp5,Ccdc135,Zfp808,Rpl13,Ndel1,Erbb2ip,Rcn1,Zhx2,Fam76a
Elmod1,Coq10a,Cited2,Vstm2a,Gatsl2,Zfp458,Bin3,Fkbp7,Rnf19b,Foxj1,Cd209a,Sorl1
Prkd3,Tle1,Iqgap2,Purg,Ctsc,Pi16,Gpr17,4930402H24Rik,Col4a3bp,Adrbk2,Gstt2,Mbnl1
Ehd3,Egfl7,Slc7a8,Cacng5,Nrxn1,Tgfbr3,Alad,Slfn4,Arhgap23,Pdk4,Grasp,Vps4b
Lrrn1,Dip2a,Myof,Rps6ka1,Slc25a27,Atf6,Ifitm1,Plec,Hal,Enpp7,Atg14,Bmf
Lss,B3galt2,A530016L24Rik,Ubl4b,Atp10a,Ccrl1,D17Wsu104e,Fndc3b,Tmem184c,AB041803,Gm340,Rbpj
Utrn,B230307C23Rik,Hdac1,Tnfaip6,Vipr2,BC030336,Olfr512,Med1,Gpam,Afap1l2,Tcp11l2,Kif2a
Phka2,Uqcrc1,Mkl2,Fgfr2,Setdb2,Gdpd1,Mapk12,St3gal4,Aqp8,Msto1,Myo19,Zfp275
Fam69a,Tgfb1,Caskin2,Timp3,B4galnt4,Mpst,Xrn2,Men1,Alg11,Mfhas1,Ptprg,Slc2a9
Poldip2,Agbl5,Hspa12a,Gm16494,Ttr,Opa3,Mrps12,Gsta4,Bag4,Dclk3,Snx14,Lpin1
C2cd2,Wdr95,Tmem184a,Mapkapk5,Rnf208,Herpud1,Ccdc116,Ddc,Lclat1,Lin7c,Lynx1,Rnf8
Nampt,Sigmar1,Ndufaf3,Tcta,Actr1b,Fig4,Hddc3,Mtr,Rps18,Fermt2,Zfp526,Slc38a6
Tmed1,Nfkb2,Hspb1,Epha6,B9d2,Fam78a,Nxf1,Cbr4,Cdv3,Slc12a2,Birc3,Fhl3
Fam149b,Pisd,Pik3cb,Tmem177,Lrrc61,Aldh1a1,Zfp52,Dnahc9,Wdr37,Pdzrn3,Cybrd1,Syne2
Fkbp4,Map2k3,Abcd2,Enah,Sphkap,Lin7a,2410002F23Rik,Sppl2b,Yeats4,Bend4,Ttc4,Mfng
Mpp7,Inca1,Nav2,Trappc2l,Phlpp2,Hsd17b11,Gtf3a,Mreg,Mtfmt,Junb,Mdn1,Appl1
Grm7,Mknk2,Padi1,Ikzf2,Epb4.1,Idh1,Atp10a,Rdh11,H2-T23,Tapt1,Fbn1,Bank1
Ctsf,Inpp5b,Mlip,Per1,A430005L14Rik,Gadd45b,Smad9,Meis1,Ndel1,Nanp,Pfkfb1,Tob1
Zfp109,Rabac1,Coro1b,Fbxo36,Snap23,Dedd,B4galnt4,Hdac2,Fkbp7,Rbm10,Gabpb2,Gemin7
Sik2,2310067B10Rik,Otp,Pstpip2,Orai2,Acap2,Gorasp2,Ctnnb1,4930402H24Rik,Pou2af1,Ep400,Supt5h
Trim68,Mapk4,Dpagt1,Unc13b,Zfp760,Cox8b,Rnf208,Shank3,Plec,Ppme1,Stk10,Tnfaip2
Txndc2,Ahr,Rrp8,Fzd4,Paqr8,1500032L24Rik,Utp6,Cmip,Fndc3b,Porcn,Rlim,Timm10
Fscn1,Zfp457,Wee1,Ifltd1,Sidt1,Smg5,Rell2,Cd47,St3gal4,Polr1d,Prkca,Hipk3
Prex2,Alg1,Ano8,Polr3e,Ablim1,Surf1,Lrrc61,Kpna3,Arl5b,Tcerg1,Aasdhppt,Pgcp
Hmox1,Eif2b5,Arvcf,Slc6a8,Elmod2,Inpp5j,Ece1,Klf9,Men1,Nfkbia,Pxdn,Rasa3
Rcbtb2,Acan,Abcc4,Adcy3,Dusp11,Slc25a36,Mrps15,Nek2,Gsta4,Ppp1r14a,Rnf144b,Ubr5
Rusc2,Prcc,Arntl,Epha7,Abhd2,1810030J14Rik,Vangl2,2210011C24Rik,Ifi47,Vkorc1l1,Tcap,Zfp187
Eif5a2,Mpzl1,Arl2bp,Yif1b,P4htm,BC031353,Slc25a16,Efhd1,Top3b,Spna2,Abcg3,Adamts6
Pcsk2,Dmtf1,Zfp358,Fabp5,2010015L04Rik,Naa20,Slc9a8,Tex2,Vrk1,Olfr683,Atp5s,Iffo2
6430548M08Rik,Cygb,Kdelr1,Terf2,Sorbs2,Slc12a6,Snap23,BC025920,Itpk1,Plekha3,Edn1,S100b
Bod1l,Ofd1,Tbcb,Kctd5,Acap3,Acvr1,Orai2,Zfp295,Elac2,Ankrd44,Cdc14b,Ankrd23
Ppp1r9a,Slc4a8,Abca1,Mlec,Gjb6,Cln5,Wdr46,Plxnc1,Ddc,Art3,Ier3,5430427O19Rik
Pla2g5,Angptl2,Myh10,Ranbp3l,Ddx56,Egfr,Mtap1s,Uba5,2810432D09Rik,Tmie,Mcpt4,Hif1a
Zfp346,Runx1t1,P4ha1,Clock,Lap3,Agtr1a,Paqr8,Frk,Zfp821,Lpcat3,Arhgef18,Creb3l1
Sytl2,Als2cr12,Dpm3,Nabp1,Tnrc6b,Slco3a1,Haus8,Pdk4,Sppl2b,4930420K17Rik,Atp2a3,Smarca2
Fmnl2,Tgtp1,Gnal,Rprd1a,Slc50a1,Bmp6,P4htm,Kif3b,Mreg,Zic3,43352,Col1a1
Tmx2,Gstt3,Tob2,Stx18,Dmrtc1b,Smcr8,2010015L04Rik,Skiv2l,Rdh11,Nhp2,Srsf6,Caprin2
Cct4,Dennd3,Dnajc7,Slc30a1,Atp5c1,Pik3r1,Gjb6,AB041803,Meis1,Mmab,Lhfpl2,Slc15a3
Trip10,Fbrsl1,Zfp449,Zfp280d,Fnbp1,Klf12,Osta,Itfg1,Hddc2,Dcaf11,Ifitm1,Ankrd9
Rfx3,Tmem37,Atad2,Gabra2,Gm9945,Ppfibp2,Ddx56,Thoc1,Cmip,Ptp4a2,Prss55,Dnahc3
Fmo1,Lin52,Fam179b,Tpm4,1110018J18Rik,Pdap1,Lap3,Xbp1,Cd47,Zc3h12d,Gm17296,Ubxn1
Phf17,Tspan4,Nup93,Npepl1,Dnahc6,E2f6,Slc50a1,Afap1l2,Klf9,Gm8258,Cfd,Comt
Egln3,Ndufa1,Myom2,Pld4,Prdx6,Xpo4,Sema6c,Msto1,Txn2,Gcdh,Srm,Rheb
1110032A03Rik,Pdia5,Apln,Sgk2,Atp8b2,Dzip3,5830403L16Rik,Mfhas1,Lrpprc,Zmynd11,Rasgrf2,Hccs
Cacng8,Tubg2,Kazald1,Rras,Lman2l,Jam3,Grik4,Dock1,BC032203,Htra3,Commd5,Tmem183a
Uap1,Nfat5,Pfkm,Rab34,Ccdc45,2810474O19Rik,Ncbp1,Fyn,Tex2,Ndrg3,Vgll4,Fam96a
Cd1d1,Slc38a7,Rgs7bp,Mtap7,Mpc1,Spred1,Fnbp1,Fermt2,Zfp295,Hey1,Met,Rnf183
Agap2,Smg9,Cnppd1,Ncoa5,Fpgt,Fv1,F13a1,Slc12a2,Pip4k2b,Bcorl1,Col5a3,Arhgap20
Zfp846,Mbd1,Tmem120a,Gpr4,Zfp36,Thoc3,Ppif,Nipa1,Plxnc1,Egflam,Cbl,Sidt2
D19Ertd737e,Tmem138,Tuba1b,Ltbp1,Herc3,Rasgrp2,Atp8b2,Tapt1,Lgals9,Abp1,Ctsc,Ikbkg
Efnb1,Angpt4,Adrb3,Ogt,Plxna1,Hspb8,Lman2l,3110052M02Rik,Frk,Phldb1,Pax5,Yap1
Col5a1,Rgl3,Synj1,Prkab1,Ddah2,Klhl24,5031439G07Rik,Kif27,Pdk4,Slc41a1,Acaca,Ndufaf4
Cenpp,Ppap2c,Cdk17,Cdk14,Pfkp,Akap5,Hcrt,Nanp,Ptpn9,Gabpb1,2410002F23Rik,Kctd15
Zfp148,Impact,Map2k5,Thrb,Lin9,Lphn1,Ivns1abp,Pik3r3,Pld6,Zfyve1,Rel,9030624J02Rik
Akt3,Adal,Cstf3,Aldh3b1,Per3,Gsta3,Map4k2,Hmgxb4,Ccdc94,Pir,Catsper2,Eml5
Psme1,Rnf145,Atp1b1,Tnfrsf22,Agxt2l1,Rps11,Pltp,Itm2b,Skiv2l,Trip6,Ehd1,Cnnm2
Lilrb4,Cd163,Kdelc2,Nt5c3l,Fam76a,Slc28a2,Dcun1d1,Fmo4,Rimkla,Tnfsf15,Hoxd9,Ppp1r15b
Ptger3,Adcy7,Twsg1,Ddx21,Hpdl,Galm,Spef1,Ppme1,Ufsp2,Elf5,Traf3ip3,Ddhd1
Cyp4f13,Dnaja2,Clptm1,Fam49a,Unc13c,Jmjd4,Mrpl40,Porcn,Fut8,1700027A23Rik,Srf,C1qtnf9
Tex261,Blcap,Cdkal1,Rexo4,Sorl1,Gtf2ird1,Xrcc6bp1,Polr1d,AB041803,Galr1,Psme2b-ps,Lace1
Id2,Nr1d2,Prodh,Coro1c,Lrrc57,Phka2,Pex14,Tmem50a,Arpp19,Ppp1r32,Ddit4l,Fads3
Ldb1,Sh2d3c,Nim1,Fzd3,Basp1,C2cd2,Per3,Samd9l,Mfhas1,Pcyt1b,Sc4mol,Cgrrf1
Helz,Reck,Snx33,Cd81,Btf3,Srsf5,Vps11,Hao2,Cops6,Arhgap24,Hdac7,Tmeff1
Phb2,Cirbp,Med22,Apcdd1,Ldhb,Pdcd10,Tctn1,Gata1,Srrm2,2700094K13Rik,Orai2,Vstm4
Uhrf2,Klhl13,Itfg3,Gm609,Mfsd2a,Nampt,Stx8,Sdc2,Dnajc24,Nepn,Spib,Ccdc8
Kitl,Dohh,Ryr1,Slc20a2,Pnkd,Lrrc8d,Pvrl2,Uba6,Mprip,Prdx5,Edem1,Chac1
AK129341,Gypc,Myod1,B3gnt9-ps,Arhgef3,Sppl3,Wdr65,Atp1b4,Lin7c,Dusp19,Chtf8,Fmo2
Ube2v2,Mical3,Casq1,Eya1,Aak1,Nmb,Hexdc,Tia1,Fermt2,Pitpnm3,Sidt1,Azin1
Cpne3,Nagk,Brd9,4933426M11Rik,Mybbp1a,Fam149b,Mfsd2a,Art3,Slc12a2,Lphn3,Tgfb3,Ddr1
A130050O07Rik,Agpat9,Nck2,Crybg3,Cldn11,Ccdc28b,Pnkd,Tmie,Phf12,Phlda2,Hivep1,Ctnnbip1
Tmem55b,Etv3,Ccnd2,Recql,Hyou1,Zhx1,Fam70b,Kcnt2,Bud13,Mtfp1,Zbtb38,Cobll1
Zfp59,Ccdc104,Col4a2,Frmd4a,Syne2,Gmpr,1700010I14Rik,Gja1,Kpna4,Foxr1,Dach2,Exoc6
Fubp1,1700088E04Rik,Pdcl,Gfap,Pmp22,Sash3,Slc1a4,Nhp2,Junb,Sirpb1a,Ikzf1,Csf3
Lysmd2,Zfp653,Mcam,Mt2,Appl1,Insig1,Mrps34,Mchr1,Nipa1,Gpr174,Qrsl1,Lipe
Tmem132b,Cisd1,Eif4g1,Fgf2,A730017C20Rik,Inhba,Hadha,Ptp4a2,Tapt1,Synrg,Setbp1,Mthfd1
P2ry12,Clcn7,Psmd1,Doc2b,Gzmm,Fbxw5,Coro7,Gm8258,Metap1d,Pole4,Gm10032,Mif4gd
Ash1l,Serpini1,Kctd3,Bbs7,Rarb,Dll1,4930538K18Rik,Hnrnpa3,Nanp,Thap3,Tnrc6b,Tcp1
Rpp25,Cage1,Agrp,Rab3il1,Csnk1e,Pi4ka,Rasa3,Mthfr,Pik3r3,Creld2,Arap2,Endou
Cd97,Zfp74,Fam117a,Anapc7,Hspa9,Gkn3,Impg2,Ndrg3,Hmgxb4,Rprd1b,Mrpl27,Il33
Ppib,Gclm,Mmp15,Clrn1,Pclo,Fscn1,2010002N04Rik,Zfp26,Porcn,Kcnh1,Ralgps2,Iqgap3
Ahdc1,Gltscr2,Evc,Far2,Arglu1,Prex2,Grik1,Hey1,Tmem50a,Rassf8,Rhobtb3,Fkbp5
