ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Cpsf1,Cetn2,Gcnt2,Ttbk2,Usp11,Tmem131,Astn2,Hnrnpl,Iws1,Os9,Atp6v1a,Akap12
Rsbn1,Vcan,Asb11,Ints8,Ceacam3,5330426P16Rik,Stk25,Plekhm1,Eif4ebp3,Pcolce,Grem2,Pnpla7
Cdc42ep1,Med12l,Zfp277,Fh1,Rasd2,Rora,Hspa5,Cckar,Tifa,Lamtor3,Zfp36l1,Yae1d1
Wfdc9,Ndst1,Akap1,Clec16a,Vcan,Lsp1,Mapk8ip1,Cpeb1,Hnrnpl,Nfrkb,Tnrc18,Atp6v1a
Brpf3,Serpinh1,Glis3,Dcaf7,Ptprs,Tmem11,Fry,Derl2,Plekhm1,S1pr5,Pik3r2,Pik3r2
Rpl10a,Dyrk1b,Lamb1,Slc25a10,Serpina1b,Itpr1,Tubb2b,Gm7092,Col10a1,Snx30,Tmem173,Serpina3c
Aldh3b2,Safb,Ldb3,Cbfa2t2,Serpinh1,Med12l,Ogg1,Cks1b,Haao,Nmur2,Myc,Tmem173
5330426P16Rik,Akap12,Lpar4,Ppp3cb,Rps2,Serpinh1,Ints8,Med21,Cpeb1,Mmp8,Dnajb6,Ykt6
Hadh,S100a11,Eif2c1,Cyp2f2,Nt5dc2,CN725425,Paqr3,Sclt1,Os9,Npr2,Klhl31,Sap130
Unc93a,Myl12a,Ms4a4d,Trp53bp1,Zfp207,Flii,Dcaf7,Wdr93,Zmat5,Sipa1l3,Cir1,Spon2
Itpr1,Psma7,Pacsin3,Nf1,Rpl15,Dyrk1b,Slc25a10,4930506M07Rik,Tm6sf2,Calm4,Vtn,Slc40a1
Mosc2,Gm3893,Dph5,Slc20a1,Pnpla7,Safb,Fnbp4,Npr2,S1pr5,Far1,Kynu,Pde1a
Tbcd,Pnpla7,Vamp5,Inmt,Mkln1,Rela,Tnfrsf8,Kif3a,Mtmr6,Afap1l1,Lhfp,Selm
Serpinh1,Eng,Cryab,Ccpg1,Lcmt2,Mrm1,Lgi4,Pparg,Slc47a1,Kdr,Glt8d2,Ccdc144b
Ndrg2,Nup188,Zbtb43,Rap1a,Prex1,Eng,Dpysl2,Far1,Dennd5b,2410066E13Rik,Fmnl1,Sh2b2
Gstm7,Zfp36l1,Myo18a,Adipor2,Hspa5,Zfp36l1,Lhx8,Fam48a,Zranb1,Clmp,Cav2,Glt8d2
Psma7,Serpina3c,Tspan8,Hif3a,Mapk8ip1,P4ha2,Brf1,Klhl28,4930506M07Rik,Coq10b,Grk6,Vdac3
Gm3893,Rassf9,Dcbld2,Gse1,Pnpo,Lcmt2,Jund,Dnase2a,Npr2,Gimap8,Scamp1,Parp16
Rpl15,Atp6v0b,Kcnb1,Plekho2,Vtn,Ankrd55,Fer,Afap1l1,Gch1,Nde1,Filip1l,Rufy2
Pnpla7,Hspa5,Cpsf1,Mrps16,Tubb2b,Tmem173,Trp53bp1,Tsr1,Pafah1b1,Tmem88b,A830007P12Rik,Adora1
P4ha2,Polrmt,Prmt8,Dazap2,Zc3hc1,Hspa5,Slc27a1,Kdr,Rec8,Fam189a2,Fam160b2,Mxd1
Ttc26,Atp5k,Lsm10,Zcchc7,Selm,Fry,Fbxl3,2410066E13Rik,As3mt,Tmem128,Coro1a,Slc27a1
Trim40,Slc40a1,Ptges,Phka1,Sh2b2,Ace,Sema4c,Coq10b,Fam48a,Icosl,Pdp1,Cd300lg
Tox2,Pigh,Gga3,0610007P14Rik,Hk1,Hnrnpk,Gnai3,Gimap8,Dnase2a,Hk3,Tada2a,Ssbp3
Hspa5,Glt8d2,Tmem131,Smarca4,Fmnl1,Spon2,Cul2,Efna3,Kdr,Vill,Ezr,2310008H09Rik
Gpr150,Ints8,Aldh3b2,Stk38,Ints8,A530084C06Rik,Dnahc1,Fam189a2,Coq10b,Snx15,Tbc1d14,Acsm5
Pnpo,Tmem47,Lsp1,Sv2c,Prpf4b,Arhgef6,Ccpg1,Cnot2,Nde1,Gpx3,Zfp58,Trim23
Clec1a,9130011J15Rik,Rpl9,Msi1,Dcaf7,B3galt4,Lsm7,Vill,Cnot2,Neu3,Cyp2f2,Dhrs9
Abhd14b,Fnbp4,Unc93a,Slc6a20a,Slc25a10,Pigh,Nsun5,Gcnt2,Slc25a28,Asb11,Tpm3,Large
Atp5k,Erf,Phrf1,Mga,Erf,Src,Gtpbp5,Trdmt1,Enpp4,Mme,Mxd1,Irf7
Slc40a1,Aifm2,Tmem11,Sorcs3,Ntmt1,Lhfp,Zzef1,Mme,D730039F16Rik,Hras1,Hmha1,Krcc1
Pde1a,Bag6,Vcan,Tsga10,Lgi4,Glt8d2,Hif3a,Hnrnpul1,B130006D01Rik,Hnrnpul1,Fbxl3,Itga6
Pigh,A830007P12Rik,Itpr1,Ndufa13,Dpysl2,Tgfbr2,Zswim6,Zfp277,Gcnt2,Fras1,Atpbd4,P2ry10
Cdc25a,Fam160b2,Tmem9,Sptssb,Eif1b,Cdc25a,Ppp2r1b,Gm6588,Snx15,Lamb1,Rpa2,Ptcd3
Parp16,Tbc1d19,Flnc,Zfat,Jund,Prpf4b,Orc6,BC003331,Neu3,Trim25,Nf1,Smarca4
Slc39a1,Adora1,Med12l,Slc25a37,Eif2d,Parp16,Pex12,Akap1,Mme,Vasn,Inmt,Vdac1
Tmem47,Cd200r1,Degs1,Erlin2,Alms1,Tbx5,Gpcpd1,Lamb1,Hras1,Eif2c1,Klf11,Rhbdl3
Slc25a10,Rnaseh2c,Ndst1,Zbtb26,Sema4c,Acy1,Zcchc7,Trim25,Hnrnpul1,Ms4a4d,Chst15,Atxn3
Optn,Trp53bp1,Serpinh1,Zbtb16,Bbs9,Optn,Cd83,Faf1,Zfp277,Trim16,Ankmy2,Fbxo38
Sqrdl,Slc27a1,Flii,Srr,Slc20a1,Tmem171,Phka1,Hist2h3c1,Snrpa,Scnn1a,Relt,Lrp12
Fam131b,Cd300lg,Brms1l,Nktr,Inmt,Fam131b,Alkbh4,Lpar4,Akap1,Klhl29,Hif3a,Leo1
Aifm2,Rgs3,Rela,Aif1l,2700081O15Rik,Tm4sf5,S1pr3,Vasn,Ptov1,Smurf2,Tmem170b,Casp8
Mars2,Sltm,Akap12,Bbs2,Acsm5,Gas6,Fam116b,Eif2c1,Hist2h3c1,Ets1,Gse1,Tacc2
A830007P12Rik,Ipo4,Gm3893,Ift172,Adipor2,Tmed5,Gorasp1,Pacsin3,Dhx9,Rhot2,Plin1,Abca8b
Iqck,Supt4h1,Rpl15,Tenm4,Zfp354c,Nt5c1b,Rbm41,Cmbl,Vasn,Cryab,Sema3c,Zfat
Grn,Rps19,Pnpla7,Prune,Hif3a,Ddx3x,Slc25a12,Scnn1a,Cmbl,Myo18a,Large,Homez
Coro1a,Inmt,Eng,Aldob,Sema3c,Dpysl2,Olfr453,Bag3,Scnn1a,Nln,Bbs1,Fam160a2
Dpysl2,Sema7a,Musk,Fam132a,Ntan1,Pdp1,Lum,Ncbp2,Grb10,Elof1,Plac9,Esr1
Slc6a4,Acsm5,Epn1,Bdh1,Zkscan16,Adora1,Wwp2,Plat,Ncbp2,Slc23a2,Itga6,Ttl
Kptn,Zfp36l2,Nup188,Uhmk1,Itga6,Cd300lg,Zbtb16,Mat2b,Prodh2,Lipg,Ptk2b,Fam101b
Slc27a1,Klf11,Zfp36l1,Usp2,Shprh,Tmem129,Gsto1,Rilpl2,1810030N24Rik,Uvrag,Apex2,Raf1
Alms1,Relt,P4ha2,Tomm34,Phka1,Sema4c,Srr,Vamp5,Myo18a,Kcnk1,Grpel1,Ccrn4l
Cd300lg,Dhrs9,4931429L15Rik,Slc38a9,Grpel1,Atpbd4,Nktr,Aspn,Gtse1,Rad51l1,Lsm1,Tenm4
Hps5,Ppp2r1b,Fkbp3,Sesn3,Lman2,Fbn2,Asphd1,Slc23a2,Slc23a2,Cxxc1,Zfp185,Plcb4
Atpbd4,Tmx1,Serpina3c,Slit1,Ntn4,Nf1,Puf60,Cxxc1,Lipg,Tmc3,Ntn4,Lgals4
2310008H09Rik,Orc6,Tspo,Dsg1c,Cacna1d,Lrtm1,Otud1,Tspan8,Uvrag,Cbx5,S1pr3,Adk
Adipor2,Pcdh20,Atp6v0b,Rhoj,Nol11,Prkrir,Aif1l,4933427G17Rik,Cxxc1,Prmt8,Mamdc2,2610019F03Rik
Klf11,Arap1,Sap130,Dopey2,Rsad1,Inmt,Bbs2,Prss48,Dcbld2,Pcdhb13,Zmiz1,Uhmk1
Acyp1,Itga6,Myh1,Mettl7a1,Leo1,Parp2,Agpat4,Cbx5,Cbx5,Apba3,Rsad1,Gpr19
Dhrs9,Gpcpd1,Pnpo,Fam173b,Dpp9,Wasf2,Ift172,Tmem135,Tmem135,Plvap,Leo1,Usp2
Zzef1,2810055G20Rik,Dnajb6,Plin3,Vipr1,Lsm7,Ptges3,Pdgfd,Vldlr,Lsm10,Plcg2,Prkar2a
Ppp2r1b,Zfp185,Arf5,B3galt1,Gm6576,Nsun5,Rb1,Ptges,Zbtb6,Ptges,Casp8,Yy1
Ash2l,Pcsk6,Olfr862,Slc38a2,Sptssb,Chst15,Dnaja1,Prdm11,Cpsf1,Tmem131,Slc25a12,Ppp6c
Prdx3,Zmiz1,Klhl31,Opalin,Ubxn2a,Pten,Bdh1,BC027231,3830406C13Rik,Tfip11,Clcn1,Grtp1
Mxi1,Arhgef15,Med9,Mapre2,Bhlhe22,Dhrs9,Mrps10,Brpf3,Apba3,9130014G24Rik,Ppl,Osgin2
1110038D17Rik,Psmd11,Ppp2r5c,Ssh1,Zbtb26,Anks1,Usp2,Spink8,Lsm10,Rora,Lrrc30,Cdc25b
Irf7,Rsad1,Spon2,Slc6a6,Zbtb16,Bmp1,Sesn3,5330426P16Rik,Mcm4,H2-Eb2,Lmod2,Eef2k
Ahcyl1,Nfix,Polrmt,Srgap3,Fam160a2,Tmem170b,Tnip2,Hadh,Brpf3,Bcl11a,Siglece,Rhoj
Dazap2,Leo1,1110057P08Rik,Dnm2,Gsto1,Tmx1,Pex5,Lsp1,Hadh,Lsp1,Zbtb16,Fam173b
Itga6,Cyb561,Slc40a1,Rpl24,Srr,Large,Eef2k,Slc25a30,Rora,Slc25a30,Prkg1,Rere
Luc7l3,Rab1,Pigh,Atg3,Rpl12,Mxi1,Gsg2,Cetn2,Ldlrad3,Rasd2,Cux1,Usp24
Gpcpd1,Ndufa13,Nit1,Gpr88,Prkg1,Plekho2,Phf14,Itpr1,Rpl9,Rilp,Fam101b,Adamts5
Ptk2b,Tmem56,Ttbk2,Eefsec,Fam101b,1110038D17Rik,Tbck,Tmem9,Ceacam3,Kmo,Nktr,Tmem201
Zcchc7,Zfp839,Hk1,Kif21b,Puf60,Cacnb3,Rhoj,Vmn1r35,Unc93a,Tnnt2,Cecr5,Tbl1x
Fabp4,Card10,Glt8d2,Noc3l,Cyp46a1,Plac9,Fam107a,Vopp1,Kmo,Itpr1,Ptprm,Tpd52l2
Ism1,Med24,Tgfbr2,1700009P17Rik,Tenm4,Itga6,Fam173b,Ptprs,Itpr1,Tmem9,Tnik,Mapre2
Usp6nl,Esr1,Cdc25a,Phtf1,Plcb4,Luc7l3,Galns,Esam,Ptprs,Gipc2,Tnfrsf13c,Pank3
Vdac1,Fxr2,Vdac3,Nupr1,Mtus2,Gpcpd1,Ndufv3,Gipc2,Psmd14,Tbcd,Nup205,Wdr81
Srprb,Ttl,Cav2,Arhgef4,Prune,Apex2,Mettl4,Mosc2,Med12l,Letm1,Pde3a,Slc6a6
Zfp185,Gm14296,Zcchc4,Pard3,Aldob,Apobec2,Srpk1,Psmd14,Degs1,Ndst1,Ccrn4l,Kpnb1
Astl,Fam101b,Ints8,Spire1,Klf7,Usp6nl,Slc38a2,Degs1,Rrp1b,Serpinh1,Timm8b,Dlc1
Smad5,Cecr5,Parp16,Tsc22d3,Fam132a,Stk38,Trim8,Ndst1,Letm1,Rln1,Cd27,Tssc4
Abcg5,Chkb,Pabpn1,Abcg2,Ccdc101,Rhbdl3,Zfand6,Serpinh1,Ndst1,Specc1l,Fcer2a,Galt
Sla,Nup205,Slc39a1,Emp3,Dpy19l3,Alg2,Opalin,Katna1,Katna1,Ndrg2,Ccdc50,Klb
Bre,Cxcl10,Slc25a10,Lrfn5,Rb1,Klf2,Lrrc24,Zfp40,Wdr34,Nt5dc2,Arhgap6,Kcnh2
Fam116b,Eif4ebp2,Ticam1,Pgap1,Nop56,Hlcs,Tulp4,Ndrg2,Nt5dc2,Rela,Klf7,Zxdc
Efcab1,Agpat4,Tmem171,Dock10,Pde4b,S1pr3,Dlc1,Wdr34,Dyrk1b,Akap12,Lgals4,Rnaseh2b
Nfix,Suclg1,Cttnbp2nl,Eif2b3,Bdh1,Pcsk6,Luc7l,Nt5dc2,Rela,S100a11,Dpy19l3,Dtx2
Leo1,Camk2b,Fnbp4,Marveld1,Mxra7,Nexn,Atg3,Brms1l,Myl12a,Gstm7,Nop56,Eif4b
Pcyox1l,Greb1l,Erf,Pln,Ntng2,Mga,Rnf38,Dyrk1b,Serpinf2,Psma7,Taf4b,Adra1a
Rbm41,Sucnr1,Cryzl1,Pdia4,Gstp1,Itgb1bp1,Tmem200c,Akap12,Grk4,Npw,Cited4,4930453N24Rik
Mpg,Ccdc50,Sun1,Arsg,Gpr19,1700010D01Rik,Znrf3,S100a11,Zfp207,Gm3893,Pde4b,Ets2
Tacc2,Ncstn,Aifm2,Rab22a,Ccdc108,B3gnt8,Zfp418,Myl12a,Arl6ip5,Rpl15,Il1r1,Star
Gtf2h5,Ptges3,Lrp6,Cdh3,Pde1b,Ttc17,Noc3l,Gm3893,Gstm7,Pnpla7,Bdh1,Tsc22d3
Rxra,Csf2rb,Bag6,Npepps,Usp2,Efcab1,1700009P17Rik,Pnpla7,Fabp1,Arhgef5,Pkdcc,Abcg2
Ppl,Fam132a,Filip1l,Zbtb48,Smpdl3a,Rsad1,Phtf1,Arhgef5,Rpl15,Yae1d1,Aoc3,2810428I15Rik
Zfat,Lgals4,Gas6,Zgpat,Sesn3,Leo1,Eif3d,Eng,Pnpla7,Atp6v1a,Fndc5,Marveld1
Vamp1,Dpy19l3,Eid2b,Crip1,Cdhr5,Cyb561,Pard3,Mkln1,Arhgef5,Grem2,Usp2,Pln
Pla2g2f,Nop56,Grn,Glra1,Acvr1b,1110008P14Rik,Uba3,Nup188,Scamp4,Mkln1,Npat,G6pd2
Gsto1,Ssbp4,Pdp1,Cldn5,Eef2k,Vipr1,Tsc22d3,Zfp36l1,Grem2,Epn1,Kcnf1,Adamts12
Arhgap21,Svep1,Adora1,Sel1l,Rhoj,Tacc2,Lgi3,P4ha2,Zfp36l1,Guca1b,Grtp1,Mup4
Gm14296,Stxbp2,Pex11a,Dgkb,Fam107a,Slc25a12,Abcg2,Erp29,P4ha2,4933404M02Rik,Csrnp1,Stxbp4
Pabpc1,Shb,Ppp3cb,Nfkb1,Mettl7a1,Rxra,Pdia4,Serpina3c,Erp29,Astn2,Lrrc8c,Cldn5
Fam101b,Nudt21,Synpo2l,Npas3,Ablim3,Lum,Cdcp1,Ttc26,Lcmt2,Zfp36l1,Gpc3,l7Rn6
Chkb,Aoc3,Zfp58,Neurl1a,Rab7l1,Gm2a,Rab22a,Myo5b,Mlh1,P4ha2,Acvr1b,Bsx
Nup205,Abr,Pigx,Sema3e,Plin3,Abca8b,Smchd1,Taf7,Tmem173,Pik3r2,Slc25a17,Fshb
Otud1,Bcas3,Fer,Ptgds,Mettl4,Eef1a1,Npepps,Prex1,Gm10106,Serpina3c,Eef2k,Pim1
Camsap1,Pde1b,Cyp2f2,Dst,Cyyr1,Ppl,Hsdl2,Myc,Cyp4a12a,Tspo,Rhoj,Tmem18
Clec18a,Usp2,Tpm3,Itga4,Sfrp2,Lrrc30,Stxbp4,Hspa5,Atp6v0b,Nudt14,Sipa1,Olfr98
Aif1l,Prkar2a,Aldh18a1,Pter,Zfp692,Pcyt1a,Cldn1,0610012H03Rik,Sap130,Prex1,Fam107a,2700062C07Rik
Tspan31,Ubtd2,Hmha1,Clcn2,Taf4a,Lmod2,Ddx18,Ace,0610012H03Rik,Ykt6,Mettl7a1,Dgkb
Pofut1,Sdcbp,Trp53bp1,Itih2,Opalin,Zbtb26,Ptges2,Arf5,Itih3,Tox2,Acadl,Sod2
Plcb4,Edc4,Slc27a1,Dap,Osbpl6,Zbtb16,Erp44,Ext2,Arf5,Hspa5,Art1,Adap2
Ncstn,Cdc25b,Cd300lg,Slc38a3,Rnf141,2210016F16Rik,Cldn5,Abhd14b,Ext2,Rbp2,Rccd1,Rab40b
Ptges3,Pex5,Rgs3,Lsm11,Psmd3,Rpl12,Reps1,Cir1,Cir1,Mapk8ip1,Adamts5,Bhlhe41
Fam132a,Eef2k,Ssbp3,Ankrd13a,Ypel2,Prkg1,Krt4,Rcn2,Zc3hc1,Klk1b24,Nudt7,Ptprd
Lgals4,Med16,Sltm,Stk32a,Myh9,Nudt9,Tmem18,D10Wsu102e,Hnrnpk,Pnpo,Bri3bp,Tinagl1
Cpe,Rhoj,Atpbd4,Olfml2a,Ftl1,Cux1,Mageb16,Tubb2b,Spon2,Fry,Tmem201,0610037L13Rik
Dpy19l3,Fam107a,Nf1,Anxa3,Rab3c,Fam101b,Slc35a4,Hap1,P2ry4,Ace,Slc25a1,Mapk14
Dnaja1,Mettl7a1,Cd248,Arl4a,Sik1,Tnik,Csdc2,Ppp2r5c,S100a5,Hipk2,Slc38a2,4831426I19Rik
Svep1,Rere,Lrtm1,Reps2,Dnm2,4930523C07Rik,Mtmr9,Sgsh,Ears2,Cypt3,Tbl1x,0610009B22Rik
Il1r1,Pdgfa,Capn8,Srpk2,Socs2,Dhx35,Tmem198b,Mdm1,Atp5k,Irs3,Arrdc3,Clcn2
Mib1,Ndufv3,Prkrir,Col4a3bp,Ctsh,Pde3a,Adprh,H1foo,Kynu,Rcn2,Ptx3,Atp13a3
Apol9b,Adamts5,Supt4h1,Akap9,Gfra1,Camsap1,Ccnl2,Kynu,Wbp2,Zfp568,Ssh1,Gprc5b
2610019F03Rik,Cyyr1,Inmt,St3gal4,Cpsf4l,Ccrn4l,Npas3,Ogg1,Mrps5,Sgsh,Arhgef1,Lcp2
Aoc3,Mtor,Sema7a,Slc9a2,Ngfrap1,Rbmx,Bhlhe41,Pde1a,Pigh,Spon2,Sprtn,Ablim2
