CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,3,6,9,12,15,18,21
Cre02.g095050,0.001634479,0.003805356,21,15,2.33002786,0.01408189,0.101644165,22.32911392,14.66496453,4.427042184,0.000268817,0.000814187,21.66455696,14.8515954,2.383261402,2.146278218,0.900563495,1.0062765,0.685434,0.452608,2.346295,4.531225,3.78123,4.174905,1.574005
Cre02.g095100,9.27E-05,0.000440158,21,3,2.037337271,0.080518948,0.164115573,20.95011876,2.18711329,8.885078387,9.56E-05,0.000364269,20.97505938,2.593077025,6.115300386,2.983989743,0.487954729,7.27415,11.6099,5.992095,3.390335,3.51516,5.34007,5.917175,8.035975
Cre02.g095150,0.00097863,0.002519158,24,21,55.15786447,0.040338464,0.113707445,23.77358491,17.38539101,118.7025713,0.00043976,0.001202358,23.88679245,19.18456099,55.70572241,42.67788533,0.766131081,41.08345,23.7167,11.94855,7.106545,26.98945,145.5905,93.45595,96.8366
Cre02.g095200,0.00423193,0.008454411,21,9,3.468012279,0.194607846,0.304712178,22.21662469,8.50363022,9.897211769,0.006672428,0.012335298,21.60831234,8.765749008,6.183356797,3.761265642,0.608288631,3.64076,3.64069,13.5353,5.899765,10.10055,4.39793,2.700695,2.894995
Cre02.g095250,0.001634479,0.003805356,21,13.5,0.972957011,0.068218324,0.148497957,20,10.99211916,2.197655012,0.001126328,0.00263295,20.5,12.22274678,1.155065751,0.988619812,0.855899165,0.601434,0.06204815,0.352414,2.74541,1.848435,1.3498,0.8592975,0.438187
Cre02.g095294,0.00423193,0.008454411,21,13.5,3.35160129,0.053257695,0.129989996,20.6557377,11.15760668,7.852992511,0.002118083,0.004536455,20.82786885,12.3199655,4.426357553,3.334281484,0.75327884,2.18323,0.3453345,1.901735,9.40021,6.799635,5.47288,4.019565,2.293105
Cre02.g095300,0.000134358,0.000636568,21,16.5,0.044353626,0.036851727,0.110010992,21.25301205,16.33516661,0.100037452,6.54E-05,0.000275354,21.12650602,16.41866553,0.043764582,0.050740063,0.050740063,0.0416369,0.003285355,0.00295149,0.02530125,0.0369896,0.11587255,0.0918324,0.0414254
Cre02.g095350,0.000176005,0.000685626,24,16.5,2.032094074,0.04788828,0.123213431,26.32835821,16.2683434,8.047002335,0.000106907,0.000397146,25.1641791,16.42468401,5.875039755,1.931976837,0.328844896,3.570595,5.321105,2.959145,5.992815,6.28359,8.75258,7.48789,6.702465
Cre02.g095400,9.27E-05,0.000440158,24,18,7.320064858,0.01293216,0.101644165,27.64890282,16.89815237,15.76953755,1.75E-05,0.00010939,25.82445141,17.57572139,8.384266834,5.461052153,0.651345223,1.12393,3.759095,0.436257,7.19319,9.956465,16.61925,15.11755,12.36255
Cre02.g095450,2.26E-05,0.000170427,24,4.5,0.71439882,0.011342593,0.101644165,25.56521739,2.897302385,1.722715961,4.15E-06,4.26E-05,24.7826087,3.727674293,0.993868266,0.676609405,0.676609405,1.545645,1.793765,1.518345,1.0397305,0.375615,0.3951795,0.5039775,0.752387
Cre02.g095500,1,1,21,18,0.577769173,0.957516796,1,28,9.327481201,1.630057928,0.999084531,1,24.5,2.330773026,1.636302171,0.461738623,0.282184203,6.63085,0.08960505,0.715549,2.420785,0.6706995,1.271315,0.8447755,0.4863
Cre02.g095550,9.27E-05,0.000440158,21,15,0.796254562,0.01419196,0.101644165,21.56479218,12.48062589,2.113395752,1.91E-05,0.000115874,21.28239609,13.75945031,1.121090077,1.019013194,0.908948544,0.472416,0.111161,0.4125575,1.368575,2.44147,1.628765,1.36526,0.637693
Cre02.g095600,0.363257419,0.436950812,24,4.5,2.512117048,0.530766902,0.666365494,28,8.807776821,4.491095355,0.5101767,0.624259979,26,6.526824953,3.704996661,2.505727136,0.676310228,11.8847,1.191783,4.4362,5.32222,1.32671,0.9338795,1.086855,2.48799
Cre02.g095650,0.744901443,0.846629461,24,6,0.439060278,0.613773806,0.748293843,20.36951501,8.613996791,3.68374789,0.815021201,0.943776618,22.18475751,7.463914029,3.112296183,0.37885996,0.121730047,3.35145,2.69494,3.58487,3.97751,2.77649,2.797615,2.671275,2.89173
Cre02.g095700,0.010037898,0.017616642,24,3,0.078814723,0.368100822,0.500117745,28,7.74E-05,0.830434302,0.02438963,0.039093321,26,1.625035919,0.157724217,0.115744886,0.115744886,0.909256,0.0545901,0.1393415,0.06058465,0,0,0,0.0556102
Cre02.g095750,0.001634479,0.003805356,24,4.5,0.287834497,0.156873341,0.260049985,28,7.74E-05,1.970787019,0.002376564,0.00502062,26,2.437535919,0.491598319,0.248219347,0.248219347,2.1439,0.385321,0.609157,0.3227745,0.06132975,0.018726,0.0254775,0.3043405
Cre02.g095800,0.00097863,0.002519158,21,15,0.701513567,0.045302604,0.119598875,23.77358491,15.83886348,3.120256824,0.000488732,0.00131001,22.38679245,15.45274791,2.562447178,0.656233998,0.256096595,2.272465,1.68004,1.749305,2.93156,2.729085,3.31387,3.019175,2.73929
Cre02.g095850,0.000569951,0.001646957,24,18,2.936246767,0.021327225,0.101644165,28,17.47528417,7.01858007,0.000149728,0.000512373,26,17.86352479,4.363630417,1.603270172,0.367416582,1.247195,2.864765,0.7635335,4.33154,5.049775,7.22565,6.81769,6.384735
