CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,6,12,18
GNA14,0.394105712,0.968090863,18,0,0.354784107,0.99999949,1,24.28162564,17.99993369,7.184181114,0.761071581,1,21.14081282,18.40623327,6.508575757,1.117191092,0.171649088,9.44162661,5.704946979,5.98982723,7.184187714
GNA15,1,1,24,0,2.174493881,1,1,24.30945559,6.63E-05,64.90188269,1,1,24.15472779,3.29E-05,64.18019819,2.002351492,0.031198899,66.02740557,63.24010096,62.90662112,65.63229794
GNAI1,0.160052079,0.561801971,24,15,21.7891493,0.947208857,1,28,17.99993369,480.3036741,0.437600069,1,26,16.48211207,462.6596324,1.454870817,0.003144581,383.0409075,456.6423696,476.3924036,480.3036957
GNAI3,1,1,24,18,9.69759373,1,1,25.29516995,12.00001091,516.4578959,1,1,24.64758497,15.08924289,509.9878234,8.329606365,0.016332951,463.8361288,504.5172489,516.4578959,516.4267324
GNAL,1,1,24,0,0.16414598,1,1,24.79251899,6.63E-05,6.901803367,1,1,24.3962595,3.26E-05,6.694841141,0.228619623,0.034148626,6.83024979,6.554751708,6.550803794,6.760651967
GNAO1,1,1,18,0,0.178015406,0.999999962,1,28,11.99998625,6.50892988,1,1,23,4.928565783,6.565346072,0.321705638,0.049000561,7.178999041,6.416724815,6.50892988,6.393543833
GNAQ,1,1,18,15,0.577171491,1,1,28,12.00000045,51.50628364,1,1,23,14.51190495,50.89856071,1.501206231,0.02949408,63.709733,50.52091563,51.50628364,49.94289363
GNAS,1,1,24,18,18.89003858,1,1,27.59921926,12.0000165,951.8310235,1,1,25.79960963,15.28363077,937.8759988,15.30892293,0.016322971,906.6778047,929.4743875,951.8310235,951.5990679
GNAT1,1,1,24,18,0.066666409,1,1,28,17.99993369,5.401116335,1,1,26,18.10711207,5.300436647,0.010070599,0.001899957,4.8262246,5.269403962,5.313911777,5.401116817
GNAZ,0.224410469,0.685369331,18,12,0.040633794,0.999989496,1,26.10461538,5.999998631,5.237057475,0.559738675,1,22.05230769,9.885068511,5.140121227,0.124875475,0.024294267,4.492842455,5.237057475,5.202588453,4.944275685
GNB1,0.957541773,1,24,15,4.973326015,1,1,20,11.99999997,131.3563904,0.999085615,1,22,13.47499999,126.4772267,6.730874982,0.053218079,153.0756643,121.510577,131.3563904,126.364292
