CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,4,8,12,16,20,24,28,32,36,40
Synpcc7942_0336,0.001150303,0.008302183,24,22,691.973389,0.076755185,0.439357267,23.58208955,20.4823541,5904.398902,0.000912483,0.006241983,23.79104478,21.23615051,5273.090828,872.1453666,0.165395476,5494.368939,4099.732172,4881.011346,5649.146167,5746.360844,5888.868115,5524.366186,3996.713066,4731.527543,5291.049644
Synpcc7942_0335,0.001623662,0.010339947,24,0,773.4042174,0.042755425,0.345430523,22.80412371,21.60603712,5324.310572,0.000734143,0.005345079,23.40206186,22.78731128,4716.299871,963.5446685,0.204300976,5388.117945,3427.888686,4206.842989,4850.419259,5175.98992,5373.334838,5174.945988,3358.448153,3949.757934,4799.383969
Synpcc7942_0334,0.039652498,0.127894715,24,0,672.0292704,0.2851545,0.861294573,23.38266385,20.49586788,5897.228528,0.061989138,0.199939058,23.69133192,22.22888004,5270.609007,881.4188437,0.167232827,5959.725826,3868.256888,4954.225049,5629.11953,5636.529167,5967.742881,5516.476344,3990.77367,4743.768503,4996.157905
Synpcc7942_0333,0.064166371,0.181355579,24,22,451.7501601,0.272986415,0.842739236,22.80412371,20.6544712,6667.948587,0.088364139,0.264137702,23.40206186,21.32396709,6070.197345,954.2902943,0.157209105,6706.782164,4499.946452,5862.184238,6269.937993,6442.466566,6717.164691,6415.461958,4661.995061,5385.21882,6288.337292
Synpcc7942_0332,0.039652498,0.127894715,24,22,499.2243152,0.165582211,0.661033192,23.78494624,20.18572296,5493.751913,0.039564469,0.137591519,23.89247312,21.08920609,4973.174845,704.7983129,0.141719995,5183.93659,3969.655302,4794.012887,5343.452445,5407.052246,5378.147396,5067.264493,3996.513845,4426.132562,5000.895732
Synpcc7942_0331,0.010503636,0.045485311,24,0,796.6121677,0.081351212,0.453598809,22.43407708,21.07810099,9283.811282,0.006891421,0.032935966,23.21703854,22.51538834,8679.655388,1060.237687,0.122152049,9842.251471,7280.360868,7961.921482,9048.089738,9087.857725,9195.75394,9136.577336,7232.26043,7774.539274,8678.516818
Synpcc7942_0330,0.013910279,0.057156097,24,22,866.1885783,0.145809172,0.622752725,22.71047228,21.90128827,13680.636,0.014604557,0.061118231,23.35523614,21.96602269,12782.05538,1491.674119,0.116700646,14137.32975,11043.76244,11702.24129,13314.47701,13341.55831,13452.50438,13945.15517,10378.89855,11599.90747,12619.93937
Synpcc7942_0329,0.050611446,0.153498781,24,0,81.66575532,0.214443907,0.739564167,22.34343434,22.06081141,535.1222714,0.059945954,0.195118203,23.17171717,23.02516721,485.5667453,83.22809131,0.171404018,544.9396514,338.9371693,425.2939206,479.1268939,538.7203267,522.0225032,540.4447267,381.4539763,450.6824898,516.5261069
Synpcc7942_0328,1,1,24,22,531.5501841,0.999859813,1,28,23.901605,9739.10956,0.99999999,1,26,23.01384042,9264.884984,510.6081406,0.055112194,8777.402728,9145.378517,8564.959513,9635.835091,9352.647817,9707.005342,9775.911719,9253.734571,8334.13177,9043.691137
Synpcc7942_0327,0.961527498,1,28,26,690.9280154,0.951112695,1,23.99132321,0.495999466,14370.06395,0.996237886,1,25.99566161,25.33596382,13743.07194,983.7600513,0.071582253,14757.15329,13734.89503,12224.16893,13921.85418,13534.96273,14163.60601,14968.39933,13372.78016,12597.02905,12701.68701
Synpcc7942_0326,1,1,28,0,856.1219834,0.982517962,1,23.88768898,0.545245312,14857.95367,0.999846291,1,25.94384449,0.29608891,14227.7245,832.2415827,0.058494356,14942.18119,14168.12144,13005.94205,14151.78552,14123.58706,14810.6916,15361.86984,13729.40951,13515.87912,13550.78643
Synpcc7942_0325,0.155572965,0.356044746,24,0,402.7311401,0.923497462,1,22.71047228,1.489107028,8706.413003,0.422426149,0.898306347,23.35523614,0.765691832,8323.19309,411.3673301,0.04942422,8085.512197,8214.397966,7507.836823,8028.269333,8586.32813,8823.58731,8651.157319,7977.729457,8457.460018,8369.359181
Synpcc7942_0324,0.039652498,0.127894715,24,8,40.73124585,0.531042675,1,23.58208955,8.06572832,337.4099287,0.102348667,0.294963173,23.79104478,8.033772529,310.8012667,49.56511953,0.159475282,329.6812475,387.2689967,312.9378391,284.5800958,275.0335095,289.6454248,301.6303842,402.2055626,301.4475348,294.3242695
Synpcc7942_0323,1,1,20,8,16.77422094,1,1,20,15.32580762,665.0896741,1,1,20,11.66290381,653.5291606,2.372304749,0.003629991,677.6591071,646.6799112,695.3077919,647.5792699,658.3283058,676.6417704,650.3863195,646.7140563,598.8738413,637.1212324
Synpcc7942_0322,1,1,28,18,14.40206468,1,1,22.16432866,16.66971222,294.4446533,1,1,25.08216433,17.49422724,294.6558166,8.049642017,0.027318796,282.8459166,284.1174652,299.6979557,281.094178,299.8997626,300.3502689,268.9465268,302.0964377,295.2951005,325.3599417
Synpcc7942_0321,0.191227213,0.414769825,28,4,280.6529859,0.594869893,1,25.54272517,5.358223945,4945.737531,0.361025861,0.79063711,26.77136259,4.720220834,4800.129085,272.7108389,0.05681323,5314.264389,5038.188034,4583.134388,4823.400865,4590.244242,4728.746179,4890.375133,5104.601349,4836.498269,4459.913021
Synpcc7942_0320,1,1,20,0,27.40364426,0.852285735,1,20.6728972,19.68609983,185.4330529,0.988509495,1,20.3364486,19.85107991,166.1918462,27.67119416,0.166501515,197.683488,153.8368726,147.1646581,200.8886852,182.3407418,170.8010056,146.8531816,129.1892518,154.074529,175.1828212
Synpcc7942_0319,1,1,20,14,13.11426887,0.998741701,1,20.82862524,15.49924486,188.234133,0.999999208,1,20.41431262,14.74048023,174.9783842,10.51437475,0.060089564,158.8753933,171.2687889,172.3754467,182.5798597,157.6182284,167.4935569,166.1657357,204.3057584,187.7292249,182.7981662
Synpcc7942_0318,0.695784384,1,28,6,28.63735342,0.994061194,1,26.02352941,9.111267227,779.6701072,0.946645055,1,27.01176471,7.622750005,698.5130998,76.08859427,0.108929373,705.1246028,778.0454706,618.6359763,756.0738728,581.0846562,630.6594691,706.3143403,918.2658092,693.7991838,762.9612383
Synpcc7942_0317,0.007867067,0.03634322,24,10,39.53526166,0.136549397,0.604653001,20.82862524,10.51900668,503.2903617,0.008417919,0.038853064,22.41431262,10.32955884,428.4514458,105.2152839,0.245571079,326.5139268,603.5807038,423.3756676,414.3841341,364.1481687,364.7646705,478.5354838,631.9296121,397.3146607,402.8496587
Synpcc7942_0316,0.000259241,0.003179851,24,12,2637.279608,0.01526231,0.291627884,23.48195329,10.48595962,5882.799537,5.32E-05,0.000778892,23.74097665,11.23605793,4359.268586,2911.195221,0.667817356,2825.918542,7863.078624,6714.696019,4195.317767,2434.490684,2147.734309,3071.828799,7454.488219,6475.919958,5024.264435
Synpcc7942_0315,0.819887421,1,28,16,66.55178362,0.880966577,1,28,14.00266171,1322.827925,0.957272676,1,28,15.00133085,1252.514729,56.60097007,0.045189864,1198.49919,1260.216827,1321.676089,1374.304947,1218.613263,1235.900879,1171.038515,1273.330354,1222.24315,1249.286098
Synpcc7942_0314,0.233711771,0.486573839,24,22,9.037792781,0.420429825,1,20.6728972,19.99029603,296.4443418,0.326235391,0.73525089,22.3364486,21.03699815,272.8899836,44.08978009,0.161566136,299.0991941,236.5867513,246.6957461,275.2652834,318.8331755,274.6024183,260.0625312,202.3370078,265.1987349,301.5605523
Synpcc7942_0313,0.343341746,0.667385595,28,22,88.41849055,0.704156277,1,28,23.38150687,871.1386653,0.58502208,1,28,22.69075343,816.2352029,63.84859703,0.078223283,745.9343039,697.0319865,773.0270845,832.4099734,836.7724574,873.3148575,910.2028372,724.0243215,834.2216437,793.6661159
Synpcc7942_0312,0.003138671,0.017444845,24,12,140.8368294,0.03818755,0.342205783,22.99376299,12.24774761,476.7359463,0.001202082,0.007734323,23.4968815,12.13208853,368.1537833,226.8609815,0.61621255,207.1782425,447.7563963,707.8462334,298.3946823,251.5885451,228.0054474,258.1277232,495.7550867,682.130742,418.5720951
Synpcc7942_0311,0.961527498,1,24,14,12.33672711,0.852399146,1,21.98807157,15.3446279,224.4702528,0.98265133,1,22.99403579,14.72991955,219.7017292,28.78461579,0.131016792,189.3494622,195.1503541,245.2083012,211.2144928,218.2867664,200.2352974,195.9029634,206.4350764,303.7999568,247.762109
Synpcc7942_0310,1,1,20,0,12.40511728,0.999999817,1,20,0.053963987,181.7285568,1,1,20,0.026981993,182.8958013,12.19439905,0.066674024,205.0222927,156.1654381,181.3850126,177.2173655,177.5525324,182.3586427,180.549493,157.7971234,220.2477773,190.6623354
Synpcc7942_0309,0.493766276,0.890280975,24,8,36.85412563,0.48870833,1,20.59590317,9.472812161,1104.649631,0.584370598,1,22.29795158,8.844148628,985.4081849,142.6897751,0.144802709,888.2854015,1201.46579,905.7189817,945.2471501,868.1086812,959.8214694,1076.465426,1293.933802,867.7373353,983.3366618
Synpcc7942_0308,0.050611446,0.153498781,24,8,61.19204652,0.124506332,0.569891117,22.0758483,8.146974325,1028.569253,0.03823072,0.133888175,23.03792415,8.090665673,903.8772867,164.3860489,0.181867662,918.1881146,1144.844742,832.5061928,859.9053728,857.7495776,822.0490243,982.1285083,1250.335973,809.3343835,747.3434644
Synpcc7942_0307,0.080821947,0.215237058,24,10,53.64565315,0.302532277,0.884824219,22.52545825,8.913101999,392.7208814,0.115191638,0.323885635,23.26272912,9.448818313,342.341954,77.23487306,0.225607385,338.0765449,469.0122323,339.1964504,301.7930081,311.2922691,282.395669,364.1280364,492.2056494,325.4340938,312.193066
Synpcc7942_0306,1,1,28,8,16.07119158,0.997871678,1,21.55945419,9.462191724,100.1792719,0.999997734,1,24.7797271,8.977726891,93.02090246,14.71604871,0.158201526,96.06734252,107.6787092,119.6978241,77.03273442,89.28696084,88.18928999,80.1441631,131.7189488,81.75335457,86.6465462
Synpcc7942_0304,2.12E-08,3.80E-05,24,12,1956.054221,0.006261425,0.287325741,23.28421053,11.25789584,2319.262076,3.16E-09,6.10E-06,23.64210526,11.62599514,1374.442185,1953.377588,1.421214809,297.8969098,2990.701874,3456.581432,1116.466403,87.5570502,67.90447152,405.1658213,3090.869587,3463.338476,1710.643689
Synpcc7942_0303,0.039652498,0.127894715,24,10,10.71927425,0.535700811,1,23.18658281,11.51529291,53.85571912,0.103060923,0.295988117,23.5932914,10.77390857,46.30975677,11.52628849,0.248895466,44.99090016,55.39765713,53.50703961,45.57630331,34.33333945,39.49648623,42.31727086,65.43912679,53.62790786,46.75235102
Synpcc7942_0302,7.43E-05,0.001390329,24,12,58.36099415,0.046555115,0.358794259,23.28421053,12.0609493,209.927579,4.69E-05,0.000719996,23.64210526,12.03369362,150.2468493,132.2149586,0.879984899,75.59342506,210.7004096,330.9887812,113.0258651,67.49379307,78.91863106,77.00624586,220.5379169,355.8796253,161.6163007
Synpcc7942_0301,1,1,28,16,85.08780937,0.970788717,1,28,15.82935146,1914.323514,0.999569134,1,28,15.91467573,1814.719568,77.01011996,0.042436375,1848.377008,1751.283572,1978.943632,1834.961143,1954.181397,1792.487666,1712.556184,1744.986431,1693.646789,1800.503742
Synpcc7942_0300,0.004301847,0.022362422,24,0,165.2705802,0.066929755,0.415683616,22.0758483,20.67838407,1040.734503,0.002635295,0.014742539,23.03792415,22.30874096,942.8047998,182.0686037,0.193113785,1184.899489,805.2111191,756.8845998,1015.568597,1100.212849,957.6623401,944.5728262,776.4318858,696.6481981,932.255115
Synpcc7942_0299,0.155572965,0.356044746,24,0,79.49272567,0.494549535,1,22.61758691,21.17673844,386.5604092,0.274266528,0.635869325,23.30879346,22.56635264,355.3686333,61.40082903,0.172780666,461.5581493,257.6035929,318.7468225,348.519487,394.5935445,387.5017629,354.9790758,307.7475469,305.6428425,324.7936219
Synpcc7942_0298,0.493766276,0.890280975,24,0,15.55499981,0.798539315,1,21.47572816,1.436483165,195.7955082,0.761244982,1,22.73786408,0.760452887,186.0171886,18.06261946,0.097101884,204.3253254,170.6553789,166.6183956,189.79315,186.940986,200.5695573,196.0707806,156.7092563,175.7240193,191.1422851
