BAA17415,aroC
BAA10516,dnaB
BAA17877,prmA
BAA18826,prfA
BAA10261,"aat,aspC"
BAA17496,ftsZ
BAA17801,dnaA
BAA18699,aroE
BAA18680,lim17
BAA18282,thrC
BAA18734,cpcG
BAA10580,por
BAA17609,gap1
BAA18229,dnaG
BAA18510,glnN
BAA18785,dapF
BAA17536,pntA
BAA10256,glcD
BAA18147,rps2
BAA17620,uvrC
BAA16811,aroK
BAA17705,hemC
BAA17728,mbpA
BAA17092,psbE
BAA18634,murC
BAA10829,uppS
BAA17483,lysS
BAA18242,rnpA
BAA18361,rpl27
BAA10322,menE
BAA10350,ruvB
BAA18326,purD
BAA17341,rpl29
BAA10119,secF
BAA17663,deoC
BAA18244,yidC
BAA10145,tpi
BAA10023,ams1
BAA17738,hemA
BAA16872,trpA
BAA10191,rbcX
BAA10885,ndhA
BAA10804,cmpB
BAA17558,recJ
BAA17354,petJ
BAA17931,kdpC
BAA18774,psaI
BAA17318,purA
BAA18241,rpl34
BAA16890,infC
BAA17551,glgP
BAA18746,chlN
BAA18522,ntcB
BAA10450,moeA
BAA17691,thrB
BAA18266,rpoC1
BAA18395,nadC
BAA18658,apcF
BAA17948,isiA
BAA10314,ycf46
BAA10173,hisS
BAA10662,minD
BAA10656,thiC
BAA10189,ctpA
BAA16984,btpA
BAA18468,dfa3
BAA17452,uvrA
BAA18146,tsf
BAA16960,sun
BAA18594,xthA
BAA10706,ziaR
BAA10703,merR
BAA18107,psaJ
BAA10537,coaD
BAA16841,ycf19
BAA18569,pepP
BAA18179,act
BAA16903,rfbC
BAA16634,rffM
BAA18424,cysS
BAA17598,gatA
BAA18523,alaS
BAA17882,thiL
BAA16690,crtE
BAA17090,rub
BAA17928,kdpA
BAA18841,argG
BAA10883,ndhG
BAA10182,clpC
BAA16847,psbU
BAA18745,chlL
BAA10866,clpX
BAA17438,psaB
BAA17722,psbY
BAA16831,birA
BAA10270,purU
BAA10863,trpC
BAA17145,glcF
BAA17293,nrtD
BAA10861,ruvC
BAA10855,hisG
BAA17919,mntC
BAA16724,petN
BAA10806,cmpC
BAA18436,folB
BAA17917,mntB
BAA10207,recG
BAA16740,atpB
BAA18283,ndhC
BAA18269,ftsW
BAA18657,chrA
BAA18558,pyrH
BAA16689,trpE
BAA18393,ppc
BAA18761,KaiB
BAA16823,pheA
BAA17281,zam
BAA17275,folP
BAA17821,mutS
BAA18458,prk
BAA10476,natB
BAA10341,pstS
BAA10196,lpxB
BAA10199,murZ
BAA18741,ggtA
BAA18749,eno
BAA18321,tufA
BAA10869,asd
BAA16735,atpA
BAA16901,rfbF
BAA10868,tig
BAA10347,secA
BAA17058,ytfC
BAA17876,apcC
BAA10169,rps21
BAA17228,cpcD
BAA17088,ycf23
BAA10449,cynS
BAA16775,ccmK1
BAA10448,nirA
BAA10653,pcyA
BAA16835,icd
BAA17230,cpcC2
BAA16869,sir
BAA10049,ycf37
BAA18299,pyrG
BAA10553,rnhA
BAA10610,cysR
BAA16622,hypD
BAA16774,ccmL
BAA10139,folD
BAA17188,ackA
BAA17417,rpl10
BAA17568,psbZ
BAA17166,chlI
BAA10844,asnS
BAA16727,glmS
BAA16654,cpcF
BAA10183,dxr
BAA16722,phoA
BAA10881,valS
BAA17545,ileS
BAA18017,plsX
BAA10280,trpG
BAA17535,menB
BAA18181,ctaB
BAA16764,typA
BAA18088,"atpE,atpC"
BAA18264,hlyD
BAA10151,rfbW
BAA10782,sps
BAA10763,petM
BAA17932,kdpD
BAA17875,apcB
BAA18399,pqqE
BAA16741,atpI
BAA16708,psbM
BAA17490,nrtC
BAA18466,cpcT
BAA10276,ilvN
BAA18095,hoxU
BAA10824,hemE
BAA10812,chlM
BAA17332,rpl15
BAA16678,nifS
BAA10768,mraY
BAA17785,murI
BAA17984,ilvB
BAA10227,petE
BAA18008,proS
BAA18091,hoxH
BAA17580,lspA
BAA16736,"atpH,atpD"
BAA17572,recF
BAA17783,ndbB
BAA17813,pyrF
BAA18263,petC
BAA10611,glk
BAA10251,efp
BAA17547,dnaX
BAA17970,tyrA
BAA10760,ycf35
BAA18208,argJ
BAA17380,mutL
BAA18172,cytM
BAA16791,pdxJ
BAA18236,petG
BAA10848,purE
BAA10154,hypF
BAA10664,minC
BAA18167,cysE
BAA17393,cobN
BAA17437,psaA
BAA16886,apcD
BAA18577,prfB
BAA18033,hflX
BAA17695,livF
BAA18275,pilM
BAA10813,panB
BAA18814,truB
BAA17185,cydA
BAA10118,secD
BAA10197,"fer,petF"
BAA18769,vte5
BAA10793,gatC
BAA18357,hypA
BAA10696,umuC
BAA17611,aat
BAA18625,glgA
BAA10438,metH
BAA10406,folE
BAA17947,isiB
BAA10473,pth
BAA16721,ndhB
BAA10219,glyS
BAA18089,ymxG
BAA18639,recR
BAA17383,lacF
BAA17533,gshB
BAA17053,gpsA
cobA,cobA
BAA18168,pgi
BAA10604,kprS
BAA17874,apcA
hypB,hypB
BAA17530,todF
BAA17561,cscK
BAA10558,hisH
BAA18844,purK
BAA18566,pilC
BAA18087,"atpB,atpD"
BAA17594,ruvA
BAA16693,phoU
BAA16843,trmD
BAA18094,hoxY
BAA17095,psbJ
BAA17463,cbiD
BAA16787,chlD
BAA18481,purB
BAA18773,psaL
BAA10803,cmpA
BAA17089,dxs
BAA17527,codA
BAA17735,sppA
BAA10748,polA
