"goterm" "ontology"
"3919" "GO:0003410" "P"
"3920" "GO:0003411" "P"
"3921" "GO:0003412" "P"
"3922" "GO:0003413" "P"
"3923" "GO:0003414" "P"
"3924" "GO:0003415" "P"
"3925" "GO:0003416" "P"
"3926" "GO:0003417" "P"
"3928" "GO:0003418" "P"
"3929" "GO:0003419" "P"
"3930" "GO:0003420" "P"
"3935" "GO:0003421" "P"
"3936" "GO:0003422" "P"
"3937" "GO:0003423" "P"
"3938" "GO:0003424" "P"
"3940" "GO:0003425" "P"
"3943" "GO:0003426" "P"
"3944" "GO:0003427" "P"
"3949" "GO:0003428" "P"
"3950" "GO:0003429" "P"
"3952" "GO:0003430" "P"
"3954" "GO:0003431" "P"
"3955" "GO:0003432" "P"
"3956" "GO:0003433" "P"
"3957" "GO:0003434" "P"
"3958" "GO:0003435" "P"
"3959" "GO:0003436" "P"
"3960" "GO:0003437" "P"
"3961" "GO:0003676" "F"
"3963" "GO:0003677" "F"
"3964" "GO:0003678" "F"
"3966" "GO:0003680" "F"
"3967" "GO:0003681" "F"
"3968" "GO:0003682" "F"
"3969" "GO:0003684" "F"
"3970" "GO:0003688" "F"
"3971" "GO:0003689" "F"
"3973" "GO:0003690" "F"
"3974" "GO:0003691" "F"
"3976" "GO:0003692" "F"
"3977" "GO:0003693" "F"
"3978" "GO:0003695" "F"
"3979" "GO:0003696" "F"
"3980" "GO:0003697" "F"
"3981" "GO:0003700" "F"
"3982" "GO:0003707" "F"
"3983" "GO:0003711" "F"
"3984" "GO:0003712" "F"
"3985" "GO:0003713" "F"
"3986" "GO:0003714" "F"
"3987" "GO:0003720" "F"
"3988" "GO:0003721" "F"
"3989" "GO:0003723" "F"
"3990" "GO:0003724" "F"
"3992" "GO:0003725" "F"
"3993" "GO:0003726" "F"
"3994" "GO:0003727" "F"
"3995" "GO:0003729" "F"
"3996" "GO:0003730" "F"
"3997" "GO:0003735" "F"
"3998" "GO:0003743" "F"
"3999" "GO:0003746" "F"
"4000" "GO:0003747" "F"
"4001" "GO:0003755" "F"
"4003" "GO:0003756" "F"
"4005" "GO:0003774" "F"
"4006" "GO:0003777" "F"
"4007" "GO:0003779" "F"
"4008" "GO:0003785" "F"
"4009" "GO:0003786" "F"
"4010" "GO:0003796" "F"
"4012" "GO:0003810" "F"
"4013" "GO:0003823" "F"
"4014" "GO:0003824" "F"
"4015" "GO:0003825" "F"
"4016" "GO:0003826" "F"
"4017" "GO:0003827" "F"
"4019" "GO:0003828" "F"
"4020" "GO:0003829" "F"
"4022" "GO:0003830" "F"
"4024" "GO:0003831" "F"
"4025" "GO:0003832" "F"
"4026" "GO:0003833" "F"
"4027" "GO:0003834" "F"
"4028" "GO:0003835" "F"
"4029" "GO:0003836" "F"
"4030" "GO:0003837" "F"
"4031" "GO:0003838" "F"
"4033" "GO:0003839" "F"
"4034" "GO:0003841" "F"
"4036" "GO:0003842" "F"
"4037" "GO:0003843" "F"
"4038" "GO:0003844" "F"
"4039" "GO:0003845" "F"
"4040" "GO:0003846" "F"
"4041" "GO:0003847" "F"
"4042" "GO:0003848" "F"
"4043" "GO:0003849" "F"
"4044" "GO:0003850" "F"
"4045" "GO:0003851" "F"
"4046" "GO:0003852" "F"
"4047" "GO:0003853" "F"
"4048" "GO:0003854" "F"
"4049" "GO:0003855" "F"
"4050" "GO:0003856" "F"
"4051" "GO:0003857" "F"
"4052" "GO:0003858" "F"
"4053" "GO:0003859" "F"
"4054" "GO:0003860" "F"
"4055" "GO:0003861" "F"
"4056" "GO:0003862" "F"
"4057" "GO:0003863" "F"
"4058" "GO:0003864" "F"
"4059" "GO:0003865" "F"
"4060" "GO:0003866" "F"
"4061" "GO:0003867" "F"
"4062" "GO:0003868" "F"
"4063" "GO:0003870" "F"
"4064" "GO:0003871" "F"
"4066" "GO:0003872" "F"
"4067" "GO:0003873" "F"
"4068" "GO:0003874" "F"
"4069" "GO:0003875" "F"
"4070" "GO:0003876" "F"
"4071" "GO:0003877" "F"
"4072" "GO:0003878" "F"
"4073" "GO:0003879" "F"
"4074" "GO:0003880" "F"
"4075" "GO:0003881" "F"
"4076" "GO:0003882" "F"
"4077" "GO:0003883" "F"
"4078" "GO:0003884" "F"
"4079" "GO:0003885" "F"
"4080" "GO:0003886" "F"
"4082" "GO:0003887" "F"
"4083" "GO:0003896" "F"
"4084" "GO:0003899" "F"
"4085" "GO:0003904" "F"
"4086" "GO:0003905" "F"
"4087" "GO:0003906" "F"
"4088" "GO:0003908" "F"
"4089" "GO:0003909" "F"
"4091" "GO:0003910" "F"
"4092" "GO:0003911" "F"
"4093" "GO:0003912" "F"
"4095" "GO:0003913" "F"
"4097" "GO:0003914" "F"
"4098" "GO:0003916" "F"
"4100" "GO:0003917" "F"
"4101" "GO:0003918" "F"
"4103" "GO:0003919" "F"
"4104" "GO:0003920" "F"
"4105" "GO:0003921" "F"
"4106" "GO:0003922" "F"
"4107" "GO:0003923" "F"
"4109" "GO:0003924" "F"
"4110" "GO:0003933" "F"
"4111" "GO:0003934" "F"
"4112" "GO:0003935" "F"
"4113" "GO:0003937" "F"
"4114" "GO:0003938" "F"
"4115" "GO:0003939" "F"
"4116" "GO:0003940" "F"
"4117" "GO:0003941" "F"
"4118" "GO:0003942" "F"
"4119" "GO:0003943" "F"
"4120" "GO:0003944" "F"
"4121" "GO:0003945" "F"
"4122" "GO:0003947" "F"
"4123" "GO:0003948" "F"
"4124" "GO:0003949" "F"
"4125" "GO:0003950" "F"
"4126" "GO:0003951" "F"
"4128" "GO:0003952" "F"
"4129" "GO:0003953" "F"
"4130" "GO:0003954" "F"
"4131" "GO:0003955" "F"
"4132" "GO:0003956" "F"
"4133" "GO:0003957" "F"
"4135" "GO:0003958" "F"
"4136" "GO:0003959" "F"
"4137" "GO:0003960" "F"
"4138" "GO:0003961" "F"
"4139" "GO:0003962" "F"
"4140" "GO:0003963" "F"
"4143" "GO:0003964" "F"
"4144" "GO:0003968" "F"
"4145" "GO:0003972" "F"
"4146" "GO:0003973" "F"
"4147" "GO:0003974" "F"
"4148" "GO:0003975" "F"
"4149" "GO:0003976" "F"
"4150" "GO:0003977" "F"
"4151" "GO:0003978" "F"
"4152" "GO:0003979" "F"
"4153" "GO:0003980" "F"
"4154" "GO:0003983" "F"
"4155" "GO:0003984" "F"
"4156" "GO:0003985" "F"
"4158" "GO:0003986" "F"
"4159" "GO:0003987" "F"
"4161" "GO:0003988" "F"
"4162" "GO:0003989" "F"
"4163" "GO:0003990" "F"
"4164" "GO:0003991" "F"
"4166" "GO:0003992" "F"
"4167" "GO:0003993" "F"
"4168" "GO:0003994" "F"
"4169" "GO:0003995" "F"
"4170" "GO:0003996" "F"
"4172" "GO:0003997" "F"
"4173" "GO:0003998" "F"
"4174" "GO:0003999" "F"
"4175" "GO:0004000" "F"
"4177" "GO:0004001" "F"
"4179" "GO:0004003" "F"
"4182" "GO:0004004" "F"
"4185" "GO:0004008" "F"
"4186" "GO:0004012" "F"
"4188" "GO:0004013" "F"
"4189" "GO:0004014" "F"
"4190" "GO:0004015" "F"
"4191" "GO:0004016" "F"
"4193" "GO:0004017" "F"
"4194" "GO:0004018" "F"
"4195" "GO:0004019" "F"
"4196" "GO:0004020" "F"
"4198" "GO:0004021" "F"
"4199" "GO:0004022" "F"
"4200" "GO:0004023" "F"
"4201" "GO:0004024" "F"
"4202" "GO:0004025" "F"
"4203" "GO:0004026" "F"
"4205" "GO:0004027" "F"
"4206" "GO:0004028" "F"
"4207" "GO:0004029" "F"
"4208" "GO:0004030" "F"
"4209" "GO:0004031" "F"
"4210" "GO:0004032" "F"
"4211" "GO:0004033" "F"
"4212" "GO:0004034" "F"
"4213" "GO:0004035" "F"
"4214" "GO:0004037" "F"
"4215" "GO:0004038" "F"
"4216" "GO:0004039" "F"
"4217" "GO:0004040" "F"
"4218" "GO:0004042" "F"
"4219" "GO:0004043" "F"
"4220" "GO:0004044" "F"
"4221" "GO:0004045" "F"
"4223" "GO:0004046" "F"
"4224" "GO:0004047" "F"
"4225" "GO:0004048" "F"
"4226" "GO:0004049" "F"
"4227" "GO:0004051" "F"
"4228" "GO:0004052" "F"
"4229" "GO:0004053" "F"
"4230" "GO:0004054" "F"
"4232" "GO:0004055" "F"
"4233" "GO:0004056" "F"
"4234" "GO:0004057" "F"
"4235" "GO:0004058" "F"
"4236" "GO:0004059" "F"
"4237" "GO:0004060" "F"
"4238" "GO:0004061" "F"
"4239" "GO:0004062" "F"
"4240" "GO:0004063" "F"
"4241" "GO:0004064" "F"
"4242" "GO:0004065" "F"
"4243" "GO:0004066" "F"
"4244" "GO:0004067" "F"
"4245" "GO:0004068" "F"
"4246" "GO:0004069" "F"
"4247" "GO:0004070" "F"
"4248" "GO:0004071" "F"
"4249" "GO:0004072" "F"
"4251" "GO:0004073" "F"
"4252" "GO:0004074" "F"
"4253" "GO:0004075" "F"
"4254" "GO:0004076" "F"
"4255" "GO:0004077" "F"
"4256" "GO:0004078" "F"
"4257" "GO:0004079" "F"
"4258" "GO:0004080" "F"
"4259" "GO:0004081" "F"
"4260" "GO:0004082" "F"
"4261" "GO:0004083" "F"
"4262" "GO:0004084" "F"
"4263" "GO:0004085" "F"
"4264" "GO:0004087" "F"
"4265" "GO:0004088" "F"
"4266" "GO:0004089" "F"
"4267" "GO:0004090" "F"
"4268" "GO:0004092" "F"
"4270" "GO:0004095" "F"
"4272" "GO:0004096" "F"
"4273" "GO:0004097" "F"
"4274" "GO:0004098" "F"
"4275" "GO:0004099" "F"
"4277" "GO:0004100" "F"
"4278" "GO:0004102" "F"
"4279" "GO:0004103" "F"
"4281" "GO:0004104" "F"
"4282" "GO:0004105" "F"
"4283" "GO:0004106" "F"
"4284" "GO:0004107" "F"
"4285" "GO:0004108" "F"
"4286" "GO:0004109" "F"
"4287" "GO:0004110" "F"
"4288" "GO:0004111" "F"
"4290" "GO:0004112" "F"
"4291" "GO:0004113" "F"
"4292" "GO:0004114" "F"
"4293" "GO:0004115" "F"
"4294" "GO:0004117" "F"
"4295" "GO:0004118" "F"
"4296" "GO:0004119" "F"
"4297" "GO:0004120" "F"
"4298" "GO:0004121" "F"
"4299" "GO:0004122" "F"
"4300" "GO:0004123" "F"
"4301" "GO:0004124" "F"
"4302" "GO:0004125" "F"
"4304" "GO:0004126" "F"
"4306" "GO:0004127" "F"
"4307" "GO:0004128" "F"
"4308" "GO:0004129" "F"
"4312" "GO:0004130" "F"
"4313" "GO:0004131" "F"
"4315" "GO:0004132" "F"
"4317" "GO:0004133" "F"
"4318" "GO:0004134" "F"
"4320" "GO:0004135" "F"
"4322" "GO:0004136" "F"
"4323" "GO:0004137" "F"
"4324" "GO:0004138" "F"
"4325" "GO:0004139" "F"
"4326" "GO:0004140" "F"
"4328" "GO:0004141" "F"
"4329" "GO:0004142" "F"
"4330" "GO:0004143" "F"
"4332" "GO:0004144" "F"
"4333" "GO:0004145" "F"
"4334" "GO:0004146" "F"
"4335" "GO:0004147" "F"
"4336" "GO:0004148" "F"
"4337" "GO:0004149" "F"
"4339" "GO:0004150" "F"
"4340" "GO:0004151" "F"
"4341" "GO:0004152" "F"
"4342" "GO:0004153" "F"
"4343" "GO:0004154" "F"
"4344" "GO:0004155" "F"
"4345" "GO:0004156" "F"
"4346" "GO:0004157" "F"
"4347" "GO:0004158" "F"
"4349" "GO:0004159" "F"
"4350" "GO:0004160" "F"
"4351" "GO:0004161" "F"
"4352" "GO:0004162" "F"
"4353" "GO:0004163" "F"
"4354" "GO:0004164" "F"
"4355" "GO:0004165" "F"
"4356" "GO:0004166" "F"
"4357" "GO:0004167" "F"
"4358" "GO:0004168" "F"
"4360" "GO:0004169" "F"
"4361" "GO:0004170" "F"
"4362" "GO:0004173" "F"
"4363" "GO:0004174" "F"
"4365" "GO:0004175" "F"
"4366" "GO:0004176" "F"
"4368" "GO:0004177" "F"
"4369" "GO:0004180" "F"
"4370" "GO:0004181" "F"
"4372" "GO:0004185" "F"
"4374" "GO:0004190" "F"
"4376" "GO:0004197" "F"
"4378" "GO:0004198" "F"
"4379" "GO:0004222" "F"
"4381" "GO:0004252" "F"
"4383" "GO:0004298" "F"
"4385" "GO:0004300" "F"
"4386" "GO:0004301" "F"
"4387" "GO:0004303" "F"
"4388" "GO:0004304" "F"
"4389" "GO:0004305" "F"
"4391" "GO:0004306" "F"
"4392" "GO:0004307" "F"
"4393" "GO:0004308" "F"
"4394" "GO:0004309" "F"
"4395" "GO:0004310" "F"
"4396" "GO:0004311" "F"
"4397" "GO:0004312" "F"
"4398" "GO:0004313" "F"
"4400" "GO:0004314" "F"
"4402" "GO:0004315" "F"
"4403" "GO:0004316" "F"
"4405" "GO:0004317" "F"
"4407" "GO:0004318" "F"
"4409" "GO:0004319" "F"
"4411" "GO:0004320" "F"
"4412" "GO:0004321" "F"
"4413" "GO:0004322" "F"
"4414" "GO:0004324" "F"
"4415" "GO:0004325" "F"
"4416" "GO:0004326" "F"
"4417" "GO:0004328" "F"
"4418" "GO:0004329" "F"
"4419" "GO:0004331" "F"
"4420" "GO:0004332" "F"
"4421" "GO:0004333" "F"
"4422" "GO:0004334" "F"
"4423" "GO:0004335" "F"
"4425" "GO:0004336" "F"
"4426" "GO:0004337" "F"
"4427" "GO:0004338" "F"
"4428" "GO:0004339" "F"
"4429" "GO:0004340" "F"
"4430" "GO:0004341" "F"
"4431" "GO:0004342" "F"
"4433" "GO:0004343" "F"
"4434" "GO:0004344" "F"
"4435" "GO:0004345" "F"
"4436" "GO:0004346" "F"
"4437" "GO:0004347" "F"
"4438" "GO:0004348" "F"
"4439" "GO:0004349" "F"
"4441" "GO:0004350" "F"
"4442" "GO:0004351" "F"
"4443" "GO:0004352" "F"
"4444" "GO:0004353" "F"
"4445" "GO:0004354" "F"
"4446" "GO:0004355" "F"
"4447" "GO:0004356" "F"
"4448" "GO:0004357" "F"
"4449" "GO:0004358" "F"
"4450" "GO:0004359" "F"
"4451" "GO:0004360" "F"
"4452" "GO:0004361" "F"
"4453" "GO:0004362" "F"
"4456" "GO:0004363" "F"
"4457" "GO:0004364" "F"
"4458" "GO:0004365" "F"
"4459" "GO:0004366" "F"
"4460" "GO:0004367" "F"
"4461" "GO:0004368" "F"
"4462" "GO:0004369" "F"
"4463" "GO:0004370" "F"
"4465" "GO:0004371" "F"
"4467" "GO:0004372" "F"
"4468" "GO:0004373" "F"
"4469" "GO:0004375" "F"
"4470" "GO:0004376" "F"
"4471" "GO:0004377" "F"
"4473" "GO:0004378" "F"
"4474" "GO:0004379" "F"
"4476" "GO:0004380" "F"
"4478" "GO:0004381" "F"
"4479" "GO:0004382" "F"
"4480" "GO:0004383" "F"
"4482" "GO:0004385" "F"
"4483" "GO:0004386" "F"
"4484" "GO:0004392" "F"
"4485" "GO:0004394" "F"
"4486" "GO:0004395" "F"
"4487" "GO:0004396" "F"
"4489" "GO:0004397" "F"
"4490" "GO:0004398" "F"
"4491" "GO:0004399" "F"
"4492" "GO:0004400" "F"
"4493" "GO:0004401" "F"
"4494" "GO:0004402" "F"
"4495" "GO:0004407" "F"
"4497" "GO:0004408" "F"
"4498" "GO:0004409" "F"
"4499" "GO:0004410" "F"
"4500" "GO:0004411" "F"
"4501" "GO:0004412" "F"
"4502" "GO:0004413" "F"
"4504" "GO:0004414" "F"
"4505" "GO:0004415" "F"
"4506" "GO:0004416" "F"
"4507" "GO:0004417" "F"
"4509" "GO:0004418" "F"
"4510" "GO:0004419" "F"
"4511" "GO:0004420" "F"
"4512" "GO:0004421" "F"
"4513" "GO:0004422" "F"
"4514" "GO:0004423" "F"
"4515" "GO:0004424" "F"
"4516" "GO:0004425" "F"
"4517" "GO:0004427" "F"
"4518" "GO:0004430" "F"
"4519" "GO:0004435" "F"
"4520" "GO:0004436" "F"
"4521" "GO:0004438" "F"
"4522" "GO:0004439" "F"
"4524" "GO:0004441" "F"
"4525" "GO:0004445" "F"
"4526" "GO:0004446" "F"
"4527" "GO:0004447" "F"
"4528" "GO:0004448" "F"
"4529" "GO:0004449" "F"
"4530" "GO:0004450" "F"
"4531" "GO:0004451" "F"
"4532" "GO:0004452" "F"
"4533" "GO:0004453" "F"
"4534" "GO:0004454" "F"
"4536" "GO:0004455" "F"
"4537" "GO:0004456" "F"
"4538" "GO:0004457" "F"
"4539" "GO:0004458" "F"
"4541" "GO:0004459" "F"
"4543" "GO:0004460" "F"
"4545" "GO:0004461" "F"
"4546" "GO:0004462" "F"
"4547" "GO:0004463" "F"
"4548" "GO:0004464" "F"
"4549" "GO:0004465" "F"
"4550" "GO:0004466" "F"
"4551" "GO:0004467" "F"
"4553" "GO:0004468" "F"
"4554" "GO:0004470" "F"
"4555" "GO:0004471" "F"
"4557" "GO:0004473" "F"
"4559" "GO:0004474" "F"
"4560" "GO:0004475" "F"
"4561" "GO:0004476" "F"
"4562" "GO:0004477" "F"
"4563" "GO:0004478" "F"
"4564" "GO:0004479" "F"
"4566" "GO:0004481" "F"
"4567" "GO:0004482" "F"
"4569" "GO:0004483" "F"
"4571" "GO:0004484" "F"
"4572" "GO:0004485" "F"
"4573" "GO:0004486" "F"
"4574" "GO:0004487" "F"
"4575" "GO:0004488" "F"
"4576" "GO:0004489" "F"
"4577" "GO:0004490" "F"
"4578" "GO:0004491" "F"
"4579" "GO:0004492" "F"
"4580" "GO:0004493" "F"
"4581" "GO:0004494" "F"
"4582" "GO:0004495" "F"
"4583" "GO:0004496" "F"
"4585" "GO:0004497" "F"
"4586" "GO:0004498" "F"
"4587" "GO:0004499" "F"
"4588" "GO:0004500" "F"
"4589" "GO:0004501" "F"
"4591" "GO:0004502" "F"
"4592" "GO:0004503" "F"
"4593" "GO:0004504" "F"
"4594" "GO:0004505" "F"
"4595" "GO:0004506" "F"
"4596" "GO:0004507" "F"
"4598" "GO:0004508" "F"
"4600" "GO:0004509" "F"
"4602" "GO:0004510" "F"
"4603" "GO:0004511" "F"
"4604" "GO:0004512" "F"
"4605" "GO:0004513" "F"
"4606" "GO:0004514" "F"
"4607" "GO:0004515" "F"
"4608" "GO:0004516" "F"
"4609" "GO:0004517" "F"
"4610" "GO:0004518" "F"
"4611" "GO:0004519" "F"
"4612" "GO:0004520" "F"
"4614" "GO:0004521" "F"
"4616" "GO:0004522" "F"
"4617" "GO:0004523" "F"
"4618" "GO:0004525" "F"
"4620" "GO:0004526" "F"
"4622" "GO:0004527" "F"
"4623" "GO:0004528" "F"
"4625" "GO:0004529" "F"
"4627" "GO:0004530" "F"
"4628" "GO:0004531" "F"
"4629" "GO:0004532" "F"
"4631" "GO:0004533" "F"
"4632" "GO:0004534" "F"
"4634" "GO:0004535" "F"
"4635" "GO:0004536" "F"
"4637" "GO:0004540" "F"
"4639" "GO:0004549" "F"
"4641" "GO:0004550" "F"
"4643" "GO:0004551" "F"
"4644" "GO:0004552" "F"
"4645" "GO:0004553" "F"
"4646" "GO:0004555" "F"
"4647" "GO:0004556" "F"
"4648" "GO:0004557" "F"
"4649" "GO:0004558" "F"
"4650" "GO:0004559" "F"
"4651" "GO:0004560" "F"
"4652" "GO:0004561" "F"
"4653" "GO:0004563" "F"
"4654" "GO:0004564" "F"
"4655" "GO:0004565" "F"
"4656" "GO:0004566" "F"
"4657" "GO:0004567" "F"
"4658" "GO:0004568" "F"
"4659" "GO:0004569" "F"
"4660" "GO:0004571" "F"
"4661" "GO:0004572" "F"
"4662" "GO:0004573" "F"
"4663" "GO:0004574" "F"
"4664" "GO:0004575" "F"
"4666" "GO:0004576" "F"
"4667" "GO:0004577" "F"
"4668" "GO:0004578" "F"
"4669" "GO:0004579" "F"
"4670" "GO:0004581" "F"
"4671" "GO:0004582" "F"
"4672" "GO:0004583" "F"
"4673" "GO:0004584" "F"
"4674" "GO:0004585" "F"
"4675" "GO:0004586" "F"
"4676" "GO:0004587" "F"
"4677" "GO:0004588" "F"
"4678" "GO:0004589" "F"
"4679" "GO:0004590" "F"
"4680" "GO:0004591" "F"
"4681" "GO:0004592" "F"
"4682" "GO:0004593" "F"
"4683" "GO:0004594" "F"
"4685" "GO:0004595" "F"
"4686" "GO:0004596" "F"
"4687" "GO:0004597" "F"
"4689" "GO:0004598" "F"
"4691" "GO:0004601" "F"
"4693" "GO:0004602" "F"
"4694" "GO:0004603" "F"
"4696" "GO:0004604" "F"
"4697" "GO:0004605" "F"
"4698" "GO:0004607" "F"
"4699" "GO:0004608" "F"
"4701" "GO:0004609" "F"
"4702" "GO:0004610" "F"
"4703" "GO:0004611" "F"
"4704" "GO:0004612" "F"
"4705" "GO:0004613" "F"
"4706" "GO:0004614" "F"
"4707" "GO:0004615" "F"
"4708" "GO:0004616" "F"
"4709" "GO:0004617" "F"
"4710" "GO:0004618" "F"
"4712" "GO:0004619" "F"
"4713" "GO:0004620" "F"
"4714" "GO:0004621" "F"
"4715" "GO:0004622" "F"
"4717" "GO:0004623" "F"
"4719" "GO:0004629" "F"
"4721" "GO:0004630" "F"
"4723" "GO:0004631" "F"
"4725" "GO:0004632" "F"
"4726" "GO:0004633" "F"
"4727" "GO:0004634" "F"
"4728" "GO:0004635" "F"
"4729" "GO:0004636" "F"
"4730" "GO:0004637" "F"
"4731" "GO:0004638" "F"
"4732" "GO:0004639" "F"
"4733" "GO:0004640" "F"
"4734" "GO:0004641" "F"
"4735" "GO:0004642" "F"
"4736" "GO:0004643" "F"
"4737" "GO:0004644" "F"
"4738" "GO:0004645" "F"
"4739" "GO:0004647" "F"
"4740" "GO:0004648" "F"
"4741" "GO:0004649" "F"
"4742" "GO:0004650" "F"
"4743" "GO:0004651" "F"
"4744" "GO:0004652" "F"
"4745" "GO:0004653" "F"
"4747" "GO:0004654" "F"
"4748" "GO:0004655" "F"
"4749" "GO:0004656" "F"
"4751" "GO:0004657" "F"
"4752" "GO:0004658" "F"
"4753" "GO:0004659" "F"
"4754" "GO:0004660" "F"
"4755" "GO:0004661" "F"
"4756" "GO:0004662" "F"
"4757" "GO:0004663" "F"
"4758" "GO:0004664" "F"
"4759" "GO:0004665" "F"
"4760" "GO:0004666" "F"
"4761" "GO:0004667" "F"
"4762" "GO:0004668" "F"
"4763" "GO:0004671" "F"
"4765" "GO:0004672" "F"
"4768" "GO:0004673" "F"
"4770" "GO:0004674" "F"
"4771" "GO:0004675" "F"
"4773" "GO:0004676" "F"
"4774" "GO:0004677" "F"
"4775" "GO:0004679" "F"
"4777" "GO:0004683" "F"
"4778" "GO:0004686" "F"
"4779" "GO:0004687" "F"
"4780" "GO:0004689" "F"
"4781" "GO:0004690" "F"
"4783" "GO:0004691" "F"
"4784" "GO:0004692" "F"
"4785" "GO:0004693" "F"
"4787" "GO:0004694" "F"
"4789" "GO:0004697" "F"
"4790" "GO:0004698" "F"
"4792" "GO:0004699" "F"
"4793" "GO:0004703" "F"
"4794" "GO:0004704" "F"
"4795" "GO:0004705" "F"
"4796" "GO:0004706" "F"
"4797" "GO:0004707" "F"
"4798" "GO:0004708" "F"
"4799" "GO:0004709" "F"
"4800" "GO:0004711" "F"
"4801" "GO:0004712" "F"
"4802" "GO:0004713" "F"
"4803" "GO:0004714" "F"
"4805" "GO:0004715" "F"
"4806" "GO:0004719" "F"
"4808" "GO:0004720" "F"
"4810" "GO:0004721" "F"
"4812" "GO:0004722" "F"
"4813" "GO:0004723" "F"
"4814" "GO:0004724" "F"
"4815" "GO:0004725" "F"
"4816" "GO:0004726" "F"
"4817" "GO:0004727" "F"
"4818" "GO:0004729" "F"
"4820" "GO:0004730" "F"
"4821" "GO:0004731" "F"
"4822" "GO:0004732" "F"
"4823" "GO:0004733" "F"
"4824" "GO:0004734" "F"
"4825" "GO:0004735" "F"
"4826" "GO:0004736" "F"
"4827" "GO:0004737" "F"
"4828" "GO:0004738" "F"
"4829" "GO:0004739" "F"
"4831" "GO:0004740" "F"
"4832" "GO:0004741" "F"
"4833" "GO:0004742" "F"
"4836" "GO:0004743" "F"
"4837" "GO:0004744" "F"
"4838" "GO:0004745" "F"
"4839" "GO:0004746" "F"
"4840" "GO:0004747" "F"
"4842" "GO:0004748" "F"
"4843" "GO:0004749" "F"
"4844" "GO:0004750" "F"
"4845" "GO:0004751" "F"
"4846" "GO:0004753" "F"
"4847" "GO:0004754" "F"
"4848" "GO:0004755" "F"
"4849" "GO:0004756" "F"
"4851" "GO:0004757" "F"
"4852" "GO:0004758" "F"
"4853" "GO:0004760" "F"
"4854" "GO:0004764" "F"
"4855" "GO:0004765" "F"
"4857" "GO:0004766" "F"
"4858" "GO:0004767" "F"
"4860" "GO:0004768" "F"
"4861" "GO:0004769" "F"
"4862" "GO:0004771" "F"
"4864" "GO:0004772" "F"
"4865" "GO:0004773" "F"
"4866" "GO:0004774" "F"
"4867" "GO:0004775" "F"
"4868" "GO:0004776" "F"
"4869" "GO:0004777" "F"
"4870" "GO:0004778" "F"
"4871" "GO:0004779" "F"
"4872" "GO:0004780" "F"
"4873" "GO:0004781" "F"
"4874" "GO:0004782" "F"
"4875" "GO:0004783" "F"
"4876" "GO:0004784" "F"
"4878" "GO:0004787" "F"
"4879" "GO:0004788" "F"
"4880" "GO:0004789" "F"
"4881" "GO:0004790" "F"
"4883" "GO:0004791" "F"
"4886" "GO:0004792" "F"
"4887" "GO:0004793" "F"
"4888" "GO:0004794" "F"
"4889" "GO:0004795" "F"
"4890" "GO:0004796" "F"
"4891" "GO:0004797" "F"
"4892" "GO:0004798" "F"
"4893" "GO:0004799" "F"
"4894" "GO:0004800" "F"
"4895" "GO:0004801" "F"
"4896" "GO:0004802" "F"
"4897" "GO:0004803" "F"
"4898" "GO:0004805" "F"
"4899" "GO:0004806" "F"
"4901" "GO:0004807" "F"
"4902" "GO:0004808" "F"
"4904" "GO:0004809" "F"
"4906" "GO:0004810" "F"
"4907" "GO:0004812" "F"
"4909" "GO:0004813" "F"
"4910" "GO:0004814" "F"
"4911" "GO:0004815" "F"
"4912" "GO:0004816" "F"
"4913" "GO:0004817" "F"
"4914" "GO:0004818" "F"
"4915" "GO:0004819" "F"
"4916" "GO:0004820" "F"
"4917" "GO:0004821" "F"
"4918" "GO:0004822" "F"
"4919" "GO:0004823" "F"
"4920" "GO:0004824" "F"
"4921" "GO:0004825" "F"
"4922" "GO:0004826" "F"
"4923" "GO:0004827" "F"
"4924" "GO:0004828" "F"
"4925" "GO:0004829" "F"
"4926" "GO:0004830" "F"
"4927" "GO:0004831" "F"
"4928" "GO:0004832" "F"
"4929" "GO:0004833" "F"
"4930" "GO:0004834" "F"
"4931" "GO:0004835" "F"
"4933" "GO:0004836" "F"
"4934" "GO:0004837" "F"
"4935" "GO:0004838" "F"
"4936" "GO:0004839" "F"
"4937" "GO:0004842" "F"
"4938" "GO:0004843" "F"
"4939" "GO:0004844" "F"
"4940" "GO:0004845" "F"
"4941" "GO:0004846" "F"
"4942" "GO:0004847" "F"
"4943" "GO:0004848" "F"
"4944" "GO:0004849" "F"
"4945" "GO:0004850" "F"
"4946" "GO:0004851" "F"
"4948" "GO:0004852" "F"
"4949" "GO:0004853" "F"
"4950" "GO:0004854" "F"
"4951" "GO:0004855" "F"
"4952" "GO:0004856" "F"
"4954" "GO:0004857" "F"
"4955" "GO:0004858" "F"
"4956" "GO:0004859" "F"
"4957" "GO:0004860" "F"
"4959" "GO:0004861" "F"
"4961" "GO:0004862" "F"
"4962" "GO:0004864" "F"
"4964" "GO:0004865" "F"
"4965" "GO:0004866" "F"
"4967" "GO:0004867" "F"
"4968" "GO:0004869" "F"
"4969" "GO:0004873" "F"
"4970" "GO:0004875" "F"
"4971" "GO:0004876" "F"
"4972" "GO:0004877" "F"
"4974" "GO:0004878" "F"
"4976" "GO:0004879" "F"
"4978" "GO:0004883" "F"
"4979" "GO:0004888" "F"
"4980" "GO:0004890" "F"
"4981" "GO:0004895" "F"
"4983" "GO:0004896" "F"
