GSTK1,ZFP64
BZW1,MRE11A
ARSG,SERPINB1
KCTD5,FHL1
SNX9,ZNF839
CHMP4A,ZDHHC6
RFX5,RB1CC1
AP1G1,BIRC3
PAF1,GCLM
RBM10,CCDC28A
MRPS2,HSF2
BPTF,NR1H3
CCDC127,FAS
ATRN,CD44
DNAJB6,IFNGR1
RPTOR,TNFRSF1B
BFAR,SNX1
SLC22A4,TBPL1
AGBL5,BCLAF1
P4HA1,SLC39A9
ARAP1,ANK1
LETMD1,FAM13B
ZNF646,ARHGAP31
ABI2,PNPLA6
NSMAF,ZCCHC8
CISH,FUT8
PDE4B,UBA6
ACSL3,ATP6V0A1
NTHL1,SLC4A7
NUP88,TMSB10
PLCB1,ASTE1
C6orf163,RNF19A
PRF1,FAM136A
CCND3,NSMAF
ARPC1B,ADSS
FAM160A2,USP2
BTBD10,FBXO42
PRPSAP1,MFAP3
SNAP29,METTL1
SAC3D1,TRIO
GNE,VCAN
PAFAH2,RAI14
TFEB,PNKP
ILVBL,CTNS
RPS13,PHF23
AKAP11,INPP4A
GALNT10,LSG1
HTRA1,THAP3
PCDH9,FAM65C
ARHGEF10L,MED17
LEPROTL1,DCUN1D1
HNRNPR,LCP2
PITPNM1,WDR37
ZNF589,YTHDC2
ST7,ARAP2
GATS,DTNBP1
TMEM177,XK
HIRIP3,C12orf4
PRKCSH,ARHGAP6
FPGS,HDAC9
CALHM2,NOP16
NAIF1,ZNF800
FBXO9,RSF1
VWA5A,CELF2
BLCAP,R3HDM1
CCDC17,KITLG
IKBIP,ERCC8
ADH5,VAMP3
MAPKAPK2,PER3
ZNF43,RCN1
PTPN12,NEDD4L
EIF4E2,HEXB
BTAF1,JKAMP
MAN1C1,MAPK9
TM6SF1,HERPUD1
SDF2,MPHOSPH9
SLC25A38,SIKE1
TRIM21,FNIP2
DIP2B,AKR7A2
EXOC6,MRTO4
RNF122,THRAP3
TMCO4,ARID4B
GRAMD4,SDCCAG8
DNTTIP1,KIF1B
APH1B,SYNE2
TRAF3IP2,NOP58
TIMP2,FAM114A2
ZNF416,EIF2AK2
AP4E1,USP36
ZMYM3,CCDC85A
ZNF160,PUM2
MYO1C,TRAF1
CD83,RC3H2
ARHGEF6,IL17RB
SMARCB1,TRAF3IP2
CASP4,SOAT1
ABCA1,GDI2
MCCC1,TMCC3
AKR1A1,MTA3
CYTH4,USP13
ZNF414,CDK14
SLC46A3,POLR3E
ST3GAL5,RIOK2
TMED5,FLYWCH1
CSTF3,UNKL
FGL2,PARP12
RBMX2,ALDH18A1
CYB5D2,MXD1
SLC39A1,CDK17
SLC35F5,SLC2A3
GNPDA1,OGFR
TSHZ2,QSER1
TSPAN2,ACAA1
TTC3,POLD1
STK40,SPHK2
MGAT1,ISOC2
TBC1D4,MED29
SLC25A19,ZNF275
AES,HAGH
HNRNPA3,WISP2
PLXNA4,CDON
SLC30A7,TAF2
LYRM4,RFXANK
TMEM69,TMEM161A
MAPK1,SLC12A2
PLEKHG3,CNN2
CX3CR1,ABCA7
RASGRF2,DDX20
EIF4EBP1,SBNO2
ACBD6,SLC9A3R2
FUNDC1,NTHL1
MID1IP1,WDR3
USP28,TRAM2
RRN3,ANKRD44
PRKAA1,TBC1D22B
ZNF552,CYB5R4
MSL1,PRKCQ
ZNF438,FOXJ2
PRKDC,PPP2R5A
SREBF2,ELAVL1
OSTM1,TIE1
NIN,KDM4A
CWC25,SPI1
NT5DC1,EML1
COL4A3BP,MTFR1
ERMAP,MYO9A
COX7A2L,PFKP
SIN3A,SP100
USP46,KLF6
ZNF354A,NEO1
ZCRB1,UBE2L6
SP3,SAMD8
PPM1H,RAB11FIP1
HERC2P3,ATAD2
SLC35E1,FBXO32
SNX11,PHKG2
ITGA6,HIAT1
STS,SASS6
DGCR2,MPV17L
MPZL1,EXOG
TIMM9,SLC6A1
SPAST,SMG1
PEX5,TIMP4
LGMN,C1orf27
DCAF16,CLDN12
PTP4A2,MMP14
RPL14,DHRS4
MRPS16,FUK
CORO1B,KIT
SEPN1,AASDH
ICT1,MYO1E
STK17B,TSC22D3
ZC3H6,DSCR3
NAA35,ERG
DDX42,ETS2
NKG7,TMEM164
CRYL1,MX1
PHC2,CREB3L1
RCAN3,UBN2
PER3,BRAF
FXYD6,PSMG3
MRPL45,FMNL2
KIT,RAB28
NOM1,PANK4
FTO,WIPI2
SIRT3,LDLRAP1
ITSN2,EXTL1
UNC13B,BRE
IBTK,TRIM63
ARHGEF9,DUSP2
AMPD2,NCK1
ETFDH,XKR8
ADSS,CNNM4
STIP1,WASF2
GNL3,CUL4B
C1QTNF6,AUTS2
BMP2K,KCNB1
AKAP1,NRG2
HMG20A,B4GALT5
RELL1,GDPD5
SSH1,TMED4
C12orf75,COPG2
ATIC,PKD1L1
UBR5,ELK4
PDGFD,NBL1
HSF2,F11R
MORC2,ZNF276
TMEM18,FCER1G
ANKRD27,CACHD1
TMEM120A,RAPGEF6
PTRH2,ALG8
RAB20,FBXW5
KIAA0391,IFNGR2
SLC43A3,GART
HIRA,RCAN1
SLC35C2,RUNX1
FCHO2,PSMD4
SLC25A40,BTG2
PARL,ALDH4A1
FBL,UBR1
GRN,AMFR
ADAM19,CCDC17
VIT,GPBP1L1
EHBP1,ACE
KBTBD2,CTBP1
KLF12,TPPP3
TARDBP,ZDHHC1
STAT1,RGS12
SNAP47,PSKH1
CLEC1A,ZNF221
MAST2,ZNF235
AGTRAP,CALM3
LBH,DFFA
