ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Slc4a4,,Atrnl1,,Per3,Afp,,Serpinb6b,Vrk2,Ecm2,Chd4,
Parm1,,Dpp3,,Mmp23,Art3,,Serpinb9,Spnb2,Spin1,Plekha5,
Art3,,Pacs1,,Pusl1,43354,,Prpf4b,Gabra6,Tspan17,Pde3a,
Ccng2,,Ehbp1l1,,Krit1,Arhgap24,,Ly86,Adra1b,Unc5a,1700023A16Rik,
Cdc7,,Stip1,,Slc4a2,Aff1,,Pak1ip1,Thg1l,Zfp346,Mtpn,
Tchp,,Naa40,,Snx17,Lrrc8b,,Edn1,Trim41,Dapk1,Pdia4,
Ankrd13a,,Tmem179b,,Tacc3,Lrrc8d,,Gmpr,Tgtp1,2010111I01Rik,Inmt,
Fbxo21,,Taf6l,,Fgfr3,Btbd8,,Ninj1,Sqstm1,Rps28,Mat2a,
Slc24a6,,AI462493,,Whsc1,Tbx5,,Bicd2,Rufy1,Lpcat1,Rab11fip5,
Wbscr27,,Rom1,,Cd38,Rpl6,,Ippk,Zfp454,Tert,Gkn3,
Stx1a,,Dagla,,Lap3,Atxn2,,Aspn,Zfp2,Tppp,Sec61a1,
Baz1b,,Tmem216,,Med28,Rnf34,,Ogn,Rmnd5b,Erap1,Pdzrn3,
Por,,Ms4a7,,Npffr2,Mlxip,,Gm906,Sec24a,Mctp1,Mbd4,
Gpr146,,Stx3,,Cxcl5,Baz1b,,Cplx2,Phf15,2210408I21Rik,Plxnd1,
Fscn1,,Dtx4,,Dmp1,Por,,Fgfr4,Ube2b,Arrdc3,Bms1,
Zfp655,,Psat1,,Cdc7,Zp3,,Fbxl21,Leap2,Ssbp2,Ccdc77,
Rasl11a,,Gda,,Btbd8,Fscn1,,Dapk1,Cdc42se2,Mtx3,Cecr5,
Napepld,,Glis3,,Ksr2,2810453I06Rik,,0610007P08Rik,Lyrm7,Serf1,Cd27,
Fastk,,Ak3,,Slc24a6,Cdk8,,Zfp273,Tnip1,Trim23,Ndufa9,
Slc5a6,,Acta2,,Atp6v0a2,Zfp804b,,Irx2,Ccdc69,Adamts6,Tspan9,
D5Ertd579e,,Rbp4,,Mmp17,Kcnh2,,Slc12a7,Sparc,Pde4d,Klrb1b,
Bod1l,,Cyp2c40,,Por,Supt7l,,Slc9a3,Zfp672,BC067074,Kcnj8,
Pds5a,,Aldh18a1,,Fis1,Spon2,,Erap1,Olfr332,Emb,Abcc9,
Ociad2,,Ndufb8,,Ache,Tmem129,,Ell2,Guk1,4833420G17Rik,Bhlhe41,
Clock,,Pdzd7,,Zkscan1,Ldb2,,Glrx,Snap47,Calml3,Ech1,
Nmu,,Sh3pxd2a,,Cops6,Arap2,,Arrdc3,Zkscan17,Ryr2,Ube2h,
Uba6,,Gpam,,Gpr146,Kctd8,,Lysmd3,Pld6,Actn2,Siglecg,
Adamts3,,4930506M07Rik,,Lfng,Commd8,,Ccnh,Flcn,Prl2c2,Klk14,
Scarb2,,Csf2ra,,Cyth3,Corin,,Acot12,Pemt,Cdk13,Nup62,
Antxr2,,Bend7,,Mtus2,Kdr,,Mtx3,Srebf1,Gpr141,Kcna7,
Sec31a,,Usp6nl,,Alox5ap,Clock,,Homer1,Atpaf2,Abt1,Dbp,
Mapk10,,Msrb2,,Kl,Ppat,,Ap3b1,Shmt1,Hist1h2bh,Myod1,
Slc10a6,,Fbxw5,,Fzd1,Grsf1,,Zbed3,Slc47a1,Hist1h2ba,Gtf2h1,
Gak,,Lcn8,,Steap2,Adamts3,,Serf1,Prpsap2,Lrrc16a,Tmem86a,
2900026A02Rik,,Cacfd1,,Grm3,Ankrd17,,Trim23,Akap10,Prl7a2,Vimp,
Sart3,,Rxra,,Phtf2,Cxcl9,,Elovl7,Hs3st3b1,Exoc2,Rab30,
Selplg,,Olfm1,,Napepld,Cnot6l,,Depdc1b,Ndel1,Pxdc1,Gab2,
Mlec,,Slc27a4,,5031425E22Rik,Hnrnpd,,Pde4d,Wrap53,Eci2,Chchd8,
Oas1e,,Fam73b,,Kcnh2,Sec31a,,Il6st,Tnfsf12,Nedd9,Pde2a,
Trafd1,,Ass1,,Smarcd3,Tmed5,,Ppap2a,Tmem102,Hspb1,Clpb,
Rps16,,Fubp3,,Cnpy1,Dgkq,,Esm1,Acap1,Gm10113,Zfp143,
Gtf2i,,Golga2,,Man2b2,Unc119b,,Arl15,0610010K14Rik,Fam120a,Wee1,
Tmem120a,,Sh2d3c,,Wdr1,Prkab1,,4833420G17Rik,Alox12e,Sema4d,Micalcl,
Mmd2,,Tor2a,,Sgcb,Ptpn11,,BC016423,Cxcl16,Nfil3,Parva,
Pdap1,,Angptl2,,Clock,Ubc,,Net1,Inca1,Il9,Tead1,
Hsph1,,Olfr340,,Rasgef1b,Chchd2,,Akr1e1,Pitpnm3,Gkap1,Arntl,
Acn9,,Olfr345,,Hnrpdl,Auts2,,Pfkp,Med31,1110018J18Rik,Xylt1,
Tac1,,Olfr347,,Sez6l,Gtf2ird1,,Mtr,Spns2,Zfp708,Lcmt1,
Lep,,Olfr357,,Adrbk2,Eln,,Lgals8,Aspa,Ndufs6,Kat8,
Ahcyl2,,Gca,,Plbd2,Mcm7,,Tbce,Srr,Slc6a18,Mtg1,
Fam40b,,Lass6,,Tpcn1,E130309D02Rik,,Rala,Dph1,Nkd2,Ifitm1,
Akr1b7,,Dhrs9,,Cux2,Flt1,,Olfr1364,Rpa1,Nr2f1,Tspan4,
Tmem140,,B230120H23Rik,,1500011H22Rik,Slc46a3,,Prss16,Serpinf2,Vcan,Zim1,
Gng12,,Cdca7,,Vps33a,Tac1,,Zfp322a,Wdr81,F2r,Dhx34,
Serbp1,,Osbpl6,,Rilpl1,Lmod2,,Hist1h4f,Taok1,Rgnef,Zfp109,
Chmp3,,Nup35,,Scarb1,Repin1,,Hist1h2be,Eral1,Tmem171,Pou2f2,
St3gal5,,Slc43a3,,Slc15a4,Gimap4,,Hist1h2ac,Slc13a2,Nln,Actn4,
Capg,,Olfr1093,,Orai2,Snx10,,Slc17a4,Nlk,Cwc27,Fxyd5,
Cct7,,Olfr1122,,Sh2b2,Wipf3,,Top2a,Lgals9,Rab3c,Kctd15,
Tia1,,Pacsin3,,Gjc3,2410066E13Rik,,Sox4,Wsb1,Map3k1,Gpatch1,
Gfpt1,,Pex16,,Baiap2l1,Aqp1,,Cdkal1,Tefm,Fst,Dpy19l3,
Mgll,,Fbxo3,,Flt1,Tnip3,,Exoc2,5730455P16Rik,Hmgcs1,Zfp507,
Txnrd3,,Cstf3,,Katnal1,St3gal5,,Gmds,Myo1d,3830406C13Rik,Gm5114,
V1ra8,,Muc15,,Fam40b,Pcgf1,,D930007J09Rik,Slfn8,Atxn7,Kcnj14,
Clec4a2,,Olfr1289,,Tbxas1,Aak1,,Tubb2a,Gm11437,Nid2,Mesp1,
Phb2,,Olfr1317,,Casp2,Tpra1,,Tubb2b,Ypel2,2310021P13Rik,Crtc3,
D6Wsu163e,,Snap23,,Lrrc61,Slc41a3,,1700026J04Rik,Gdpd1,Vdac2,Cpeb1,
Rps4y2,,Stard9,,Gimap1,Fbln2,,Ssr1,Rad51c,Dnahc12,Thrsp,
Pon3,,Adal,,Avl9,Mitf,,Cage1,Msi2,Asb14,Nup98,
Pdk4,,Duox1,,Herc3,Itpr1,,Bloc1s5,Akap1,Nek4,Olfr601,
Asns,,Sema6d,,Tigd2,8430408G22Rik,,Eef1e1,Scpep1,Nt5dc2,Copb1,
Tspan12,,Slc27a2,,Slc4a5,Tuba8,,Elovl2,Hlf,Sema3g,Dnahc3,
3110062M04Rik,,Mertk,,Gfpt1,Foxj2,,Adtrp,Acsf2,Ogdhl,43344,
Tra2a,,Sirpa,,Klf15,Tas2r120,,Hspb1,Nfe2l1,Arhgap22,Chst15,
Nod1,,Stk35,,Aldh1l1,Tas2r102,,Atxn1,Kpnb1,Gdf10,Fam53b,
Vmn1r22,,2310035K24Rik,,Bhlhe40,Tas2r110,,Kif13a,Npepps,Anxa8,Ifitm3,
Il23r,,Prnp,,Thumpd3,Pde3a,,Tpmt,Pip4k2b,Syt15,1600016N20Rik,
Rmnd5a,,Plcb1,,Ttll3,Ppfibp1,,Susd3,Fbxl20,Mmrn2,Arhgef18,
Tgoln1,,Ankrd5,,Irak2,Ica1,,Nfil3,Med1,Dydc1,Col4a2,
Wbp1,,Snrpb2,,Syn2,Ppp1r3a,,4833439L19Rik,Med24,Gpr137c,Ing1,
Cml3,,Pax1,,Slc25a18,AB041803,,Mxd3,Ormdl3,Cgrrf1,Gm10699,
Dusp11,,Tbc1d20,,Parp11,Creb3l2,,Lman2,Nr1d1,Pnp,Defb1,
Magi1,,Id1,,Ptpro,Pdia4,,Spock1,Ccr7,Apex1,Myst3,
Eogt,,Ergic3,,Slco1c1,Osbpl3,,Ubqln1,Krtap3-2,Mmp14,Erlin2,
Pdzrn3,,Ube2i,,Pyroxd1,Fkbp14,,Agtpbp1,Krtap3-1,Rem2,Ppp2cb,
Zfp9,,Ralgapb,,Arntl2,Dusp11,,Tpbpa,Krt33a,Lrrc16b,Gsr,
Wnk1,,Snx21,,Ccdc91,Plxna1,,Slc35d2,Acly,Psme1,Slc7a2,
Bid,,Cse1l,,Bicd1,Grip2,,Zfp367,Dhx58,Il17d,Pdlim3,
Ntf3,,1500012F01Rik,,Pon3,Adamts9,,Cdc14b,Kat2a,Cab39l,4930555F03Rik,
Prpmp5,,Pck1,,Aass,Frmd4b,,Zfp458,Ghdc,Spata13,Gmip,
Sox5,,Gnas,,Gpr37,Vgll4,,Zfp595,Stat5b,Rnaseh2b,Olfr374,
Bhlhe41,,Surf1,,Tnpo3,Plxnd1,,Zfp456,Stat3,Sox7,Rnf150,
Kptn,,Ptges,,Tgoln1,Kcna1,,Papd7,Fam134c,Adra1a,Gpt2,
Zfp180,,Uck1,,Dusp11,9630033F20Rik,,Srd5a1,Ezh1,Gm10032,Irx6,
4732471J01Rik,,Dnm1,,Plxna1,Cd69,,BC018507,Aarsd1,Pnma2,Lpcat2,
Sars2,,Cdk9,,Magi1,Klrc1,,Adamts16,Brca1,Gnrh1,Herpud1,
Lgals4,,Ralgps1,,Foxp1,Bhlhe41,,Slc6a18,Dusp3,Stc1,Cmtm3,
Zfp84,,Zbtb43,,Sumf1,Spata30,,Slc6a19,Ppy,Entpd4,Dus2l,
Cebpa,,Zeb2,,Prrt3,Tmtc1,,Zfp825,Lsm12,Bin3,Nfatc3,
4930433I11Rik,,Cytip,,Rpl32,Zfp128,,Polr3g,Dcakd,Gfra2,Zfp612,
2410002F23Rik,,Fap,,Plxnd1,Slc1a5,,Atg10,Nsf,Med4,Mlycd,
Nup62,,Cir1,,Tmem72,Akt2,,Zcchc9,Strada,5031414D18Rik,Banp,
Dbp,,Lnp,,Csgalnact2,Dyrk1b,,Zfyve16,Ccdc47,Tsc22d1,Sprtn,
Tmem86a,,Nfe2l2,,Lrrc23,Zfp30,,Crhbp,Tex2,Ccdc122,Pard3,
Tubgcp5,,Pde11a,,Ccnd2,Nup62,,F2rl1,Pecam1,Vwa8,Nrp1,
Acan,,Sumo2,,Klra5,Dbp,,Ankdd1b,Pitpnc1,Mtrf1,Itgb1,
Ticrr,,Olfr988,,Gpr19,Tmem86a,,Rgnef,Slc16a6,Olfm4,Slc10a2,
Whamm,,Olfr994,,Eps8,Nav2,,Tmem174,Abca8b,Lmo7,Col4a1,
Fzd4,,Olfr1006,,St8sia1,Fam174b,,Tmem171,Abca6,Scel,Cars2,
Sytl2,,Olfr1046,,5730419I09Rik,Fzd4,,Ptcd2,Slc39a11,Mbnl2,Grtp1,
Trpc2,,Olfr1079,,Bcat1,Lrrc32,,Ocln,Mif4gd,Oit1,Dctn6,
Olfr564,,Olfr1098,,Bhlhe41,Gdpd5,,Marveld2,Trim65,Nr1d2,Dlc1,
Rbm3,,Olfr1160,,Caprin2,Ucp2,,Rad17,Mrpl38,Ube2e1,Sc4mol,
Olfr512,,Olfr1162,,Dennd5b,Olfr608,,Pik3r1,Acox1,Anxa7,Large,
Wee1,,Olfr1167,,Cnot3,Olfr704,,2410002O22Rik,Ube2o,Cacna1d,Calr,
Arntl,,Olfr1181,,Zfp110,Ppfibp2,,Ppwd1,Rhbdf2,Sh3bp5,4921524J17Rik,
Iqck,,Olfr1196,,Zscan22,Wee1,,Kif2a,Srsf2,Colq,Cdh11,
Il4ra,,Olfr1209,,Rps5,Mical2,,Rab3c,Lgals3bp,Ankrd28,Ctrl,
Tacc2,,Olfr1217,,Kptn,Tead1,,Gpx8,Tbc1d16,Wdfy4,Chtf8,
Fam175b,,Olfr1223,,Ap2s1,Arntl,,Fst,Fam195b,Fam35a,Hp,
Tspan4,,Olfr1228,,Ptgir,Pde3b,,Itga1,Alyref,Fermt2,Fuk,
Zfp583,,Olfr1230,,Nlrp9b,Xylt1,,Isl1,Pcyt2,Olfr749,Sdr42e1,
Gltscr2,,Nr1h3,,Zfp235,Vwa3a,,Parp8,Sirt7,Tep1,Mbtps1,
Ccdc61,,Creb3l1,,Tmem145,Rbbp6,,Slc4a7,Stra13,Ndrg2,Irf2bp2,
Relb,,Prrg4,,Exosc5,Aqp8,,Ngly1,Fasn,Chd8,Mre11a,
Egln2,,Elp4,,B9d2,Prr14,,Top2b,Ccdc57,Cdh24,Slc36a4,
Zfp36,,Olfr1306,,Numbl,Bag3,,Nkiras1,Tex19.2,Slc7a8,Mbd3l1,
Zfp74,,Olfr1313,,Lgi4,Ifitm1,,Nid2,Dnmt3a,A730061H03Rik,Icam1,
Scn1b,,Olfr1316,,Pepd,Tspan4,,Sec24c,Itsn2,Ripk3,Ilf3,
Lsm14a,,Arhgap11a,,Vrk3,Rdh13,,Plau,Pfn4,Sdr39u1,Prdm10,
Dpy19l3,,Zfp770,,Car11,Tmem238,,1700112E06Rik,BC068281,Gzmd,Cdon,
Tbc1d17,,A430105I19Rik,,Dbp,Bsph2,,Zmiz1,Atad2b,Pspc1,Clmp,
Fcgrt,,Trp53bp1,,Herc2,Igsf23,,Arf4,Hs1bp3,Gjb6,Usp2,
Ppp1r15a,,Catsper2,,Fam174b,Axl,,Erc2,Pum2,Sgcg,Mcam,
Hps5,,Fbn1,,Abhd2,C230052I12Rik,,Nek4,Sdc1,Nefm,Bace1,
Cpeb1,,Itpripl1,,Tmc3,Dpy19l3,,Tnnc1,Wdr35,Adamdec1,Usp28,
Serpinh1,,Zfp661,,Me3,Zfp507,,Ncoa4,Acaca,Adam28,Arhgap20,
Plekhb1,,Gm10762,,Sytl2,Fut2,,Gm5460,Nbas,Pdlim2,Cox5a,
Relt,,Ddrgk1,,Tenm4,Slco3a1,,Mbl1,E2f6,Piwil2,Ppib,
Folr2,,Siglec1,,Pgm2l1,Crtc3,,Cgrrf1,Odc1,Bmp1,Aldh1a2,
Trim68,,1700037H04Rik,,Wee1,Fam108c,,Peli2,Asap2,Epb4.9,BC031353,
Olfr480,,Serinc3,,Parva,Pcf11,,Olfr738,Cpsf3,Dgkh,Leo1,
Rnf141,,Pltp,,Arntl,2210018M11Rik,,Olfr739,Taf1b,1190002H23Rik,Bmp5,
Mrvi1,,Znfx1,,Xylt1,Dgat2,,Apex1,Klf11,Pabpc4,Gsta4,
Copb1,,Ctsz,,Acsm5,Plekhb1,,Oxa1l,Rrm2,Dis3,Cyb5r4,
2310008H09Rik,,Uckl1,,Ccdc101,P2ry6,,Mmp14,Cmpk2,1700110M21Rik,Ky,
Dnahc3,,Znf512b,,Wdr11,P2ry2,,Pabpn1,Pxdn,Spry2,Slco2a1,
D7Ertd443e,,Rgs19,,Dock1,Nup98,,Fgf9,Cog5,Slitrk6,Dusp7,
Sirt3,,Hsp90aa1,,Ptpre,St5,,Fam124a,Nampt,Tgds,Als2cl,
Rnh1,,Cp,,Gpr123,Lyve1,,Ints9,Atxn7l1,Abcc4,Clasp2,
Dusp8,,Prkci,,Cd151,Nsmce1,,Chrna2,Ankmy2,Dzip1,Panx1,
Mrgpre,,4932438A13Rik,,Zfp772,Zfp629,,Adra1a,Sostdc1,Gpr183,Ap1m2,
Cacng8,,Hspa4l,,Cd3eap,Map2k7,,Gm10032,Dgkb,Nalcn,Glb1l2,
Col4a2,,Larp1b,,Zfp109,Col4a2,,Nkx3-1,Dock4,Fyb,Tirap,
Slc20a2,,Phf17,,Zfp36,Myst3,,Entpd4,Npas3,Gdnf,Stt3a,
Ank1,,Eif2a,,Mag,Ppp1r3b,,5031414D18Rik,1110008L16Rik,Nup155,Ei24,
Thap1,,Med12l,,Gpi1,6430573F11Rik,,Zc3h13,Mia2,Capsl,Sorl1,
Eif4ebp1,,4930449A18Rik,,Dpy19l3,Adam25,,Tsc22d1,Atp5s,Adamts12,Cbl,
6430573F11Rik,,Sucnr1,,Saal1,Ints10,,Kbtbd7,Psma3,Myo10,Vps11,
Sorbs2,,Mbnl1,,Mctp2,Ap1m1,,Olfm4,2700049A03Rik,Ank,Mll1,
Acsl1,,Ppid,,Folh1,Prmt10,,Cln5,Dact1,Ctnnd2,Tmprss4,
Mlf1ip,,Pdgfc,,Dgat2,Dnajb1,,Dnajc3,Slc38a6,Sema5a,Ttc12,
Dctd,,Fbxw7,,Neu3,Lyl1,,Mbnl2,Rhoj,Vps13b,Acat1,
Spata4,,Sh3d19,,Folr1,Mt2,,Timm8a2,Mthfd1,Fzd6,Loxl1,
Tmem192,,Tdpoz4,,Rhog,Herpud1,,Zic2,Hspa2,Zfpm2,Snx14,
Nat2,,Rorc,,Tmem41b,Cdh5,,4930452B06Rik,Gphn,Pkhd1l1,Slc25a36,
Sh2d4a,,Arnt,,Rras2,Cmtm3,,Fhit,Exd2,Aard,Cep63,
Ints10,,Acp6,,Arl6ip1,Pskh1,,Psmd6,Slc39a9,Zhx2,1300017J02Rik,
Jund,,Sec22b,,Eri2,Nfatc3,,Nr1d2,Sipa1l1,Dennd3,Rad54l2,
Hmox1,,Notch2,,Zkscan2,Slc7a6,,Anxa7,2310044G17Rik,Bai1,Rbm5,
Dnajb1,,Casq2,,Sult1a1,Has3,,Synpo2l,Ahsa1,Gpihbp1,Ccrl2,
Dnase2a,,Slc16a1,,Fgfr2,Nudt7,,Ap3m1,Adck1,Mapk15,Tgfbr2,
Phkb,,Adora3,,Cuzd1,Urb2,,D14Ertd449e,Flrt2,Kifc2,Rbms3,
9430002A10Rik,,Arhgap29,,Zfp941,Gnpat,,Pde12,Tdp1,Gpt,Hhatl,
Cyld,,Ddit4l,,Tnfrsf26,Ntpcr,,Appl1,Kif4-ps,Pdxp,Slc38a5,
Chd9,,Trmt10a,,Lass4,Pard3,,Hacl1,Catsperb,Triobp,Mid1ip1,
Mt2,,Adh1,,4930467E23Rik,Fcer2a,,Fam35a,Tmem251,Gcat,Lonrf3,
Gpr97,,Fubp1,,Alg11,Lig4,,Bmpr1a,Otub2,Pick1,Mamld1,
Elmo3,,Ptger3,,Slc20a2,Col4a1,,Tspan14,Serpina3f,Apobec3,Brcc3,
Pskh1,,Rpe65,,6430573F11Rik,Ankrd10,,Ddhd1,Glrx5,Ep300,Hnrnph2,
Nfatc3,,Zfp704,,Slc7a2,Adprhl1,,Atg14,Vrk1,Zc3h7b,Pfkfb1,
Cdh3,,Slc10a5,,Acsl1,AI316807,,Exoc5,Yy1,Tef,Fam120c,
Wwp2,,Pde7a,,Npy1r,Ap3m2,,Tep1,Slc25a47,Srebf2,Tbc1d25,
Pdpr,,Gm9791,,Sugp1,Htra4,,Ndrg2,Wdr20a,Tspo,Bcor,
Cdh13,,Bbs7,,Fam125a,Letm2,,Mettl3,Tecpr2,Fam118a,Efhc2,
Zc3h18,,Ankrd50,,Rasd2,Lonrf1,,4931414P19Rik,Rcor1,Gramd4,Ndufb11,
Nrp1,,Mfsd8,,Dnajb1,Arrdc2,,Slc7a8,Tnfaip2,Pim3,Klhl13,
Cd209a,,Setd7,,Rfx1,Tmem184c,,Ipo4,Aspg,Shank3,Zdhhc9,
Irs2,,P2ry14,,Gpt2,Ednra,,Tm9sf1,Pacs2,Acr,Olfr1324,
Grtp1,,4931440P22Rik,,Mmp2,Nfix,,Tgm1,Mta1,Tmem117,Flna,
Ap3m2,,Rapgef2,,Mt2,Dnaja2,,Rabggta,Crip2,Pced1b,Prkx,
Agpat6,,Etfdh,,Herpud1,Ces1d,,Adcy4,A830093I24Rik,Dip2b,Fam123b,
Rab11fip1,,Glrb,,Ap3s1,Gtl3,,Cbln3,Ubxn2a,Mettl7a1,Ophn1,
Ubxn8,,Fhdc1,,Cpne2,Rrad,,Gjb2,Lpin1,Acvr1b,Cysltr1,
Lonrf1,,2700060E02Rik,,Gpr56,Tppp3,,Cryl1,Adam17,Krt7,Tspan6,
Dlc1,,Psmd4,,Ccdc135,Cbfa2t3,,Zdhhc20,Cys1,Krt18,1700008I05Rik,
Galnt7,,Adamtsl4,,Ap1g1,2310022B05Rik,,Nupl1,Id2,Tenc1,Bex1,
Psd3,,Gm129,,Zfp612,Pdgfd,,Kpna3,Rnf144a,Zfp740,Tsc22d3,
Gatad2a,,BC028528,,Vat1l,Ldlr,,Dleu7,Rsad2,Gm10337,Ammecr1,
Ddx49,,Hist2h4,,Trappc2l,Eepd1,,Fdft1,Dcdc2c,Hoxc8,Apex2,
Arhgap10,,Phgdh,,Cdh15,Clmp,,Hmbox1,Rps7,Slc1a3,Maged2,
Abce1,,Lrig2,,Galnt2,Usp2,,Fzd3,Trappc12,Il7r,Gnl3l,
Hhip,,H3f3b,,Kcnk1,Mcam,,Dpysl2,Tpo,Tars,Sat1,
Cd97,,Csf1,,Arglu1,Hyou1,,2610301G19Rik,Hbp1,Basp1,S100g,
Junb,,Agl,,Gas6,Zw10,,Fam160b2,Ahr,Fam105b,Tlr8,
Asna1,,Ptbp2,,Csmd1,Parp6,,Fgf17,Bzw2,1700084J12Rik,Col3a1,
4921524J17Rik,,Tmem56,,AI316807,Clpx,,Fndc3a,Arl4a,Rgs22,Ccdc150,
Dnaja2,,5730508B09Rik,,Adam26b,Myo1e,,Nudt15,Stxbp6,Snx31,Plcl1,
Rpgrip1l,,Enpep,,Tll1,Pygo1,,1190002H23Rik,Prkd1,Ywhaz,Casp8,
Fbxo31,,Cisd2,,Lzts1,Leo1,,Naa16,Hectd1,Ncald,Pth2r,
Fam38a,,Bank1,,Large,Plod2,,Wbp4,Heatr5a,Eif3e,Ramp1,
Galns,,Mttp,,Gcdh,Tfdp2,,Gm10845,6530401N04Rik,Trps1,Rabif,
2310022B05Rik,,AI747448,,Itfg1,Wdr82,,Fbxl3,Eapp,Slc22a22,Fam129a,
Gucy1a2,,Chchd7,,Pllp,Tlr9,,Ednrb,Snx6,Fam49b,F11r,
Mre11a,,Ubxn2b,,Tk2,Dusp7,,Tgds,Baz1a,Lrrc6,Gm16432,
Chordc1,,Rab2a,,Tmem231,Cdc25a,,Cldn10,Slc25a21,Tmem71,Itpkb,
Zfp846,,Chd7,,Slc7a5,Cmtm6,,Dock9,Sec23a,Cyp11b2,Bpnt1,
Zfp872,,Runx1t1,,Galns,Slc25a38,,Gpr18,Fbxo33,Gm10238,Tmem206,
Hspa8,,Tmem64,,2310022B05Rik,Clec3b,,Zic5,Dhrs7,Nrbp2,Slco5a1,
Usp2,,Ggh,,Pdgfd,C330006D17Rik,,Oxct1,4930447C04Rik,Slc39a4,Tsga10,
Dnaja4,,Aco1,,Sesn3,Raver1,,Ranbp3l,Trmt5,Zfp647,Myo1b,
AI118078,,Tmem215,,Mbd3l2,Tbx20,,Lmbrd2,Kcnh5,Mb,Ankrd44,
Anp32a,,Gm3893,,Bbs9,Adamts15,,Capsl,Wdr89,Il2rb,Zfp142,
Clpx,,Gm10590,,Opcml,Stt3a,,C1qtnf3,Sgpp1,Lgals2,Irs1,
Vps13c,,Gm13301,,Fez1,Olfr918,,Amacr,Atp6v1d,Csnk1e,Pid1,
Narg2,,4930578G10Rik,,Pvrl1,2310030G06Rik,,Adamts12,Pigh,Dnalc4,Slco6b1,
Myo5a,,1700055D18Rik,,Mcam,Layn,,Zfr,Rdh11,Nptxr,Pam,
Leo1,,Polr1e,,Alg9,Loxl1,,Ank,Zfp36l1,Pdgfb,Igfn1,
Cyb5r4,,Col15a1,,Idh3a,Neo1,,Cmbl,Actn1,Rangap1,Gpr25,
Nt5e,,Tmeff1,,Tipin,Smad3,,Fam173b,Slc8a3,Pmm1,Fcrla,
Plod2,,4930547C10Rik,,Car12,Smad6,,BC030476,Med6,A4galt,Ifi202b,
Topbp1,,Tmem38b,,Copb2,Mlip,,Spag1,Zfyve1,Vkorc1l1,Rcor3,
Rrp9,,Zfp462,,Abhd14b,Filip1,,Fzd6,Mlh3,Pnpla5,Hivep2,
Ifrd2,,Frmd3,,Nprl2,Snx14,,Eny2,Nek9,Mapk12,Il22ra2,
Mst1r,,Hook1,,Slc25a20,Manf,,Mal2,Pomt2,Fam116b,Nepn,
Dalrd3,,Oma1,,Cspg5,Gpd1l,,Zhx2,Noxred1,Sbf1,Rhobtb1,
Epm2aip1,,Ssbp3,,Glb1,Sec22c,,Sqle,Sptlc2,Odf3b,Tcp11l2,
Sacm1l,,Spata6,,Osbpl10,Zfp445,,Efr3a,Gtf2a1,Chkb,Chst3,
Aasdhppt,,Skint3,,Zfp105,Mid1ip1,,Khdrbs3,Foxn3,Arsa,Srgn,
Gria4,,Gpbp1l1,,Ccr2,Cxx1c,,Chrac1,Ttc7b,Slc2a13,Nfic,
Dync2h1,,Fhl3,,Aasdhppt,Aff2,,Ptp4a3,Tc2n,Dbx2,Tbk1,
Birc3,,Lsm10,,Kank2,Efnb1,,Gpihbp1,Itpk1,Slc38a1,Rbms2,
Fat3,,Csmd2,,Anln,Gprasp1,,Grina,Asb2,Rapgef3,Nsg2,
Col5a3,,Ak2,,Rp9,Pfkfb1,,Maf1,Serpina6,Adcy6,Lcp2,
Dnmt1,,Srsf5,,Ddx25,Bcor,,Fam203a,Cinp,Rnd1,Timd4,
S1pr2,,Eif4g3,,Ube4a,Fgf13,,Hsf1,Ankrd9,Mll2,Olfr1390,
Tmed1,,Mul1,,Tex12,4930567H17Rik,,Adck5,Cdc42bpb,Rhebl1,Olfr316,
Dcps,,Tmco4,,Nrg4,Prrg1,,Mfsd3,Ppp1r13b,Lmbr1l,Mprip,
Ccdc15,,Lrrc38,,Lingo1,Taf9b,,Zfp7,Akt1,Lima1,Mmgt2,
1110032A03Rik,,Dhrs3,,Csk,Ammecr1,,Cdc42ep1,Cdca4,Csrnp2,Zbtb4,
Nrg4,,Fv1,,Lrrc49,Il13ra2,,Apobec3,Gpr132,Krt80,Slfn2,
Snx33,,Mthfr,,Glce,Mageh1,,Atf4,Asb13,Rarg,Ap2b1,
Lca5,,Mtor,,Smad3,Magea3,,Xpnpep3,Akr1c14,Aaas,Meis1,
Pgm3,,Nadk,,Mapk6,2310042D19Rik,,Zc3h7b,Akr1c19,Cbx5,Chd3,
Me1,,Slc35e2,,Slc17a5,Nif3l1,,Tef,Gm5444,Glis2,Myo1d,
Snap91,,Fam132a,,Phip,Bmpr2,,Srebf2,Pitrm1,4930451G09Rik,Akap1,
Ankrd34c,,Penk,,Slc38a3,Eef1b2,,Bik,Idi1,Abat,Dcakd,
Mrps22,,Asph,,Wdr6,Dnajb2,,Pnpla3,Nid1,Ciita,Cd79b,
Atp2c1,,Pou3f2,,P4htm,Rhbdd1,,Parvb,Lyst,Shisa9,Icam2,
Alas1,,Pnrc1,,Ccrl2,Ccdc93,,Prr5,B3galnt2,Ppm1f,Prkca,
Grm2,,Aqp7,,Pdcd6ip,Glul,,Ppara,Gm6505,Serpind1,Tmc6,
Fbxw18,,Nol6,,Tgfbr2,Itpkb,,Gramd4,Vps41,P2rx6,BC017643,
