ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Farsb,Tob1,Eya1,Ksr1,Pask,Epha4,Mfap3,Efhd1,Vwc2l,Lrrfip1,Cxcr4,Cry1
Trip12,Phospho1,Tram2,Hlf,Thap4,Fam124b,Zfp692,Neu2,Atic,Dusp28,Atp2b4,Tbc1d15
Hes6,Cdk12,Uggt1,Nr1d1,Insig2,Irs1,Aloxe3,Cxcr7,Smarcal1,Gal3st2,Nav1,Slc26a10
Per2,Thra,Rev1,Pitpnc1,Mapkapk2,Per2,Trappc1,Cops8,Arpc2,Serpinb2,Rgs2,Pik3ip1
Hdac4,Armc7,Slc39a10,Gga3,Lgr6,Hdac4,Wscd1,Bok,Pnkd,Acmsd,Lamc1,Dusp18
Bcl2,Tcn2,Kctd18,Rnf157,Trove2,Ppip5k2,1700016K19Rik,Serpinb8,Ctdsp1,Fcamr,Xpr1,Egfr
Pfkfb2,Gck,Acadl,BC068281,Hmcn1,Cdh19,Rab34,Mki67ip,Rqcd1,Pigr,Fasl,Pank3
Ppp1r12b,Camk2b,Mreg,Rhoj,Dars2,Ptpn4,Ska2,Acmsd,Bcs1l,Faim3,Fmo4,Rnf145
Pla2g4a,Ccdc104,Igfbp5,Fam71d,Prdx6,Nckap5,B130006D01Rik,Ubxn4,Cyp27a1,5430435G22Rik,Fmo1,Ifi47
Ralgps2,Slc22a4,Nhej1,Kcnk13,Fmo2,Pfkfb2,Fn3k,Faim3,Stk16,Slc26a9,Fmo2,Olfr1390
Cacybp,Flcn,Cnppd1,Slc24a4,Pou2f1,Cdk18,Nacad,Slc41a1,Dnajb2,Slc41a1,Uck2,Adamts2
Dnm3,Srebf1,Farsb,Crip1,Uhmk1,Adora1,Ehbp1,Klhdc8a,Acsl3,Nuak2,Ahctf1,2810021J22Rik
Fmo2,Mpdu1,Per2,Id2,Darc,Lgr6,Ahsa2,Atp6v1g3,Gm9747,Lrrn2,Adck3,Mprip
Uap1,Smtnl2,Thap4,Arl4a,Cadm3,Elf3,Ccdc85a,Dennd1b,Itm2c,Plekha6,Ephx1,Map2k3
Chml,Fam101b,Rnf152,Rab15,Opn3,Timm17a,Rufy1,Zbtb41,Armc9,Adipor1,Capn2,Ubb
Ahctf1,Ypel2,Bcl2,Prima1,Adss,Hmcn1,Lyrm7,Ivns1abp,Cops7b,Tnnt2,Mosc2,Ssh2
Ephx1,Akap1,Gm101,Heatr1,Ephx1,Tsen15,C1qbp,1190005F20Rik,Neu2,Rnasel,Ppp2r5a,Fam117a
Iars2,Hlf,Tmem37,Vmn1r218,Kcnk2,Mr1,Crlf3,Fam129a,Cops8,Glul,Traf5,Wnk4
Lyplal1,Abi3,Steap3,Hist1h1c,Nenf,Dnm3,Ccl3,Glul,Ube2f,Tor1aip2,G0s2,Ccdc103
Fbxo30,Ormdl3,Htr5b,Bmp6,Shprh,Fmo1,Stxbp4,Nphs2,Scly,Sec16b,Ppil4,Tanc2
1110021L09Rik,Nr1d1,Dars,Serinc5,Slc2a12,Fmo2,Npepps,Angptl1,Olfr1410,4930523C07Rik,Taar7e,Afmid
Vnn1,Cyb561,Cd55,Dhx29,Ctgf,Mpzl1,Nr1d1,Rfwd2,Agxt,Sell,Ctgf,Osbp2
Akd1,Cyth1,Mapkapk2,Pfkp,Med23,Hsd17b7,Hcrt,Vamp4,Sned1,Creg1,Arhgap18,Nefh
Gp49a,Nploc4,Ikbke,Ptch1,Ptprk,Atf6,Abca8a,Kifap3,Ppp1r7,Rxrg,Ptprk,Etaa1
Lilrb4,Rab40b,Mfsd4,Pde8b,Ddo,Pea15a,Adcy3,Nme7,43345,1700009P17Rik,9330159F19Rik,Rel
Fabp7,Adcy3,Adora1,Srek1,Rtn4ip1,Ahctf1,BC068281,Pfdn2,D2hgdh,Arhgap30,Hs3st5,Rad50
Smpdl3a,Pxdn,Lgr6,Ogdhl,Fabp7,Tgfb2,Pdia6,Dcaf8,Fam174a,Cd244,Rev3l,Epn2
P4ha1,2310044G17Rik,Ipo9,Vstm4,Smpdl3a,Timm8a1,Odc1,Kcnj10,2310035C23Rik,Igsf8,Ddo,Usp43
Slc25a16,Tshr,Camsap2,Mmp14,Micu1,Ctgf,Npas3,Tagln2,Mki67ip,Kcnj10,Mical1,Doc2b
Jmjd1c,Aspg,Ptprc,Htr2a,Pcbd1,Med23,Gphn,Zfp238,Gpr39,Aim2,Ostm1,Nek8
