LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G09795,AT1G07025,AT1G18460,AT1G03680,AT1G06890,AT1G07470
AT1G09850,AT1G07050,AT1G18470,AT1G03687,AT1G06900,AT1G07590
AT1G09900,AT1G07180,AT1G18720,AT1G03740,AT1G06970,AT1G07640
AT1G09960,AT1G07440,AT1G19720,AT1G03750,AT1G07010,AT1G07650
AT1G09970,AT1G07480,AT1G19880,AT1G03780,AT1G07180,AT1G07700
AT1G10020,AT1G07510,AT1G20620,AT1G03830,AT1G07510,AT1G07810
AT1G10060,AT1G07590,AT1G21000,AT1G03850,AT1G07570,AT1G07840
AT1G10470,AT1G07700,AT1G21590,AT1G03860,AT1G07640,AT1G07880
AT1G10760,AT1G07870,AT1G21640,AT1G03870,AT1G07650,AT1G07900
AT1G10770,AT1G07990,AT1G21670,AT1G03900,AT1G07700,AT1G07920
AT1G10865,AT1G08110,AT1G21750,AT1G03905,AT1G07810,AT1G08200
AT1G10930,AT1G08200,AT1G21780,AT1G03910,AT1G07830,AT1G08210
AT1G11020,AT1G08280,AT1G21880,AT1G03950,AT1G07850,AT1G08250
AT1G11280,AT1G08390,AT1G22070,AT1G03970,AT1G07960,AT1G08280
AT1G11310,AT1G08460,AT1G22190,AT1G03980,AT1G07970,AT1G08370
AT1G11475,AT1G08550,AT1G22750,AT1G04010,AT1G08150,AT1G08390
AT1G11680,AT1G08570,AT1G23090,AT1G04040,AT1G08210,AT1G08460
AT1G11910,AT1G08610,AT1G23200,AT1G04160,AT1G08230,AT1G08550
AT1G11960,AT1G08650,AT1G23201,AT1G04180,AT1G08390,AT1G08570
AT1G12050,AT1G08660,AT1G23390,AT1G04200,AT1G08450,AT1G08660
AT1G12360,AT1G09020,AT1G23760,AT1G04210,AT1G08465,AT1G08680
AT1G12500,AT1G09080,AT1G24265,AT1G04220,AT1G08550,AT1G08920
AT1G12580,AT1G09090,AT1G24340,AT1G04250,AT1G08660,AT1G08980
AT1G12640,AT1G09195,AT1G24764,AT1G04260,AT1G08800,AT1G09060
AT1G12800,AT1G09210,AT1G25141,AT1G04300,AT1G08845,AT1G09170
AT1G12920,AT1G09230,AT1G25250,AT1G04350,AT1G08920,AT1G09340
AT1G13020,AT1G09360,AT1G25530,AT1G04400,AT1G08930,AT1G09350
AT1G13040,AT1G09390,AT1G26100,AT1G04510,AT1G08940,AT1G09430
AT1G13080,AT1G09410,AT1G26160,AT1G04520,AT1G08980,AT1G09620
AT1G13160,AT1G09560,AT1G26800,AT1G04620,AT1G09010,AT1G09690
AT1G13195,AT1G09570,AT1G26850,AT1G04640,AT1G09070,AT1G09700
AT1G13250,AT1G09600,AT1G27000,AT1G04680,AT1G09100,AT1G09780
AT1G13270,AT1G09750,AT1G27380,AT1G04690,AT1G09130,AT1G09795
AT1G13280,AT1G09795,AT1G27440,AT1G04730,AT1G09180,AT1G09850
AT1G14030,AT1G09840,AT1G27630,AT1G04750,AT1G09210,AT1G09910
AT1G14190,AT1G09850,AT1G27930,AT1G04790,AT1G09280,AT1G09932
AT1G14340,AT1G09970,AT1G27980,AT1G04810,AT1G09580,AT1G10020
AT1G14470,AT1G10020,AT1G28570,AT1G04850,AT1G09620,AT1G10030
AT1G14580,AT1G10050,AT1G29160,AT1G04870,AT1G09640,AT1G10130
