GENE
NCU00038
NCU00060
NCU00083
NCU00163
NCU00172
NCU00176
NCU00239
NCU00260
NCU00265
NCU00309
NCU00332
NCU00366
NCU00376
NCU00377
NCU00437
NCU00451
NCU00453
NCU00454
NCU00560
NCU00573
NCU00608
NCU00629
NCU00642
NCU00649
NCU00662
NCU00682
NCU00701
NCU00719
NCU00730
NCU00778
NCU00786
NCU00796
NCU00812
NCU00813
NCU00818
NCU00938
NCU00952
NCU01010
NCU01038
NCU01061
NCU01074
NCU01106
NCU01107
NCU01149
NCU01179
NCU01257
NCU01259
NCU01301
NCU01348
NCU01388
NCU01403
NCU01411
NCU01430
NCU01458
NCU01520
NCU01528
NCU01569
NCU01579
NCU01652
NCU01720
NCU01740
NCU01742
NCU01762
NCU01869
NCU01870
NCU01948
NCU02008
NCU02030
NCU02136
NCU02216
NCU02232
NCU02278
NCU02302
NCU02338
NCU02345
NCU02378
NCU02468
NCU02473
NCU02478
NCU02482
NCU02512
NCU02533
NCU02540
NCU02546
NCU02611
NCU02621
NCU02640
NCU02646
NCU02654
NCU02679
NCU02767
NCU02772
NCU02849
NCU02883
NCU02940
NCU03022
NCU03037
NCU03051
NCU03096
NCU03101
NCU03109
NCU03110
NCU03141
NCU03170
NCU03179
NCU03188
NCU03240
NCU03261
NCU03278
NCU03291
NCU03293
NCU03365
NCU03392
NCU03396
NCU03405
NCU03451
NCU03452
NCU03507
NCU03551
NCU03596
NCU03606
NCU03611
NCU03641
NCU03659
NCU03684
NCU03702
NCU03742
NCU03753
NCU03769
NCU03771
NCU03794
NCU03801
NCU03802
NCU03815
NCU03969
NCU04005
NCU04025
NCU04029
NCU04042
NCU04111
NCU04121
NCU04150
NCU04159
NCU04182
NCU04237
NCU04243
NCU04247
NCU04251
NCU04266
NCU04267
NCU04277
NCU04281
NCU04300
NCU04306
NCU04368
NCU04430
NCU04451
NCU04462
NCU04491
NCU04501
NCU04505
NCU04507
NCU04641
NCU04648
NCU04661
NCU04672
NCU04675
NCU04722
NCU04725
NCU04823
NCU04941
NCU04942
NCU04994
NCU05004
NCU05035
NCU05038
NCU05039
NCU05070
NCU05094
NCU05153
NCU05169
NCU05173
NCU05191
NCU05197
NCU05217
NCU05235
NCU05257
NCU05278
NCU05290
NCU05308
NCU05315
NCU05387
NCU05404
NCU05410
NCU05426
NCU05563
NCU05571
NCU05602
NCU05622
NCU05639
NCU05775
NCU05777
NCU05786
NCU05789
NCU05808
NCU05859
NCU05882
NCU05894
NCU05974
NCU06013
NCU06055
NCU06074
NCU06075
NCU06080
NCU06095
NCU06119
NCU06129
NCU06174
NCU06210
NCU06231
NCU06238
NCU06258
NCU06306
NCU06311
NCU06366
NCU06371
NCU06416
NCU06427
NCU06547
NCU06554
NCU06614
NCU06619
NCU06662
NCU06673
NCU06718
NCU06772
NCU06773
NCU06776
NCU06803
NCU06839
NCU06845
NCU06890
NCU06945
NCU06986
NCU06993
NCU07015
NCU07022
NCU07046
NCU07050
NCU07074
NCU07075
NCU07076
NCU07095
NCU07098
NCU07115
NCU07121
NCU07162
NCU07194
NCU07206
NCU07221
NCU07232
NCU07264
NCU07270
NCU07275
NCU07277
NCU07290
NCU07294
NCU07392
NCU07460
NCU07468
NCU07503
NCU07557
NCU07569
NCU07619
NCU07663
NCU07731
NCU07795
NCU07807
NCU07852
NCU07933
NCU07944
NCU08009
NCU08044
NCU08060
NCU08070
NCU08092
NCU08096
NCU08156
NCU08197
NCU08226
NCU08268
NCU08298
NCU08301
NCU08352
NCU08404
NCU08412
NCU08549
NCU08558
NCU08595
NCU08632
NCU08708
NCU08727
NCU08728
NCU08734
NCU08747
NCU08750
NCU08803
NCU08804
NCU08821
NCU08870
NCU08887
NCU08949
NCU08985
NCU09023
NCU09066
NCU09107
NCU09108
NCU09169
NCU09170
NCU09187
NCU09188
NCU09221
NCU09230
NCU09236
NCU09239
NCU09267
NCU09293
NCU09331
NCU09410
NCU09420
NCU09443
NCU09486
NCU09525
NCU09532
NCU09541
NCU09643
NCU09676
NCU09729
NCU09739
NCU09775
NCU09806
NCU09813
NCU09842
NCU09856
NCU09857
NCU09909
NCU09929
NCU09995
NCU10042
NCU10048
NCU10049
NCU10368
NCU10893
NCU11220
NCU11245
NCU11320
NCU11364
NCU11411
NCU11473
NCU11570
NCU11581
NCU11624
NCU11633
NCU11768
NCU11781
NCU11990
NCU12024
NCU12041
NCU12062
NCU12072
NCU12121
NCU12134
NCU00065
NCU00102
NCU00115
NCU00419
NCU00643
NCU00990
NCU01112
NCU01121
NCU01154
NCU01446
NCU01489
NCU01906
NCU02020
NCU02400
NCU02651
NCU02797
NCU03004
NCU03054
NCU03610
NCU03796
NCU04065
NCU04341
NCU04367
NCU04443
NCU04647
NCU04674
NCU04723
NCU04852
NCU05534
NCU05598
NCU06250
NCU06326
NCU06542
NCU07064
NCU07200
NCU07331
NCU07333
NCU07432
NCU07459
NCU07751
NCU08091
NCU08145
NCU08146
NCU08372
NCU08726
NCU08968
NCU09264
NCU09295
NCU09421
NCU09533
NCU11926
