CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_0372,1,1,28,14,16.50407323,0.999999999,1,28,4.000046091,210.4027157,1,1,28,9.000023045,201.3733469,9.135133712,0.045364165,141.9160708,270.2608888,229.8229632,211.6633757,192.9108078,221.2546856,171.3592096,189.889865,229.4077451,240.9172369,205.9416902,151.8846807,139.3168883,219.8055556,182.8029548,229.5496875,195.7210275,233.5423832,188.8406571,220.6821523
Synpcc7942_0371,0.000382986,0.003990109,24,12,72.19039825,0.022010062,0.307768027,23.48195329,10.62047639,194.8679372,0.000106919,0.001255788,23.74097665,11.30405822,151.6328509,85.74203069,0.565458146,68.13600927,143.8086068,192.4691059,303.1464916,227.5508396,227.1699613,134.9642302,138.0422795,79.27703384,127.0598487,88.77481623,87.18327277,87.42506455,129.7151672,214.6387714,263.0104668,205.080149,249.4499002,157.0048346,179.0808329
Synpcc7942_0370,4.76E-05,0.00102981,24,12,306.927618,0.008920906,0.287325741,22.61758691,12.00307095,646.4665187,6.65E-06,0.000178547,23.30879346,12.01214423,487.4641688,384.1626965,0.788083968,165.2885708,256.912677,648.6700103,912.7904886,930.4432586,929.2927006,391.0267255,316.3000088,186.0948222,268.9031157,231.1323595,288.8445179,263.3080313,366.708344,912.2646124,932.5079213,896.4292624,948.4473605,482.1602784,470.955612
Synpcc7942_0369,7.43E-05,0.001390329,24,12,808.4307517,0.010683642,0.287325741,22.99376299,11.97537831,1101.787835,1.19E-05,0.000270237,23.4968815,11.99292407,666.8110959,765.5455591,1.148069616,129.0090247,356.1160757,1395.892792,1789.035634,1463.720391,1269.653517,484.660867,296.6957317,104.7621104,124.5665851,80.59846168,128.1529823,187.4542457,391.3422098,1907.348737,1543.913542,1622.789036,1090.417992,614.1675488,515.761267
Synpcc7942_0368,1,1,28,14,15.17451101,0.994038676,1,23.99132321,12.08218023,84.12770165,0.999982196,1,25.99566161,13.04470418,80.11225082,7.313606057,0.091291981,53.3217443,71.38745964,118.3655784,104.6006209,64.48815849,73.81439006,73.62077573,70.69418871,76.27282514,107.0794132,53.93166688,73.37977087,50.99668995,84.49216078,77.55127972,111.8038902,81.80048961,116.6504331,65.11316478,90.35597014
Synpcc7942_0367,0.064166371,0.181355579,24,22,39.99302268,0.232598452,0.77740959,22.0758483,20.33276009,362.4383547,0.077680405,0.237872704,23.03792415,21.16848424,317.3231354,77.4816451,0.244172695,384.9647297,420.4507129,191.727748,219.760681,240.3445771,314.3148228,265.0513969,409.5047094,321.3240471,437.2302135,301.30514,360.680014,294.954465,353.5087694,208.0375512,244.9759877,189.6555953,306.7997198,277.2062492,390.1857706
Synpcc7942_0366,1,1,28,6,12.71053487,0.999999391,1,28,6.402831912,179.0429994,1,1,28,6.201415956,176.5710071,9.510907262,0.05386449,167.8221713,263.6481801,163.4444344,160.9889532,175.7419934,203.5953407,157.7665826,174.5662389,147.729022,198.1193867,169.1924509,150.9654031,166.7631695,204.8678224,160.5515737,198.8956611,139.5385881,211.9599007,153.7059722,200.8647468
Synpcc7942_0365,0.050611446,0.153498781,28,0,34.18073308,0.241177145,0.791213559,24.85393258,2.597821342,347.3748241,0.06598496,0.209569578,26.42696629,1.381120207,333.2839115,33.08336982,0.099264827,386.7040313,424.9085575,338.365175,310.217611,292.586781,278.5066899,364.4355548,296.489283,305.7320027,344.8077179,308.8042735,355.0871708,382.936332,339.856869,338.3412748,348.1046239,335.0171596,282.8598222,317.6173849,287.04462
Synpcc7942_0364,0.013910279,0.057156097,24,18,5.739144208,0.31554237,0.911485502,22.0758483,19.74200209,179.59752,0.028216895,0.106293598,23.03792415,18.94040547,169.3327537,22.15878597,0.13085942,113.2928424,153.4746542,163.1468957,169.2176359,160.7688695,134.9441386,170.4274731,171.5470663,237.0062325,162.6839855,171.8201452,153.7158904,153.4745738,153.6460776,127.7919655,158.5782824,178.0513195,198.01421,232.7587852,180.0174818
Synpcc7942_0363,1,1,24,2,25.03434235,0.999999691,1,20,2.00952825,296.9405359,1,1,22,2.021907204,282.4203715,15.71469544,0.055642925,247.8563945,320.4304325,223.5481709,265.6945704,206.200907,293.0664102,209.8568314,341.4450134,228.9443051,388.2048234,241.2581777,344.5603737,222.935666,357.0369916,237.1334232,308.8067178,222.522704,378.7466216,227.5884606,356.237179
