ORF	Protein_abundance
YDR513W	3.14E+04
YHR024C	3.14E+04
YMR246W	3.12E+04
YML024W	3.09E+04
YDR447C	3.05E+04
YBR149W	3.02E+04
YCR031C	2.96E+04
YGR189C	2.95E+04
YML125C	2.90E+04
YOL121C	2.90E+04
YOR206W	2.90E+04
YDR461W	2.89E+04
YOR108W	2.88E+04
YGL206C	2.87E+04
YKR094C	2.82E+04
YBR039W	2.81E+04
YDL182W	2.81E+04
YKL085W	2.81E+04
YPL093W	2.80E+04
YKL056C	2.78E+04
YKR057W	2.74E+04
YOR276W	2.69E+04
YGL200C	2.68E+04
YPR033C	2.68E+04
YAL007C	2.63E+04
YBR249C	2.63E+04
YLR432W	2.63E+04
YCR053W	2.60E+04
YDR238C	2.60E+04
YJR148W	2.59E+04
YPL117C	2.55E+04
YDL137W	2.50E+04
YLR378C	2.48E+04
YMR015C	2.47E+04
YNL066W	2.47E+04
YFL018C	2.46E+04
YPR163C	2.40E+04
YOR370C	2.38E+04
YDL015C	2.36E+04
YML070W	2.36E+04
YER056C-A	2.36E+04
YGL238W	2.35E+04
YHR094C	2.33E+04
YER073W	2.33E+04
YBL076C	2.33E+04
YIL076W	2.31E+04
YNL247W	2.30E+04
YDR471W	2.29E+04
YDR074W	2.27E+04
YOR176W	2.27E+04
YGL028C	2.26E+04
YDR232W	2.26E+04
YPR036W	2.25E+04
YDL130W	2.24E+04
YML069W	2.24E+04
YMR296C	2.24E+04
YFR044C	2.23E+04
YOR374W	2.22E+04
YJR105W	2.22E+04
YDR502C	2.20E+04
YDR044W	2.20E+04
YDL131W	2.19E+04
YER012W	2.18E+04
YLR185W	2.18E+04
YMR318C	2.17E+04
YBR247C	2.16E+04
YJR014W	2.16E+04
YDR496C	2.15E+04
YLR208W	2.14E+04
YML048W	2.14E+04
YOR273C	2.14E+04
YGL056C	2.12E+04
YGR085C	2.12E+04
YCL025C	2.11E+04
YCL040W	2.11E+04
YKL080W	2.11E+04
YJL177W	2.11E+04
YIL052C	2.10E+04
YGR187C	2.08E+04
YER025W	2.08E+04
YAR002C-A	2.07E+04
YNL141W	2.07E+04
YDR341C	2.06E+04
YDR454C	2.05E+04
YDR525W-A	2.04E+04
YNL007C	2.03E+04
YNR016C	2.02E+04
YPR024W	2.01E+04
YHR196W	2.00E+04
YNL098C	1.98E+04
YOR261C	1.98E+04
YLR367W	1.97E+04
YBL056W	1.97E+04
YDR500C	1.97E+04
YIR012W	1.97E+04
YJR117W	1.96E+04
YCL050C	1.96E+04
YLL050C	1.96E+04
YLR244C	1.96E+04
YNL251C	1.96E+04
YGL099W	1.94E+04
YBL045C	1.93E+04
YBR072W	1.93E+04
YDL192W	1.93E+04
YDL136W	1.91E+04
YIL094C	1.91E+04
YDR174W	1.90E+04
YDL171C	1.89E+04
YNL288W	1.88E+04
YDR390C	1.88E+04
YML058W	1.88E+04
YOR151C	1.87E+04
YNL061W	1.87E+04
YMR300C	1.87E+04
YLR216C	1.86E+04
YPR016C	1.86E+04
YLR257W	1.86E+04
YOR182C	1.85E+04
YGL207W	1.85E+04
YDR158W	1.84E+04
YOR142W	1.84E+04
YJL109C	1.82E+04
YKL009W	1.82E+04
YFR024C	1.80E+04
YJR109C	1.80E+04
YPL037C	1.80E+04
YFR051C	1.80E+04
YER103W	1.79E+04
YLR192C	1.79E+04
YBR263W	1.77E+04
YKL210W	1.77E+04
YOR254C	1.77E+04
YER036C	1.76E+04
YLR277C	1.74E+04
YDL100C	1.73E+04
YGR209C	1.72E+04
YHR200W	1.72E+04
YHR037W	1.72E+04
YKL035W	1.72E+04
YKR002W	1.71E+04
YGR135W	1.71E+04
YGR253C	1.71E+04
YJR007W	1.71E+04
YOR239W	1.70E+04
YPL231W	1.70E+04
YBR218C	1.70E+04
YML052W	1.70E+04
YMR012W	1.70E+04
YAL016W	1.69E+04
YFR050C	1.69E+04
YGL120C	1.69E+04
YBR041W	1.69E+04
YDL097C	1.68E+04
YGR128C	1.68E+04
YOL038W	1.68E+04
YER021W	1.67E+04
YCR057C	1.67E+04
YPL094C	1.65E+04
YMR215W	1.64E+04
YFR004W	1.64E+04
YGL189C	1.63E+04
YDR395W	1.63E+04
YLR109W	1.62E+04
