ORF	Protein_abundance
YNL100W	5.46E+03
YOL151W	5.46E+03
YLR060W	5.44E+03
YDR324C	5.44E+03
YHR114W	5.44E+03
YLR120C	5.44E+03
YNL071W	5.44E+03
YDL061C	5.41E+03
YDL125C	5.41E+03
YOR128C	5.41E+03
YPL207W	5.41E+03
YDR519W	5.40E+03
YNL111C	5.39E+03
YCR095C	5.37E+03
YJR103W	5.37E+03
YPL249C-A	5.37E+03
YMR061W	5.35E+03
YDL065C	5.35E+03
YER014W	5.35E+03
YIL044C	5.35E+03
YKL120W	5.35E+03
YNL284C	5.35E+03
YOR164C	5.35E+03
YOR252W	5.35E+03
YPR173C	5.35E+03
YDR097C	5.33E+03
YGR008C	5.33E+03
YNL306W	5.30E+03
YOR210W	5.30E+03
YLR292C	5.29E+03
YBL068W	5.28E+03
YKL110C	5.26E+03
YMR302C	5.26E+03
YOL126C	5.26E+03
YPL015C	5.26E+03
YBR199W	5.24E+03
YHR009C	5.24E+03
YIL027C	5.24E+03
YIR021W	5.24E+03
YLR350W	5.24E+03
YML120C	5.24E+03
YER003C	5.22E+03
YDL099W	5.22E+03
YGR235C	5.22E+03
YBR164C	5.19E+03
YIL105C	5.19E+03
YJL092W	5.19E+03
YPR062W	5.18E+03
YDL144C	5.17E+03
YHL039W	5.17E+03
YPL211W	5.17E+03
YGR195W	5.15E+03
YDR311W	5.15E+03
YER159C	5.13E+03
YJL101C	5.13E+03
YLR328W	5.13E+03
YPR137W	5.13E+03
YIL137C	5.11E+03
YIL154C	5.11E+03
YPR072W	5.11E+03
YER078C	5.08E+03
YGR292W	5.06E+03
YLR022C	5.06E+03
YBR087W	5.04E+03
YDR479C	5.04E+03
YJR049C	5.04E+03
YKL195W	5.04E+03
YNL264C	5.04E+03
YIL106W	5.02E+03
YER062C	5.00E+03
YHR207C	5.00E+03
YPL043W	4.99E+03
YJL082W	4.98E+03
YMR239C	4.97E+03
YMR278W	4.96E+03
YCL052C	4.93E+03
YMR145C	4.93E+03
YDL133C-A	4.91E+03
YDR498C	4.91E+03
YIL070C	4.91E+03
YBL015W	4.89E+03
YBL036C	4.89E+03
YGL194C	4.89E+03
YML055W	4.89E+03
YBL018C	4.87E+03
YDR262W	4.85E+03
YLR215C	4.85E+03
YPL096W	4.85E+03
YPR029C	4.85E+03
YHR069C	4.84E+03
YDR453C	4.82E+03
YHR058C	4.82E+03
YIL043C	4.82E+03
YLR017W	4.82E+03
YML021C	4.82E+03
YKL112W	4.82E+03
YDR280W	4.80E+03
YGL107C	4.80E+03
YLR203C	4.80E+03
YNR046W	4.80E+03
YPL208W	4.80E+03
YJL122W	4.78E+03
YAL058W	4.76E+03
YNL265C	4.76E+03
YPL086C	4.76E+03
YPR159W	4.76E+03
YGL172W	4.76E+03
YBR230C	4.75E+03
YIL075C	4.75E+03
YML115C	4.75E+03
YBR286W	4.74E+03
YGL048C	4.70E+03
YGR007W	4.70E+03
YML113W	4.70E+03
YML114C	4.68E+03
YJL200C	4.67E+03
YPR070W	4.67E+03
YGR012W	4.65E+03
YPL188W	4.65E+03
YBL051C	4.63E+03
YGL092W	4.63E+03
YPR056W	4.63E+03
YDL219W	4.61E+03
YJR068W	4.61E+03
YAR002W	4.59E+03
YBR089C-A	4.59E+03
YDR322C-A	4.59E+03
YDR361C	4.59E+03
YIL153W	4.59E+03
YML054C	4.59E+03
YOR077W	4.59E+03
YNL256W	4.59E+03
YER020W	4.57E+03
YLR324W	4.57E+03
YGR183C	4.55E+03
YLL022C	4.55E+03
YDR100W	4.54E+03
YOR061W	4.54E+03
YGR103W	4.53E+03
YNL056W	4.53E+03
YBL064C	4.51E+03
YJL018W	4.51E+03
YLR351C	4.51E+03
YNR048W	4.51E+03
YEL055C	4.49E+03
YFL014W	4.49E+03
YFR033C	4.49E+03
YGR063C	4.49E+03
YLL034C	4.49E+03
YOR056C	4.49E+03
YLR033W	4.46E+03
YML046W	4.46E+03
YOR297C	4.44E+03
YER105C	4.42E+03
YHR085W	4.42E+03
YHR199C	4.42E+03
YPL116W	4.42E+03
YPL259C	4.42E+03
YDL108W	4.40E+03
YJR017C	4.40E+03
YLR181C	4.40E+03
YNL216W	4.39E+03
YHR209W	4.38E+03
YKL007W	4.38E+03
YPL053C	4.38E+03
YLR116W	4.38E+03
YBR252W	4.34E+03
YCL059C	4.34E+03
YOR326W	4.34E+03
YGR246C	4.33E+03
YGR248W	4.32E+03
YJL164C	4.32E+03
YCR093W	4.30E+03
YGL210W	4.30E+03
YJL085W	4.28E+03
YAR015W	4.28E+03
YCR030C	4.28E+03
YDR020C	4.28E+03
YER068W	4.28E+03
YFR025C	4.28E+03
YGL233W	4.28E+03
YGR205W	4.28E+03
YIL033C	4.28E+03
YJL173C	4.28E+03
YLR300W	4.28E+03
YLR413W	4.28E+03
YML072C	4.28E+03
YML097C	4.28E+03
YNL110C	4.28E+03
YNL155W	4.28E+03
YNR013C	4.28E+03
YOL005C	4.28E+03
YOL080C	4.28E+03
YOR044W	4.28E+03
YPL271W	4.28E+03
YBR065C	4.26E+03
YCR043C	4.24E+03
YLR385C	4.24E+03
YER007C-A	4.22E+03
YIL042C	4.22E+03
YOR091W	4.22E+03
YOR286W	4.22E+03
YBR053C	4.19E+03
YKL004W	4.17E+03
YKL074C	4.17E+03
YCR046C	4.15E+03
YOL148C	4.15E+03
YOR243C	4.15E+03
YER157W	4.14E+03
YHR070W	4.12E+03
YBR061C	4.11E+03
YDL188C	4.11E+03
YHR117W	4.11E+03
YAR007C	4.10E+03
YDR019C	4.09E+03
YIL026C	4.09E+03
YOL093W	4.09E+03
YOR340C	4.07E+03
YDR264C	4.07E+03
YKL130C	4.07E+03
YNL032W	4.07E+03
YGR020C	4.05E+03
YIL018W	4.05E+03
YMR195W	4.05E+03
YBR299W	4.03E+03
YDL124W	4.03E+03
YGL246C	4.03E+03
YOR085W	4.03E+03
YDR257C	4.01E+03
YMR029C	4.01E+03
YMR193W	4.01E+03
YPL263C	4.01E+03
YLR225C	3.99E+03
YNL292W	3.99E+03
YCR090C	3.97E+03
YDL047W	3.97E+03
YFR018C	3.97E+03
YNL035C	3.97E+03
YDR036C	3.95E+03
YLR321C	3.94E+03
YGL155W	3.94E+03
YML065W	3.93E+03
YDR049W	3.93E+03
YDR289C	3.93E+03
YLR133W	3.93E+03
YMR276W	3.93E+03
YDL030W	3.92E+03
YDL090C	3.91E+03
YDR408C	3.91E+03
YKL058W	3.91E+03
YML035C	3.91E+03
YMR165C	3.91E+03
YPL228W	3.90E+03
YBR112C	3.89E+03
YHR141C	3.89E+03
YMR178W	3.89E+03
YAL039C	3.87E+03
YDR117C	3.87E+03
YER017C	3.87E+03
YGL060W	3.87E+03
YHR187W	3.87E+03
YJL208C	3.87E+03
YKL053C-A	3.87E+03
YKL151C	3.87E+03
YKR070W	3.87E+03
YLR146C	3.87E+03
YNL090W	3.87E+03
YPR052C	3.87E+03
YKL193C	3.87E+03
YGR280C	3.85E+03
YHR205W	3.85E+03
YNL330C	3.85E+03
YNL175C	3.83E+03
YPR138C	3.82E+03
YDL156W	3.81E+03
YMR072W	3.81E+03
YPR113W	3.81E+03
YMR105C	3.79E+03
YGR033C	3.77E+03
YKR072C	3.75E+03
YML096W	3.75E+03
YOR229W	3.75E+03
YAL043C	3.73E+03
YJL112W	3.73E+03
YKL021C	3.73E+03
YOL056W	3.73E+03
YPL233W	3.71E+03
YML060W	3.69E+03
YPR090W	3.69E+03
YPR107C	3.69E+03
YDR170C	3.67E+03
YFR024C-A	3.67E+03
YGL164C	3.67E+03
YGR081C	3.67E+03
YIL124W	3.67E+03
YIL127C	3.67E+03
YLR084C	3.67E+03
YNL052W	3.67E+03
YOR105W	3.67E+03
YFR001W	3.65E+03
YER022W	3.65E+03
YGR245C	3.64E+03
YER016W	3.63E+03
YLR401C	3.63E+03
YPL213W	3.63E+03
YIL063C	3.62E+03
YGR277C	3.61E+03
YGR281W	3.61E+03
YNR007C	3.61E+03
YOR006C	3.61E+03
YER027C	3.59E+03
YDL167C	3.57E+03
YEL052W	3.57E+03
YGR261C	3.57E+03
YMR067C	3.57E+03
YMR285C	3.57E+03
YCR020W-B	3.55E+03
YFR011C	3.55E+03
YNR030W	3.55E+03
YGR028W	3.53E+03
YGR048W	3.53E+03
YDR124W	3.51E+03
YDR129C	3.51E+03
YAL044C	3.51E+03
YCR034W	3.51E+03
YMR091C	3.51E+03
YOR352W	3.51E+03
YDR335W	3.50E+03
YER120W	3.50E+03
YFL045C	3.50E+03
YGR092W	3.50E+03
YHR169W	3.50E+03
YNL212W	3.50E+03
YPR073C	3.50E+03
YBR077C	3.49E+03
YGR167W	3.49E+03
YJL124C	3.49E+03
YJR069C	3.49E+03
YKL191W	3.49E+03
YKL205W	3.49E+03
YNL134C	3.49E+03
YDL101C	3.48E+03
YDR111C	3.48E+03
YJL183W	3.48E+03
YOL042W	3.48E+03
YDL043C	3.46E+03
YGR165W	3.46E+03
YGR194C	3.46E+03
YHR101C	3.46E+03
YMR237W	3.46E+03
YPL183C	3.45E+03
YER112W	3.44E+03
YMR311C	3.44E+03
YNL302C	3.44E+03
YOR163W	3.44E+03
YCR087C-A	3.43E+03
YJL198W	3.43E+03
YLR139C	3.43E+03
YNL085W	3.43E+03
YOL049W	3.43E+03
YCR026C	3.42E+03
YDR147W	3.42E+03
YDR367W	3.42E+03
YHR163W	3.42E+03
YLR201C	3.42E+03
YOR226C	3.42E+03
YPR174C	3.42E+03
YBR288C	3.41E+03
YCL044C	3.41E+03
YHR162W	3.41E+03
YMR129W	3.41E+03
YOL062C	3.41E+03
YOR035C	3.41E+03
YBR057C	3.40E+03
YKL122C	3.40E+03
YDR166C	3.40E+03
YDR140W	3.39E+03
YGL049C	3.39E+03
YGL050W	3.39E+03
YHR192W	3.39E+03
YIL050W	3.39E+03
YJL065C	3.39E+03
YJL066C	3.39E+03
YLR348C	3.39E+03
YLR405W	3.39E+03
YNL156C	3.39E+03
YPL270W	3.39E+03
YPR100W	3.39E+03
YFR037C	3.38E+03
YKL054C	3.38E+03
YLR345W	3.38E+03
YDR167W	3.37E+03
YJL191W	3.37E+03
YJL148W	3.36E+03
YDL211C	3.36E+03
YJL016W	3.36E+03
YPR045C	3.36E+03
YDL042C	3.35E+03
YIL016W	3.35E+03
YLR182W	3.34E+03
YPR132W	3.34E+03
YOR143C	3.32E+03
YOR356W	3.32E+03
YPR111W	3.32E+03
YDR180W	3.31E+03
YHR013C	3.31E+03
YJL121C	3.31E+03
YOL061W	3.31E+03
YMR208W	3.30E+03
YDL078C	3.30E+03
YNL223W	3.30E+03
YPL011C	3.30E+03
YFR031C	3.29E+03
YHR215W	3.29E+03
YMR272C	3.29E+03
YER018C	3.28E+03
YJR003C	3.28E+03
YNL274C	3.28E+03
YPR135W	3.28E+03
YDR068W	3.27E+03
YGR120C	3.27E+03
YLR025W	3.27E+03
YNL137C	3.27E+03
YPL206C	3.27E+03
YDL121C	3.26E+03
YGL252C	3.26E+03
YGR090W	3.26E+03
YGR278W	3.26E+03
YOL057W	3.26E+03
YOL143C	3.26E+03
YKL128C	3.25E+03
YMR014W	3.25E+03
YNL070W	3.25E+03
YNL097C	3.25E+03
YOR154W	3.25E+03
YPR141C	3.25E+03
YMR301C	3.25E+03
YKL204W	3.24E+03
YLL029W	3.24E+03
YGR266W	3.23E+03
YHR030C	3.23E+03
YJR032W	3.23E+03
YGR049W	3.21E+03
YMR226C	3.21E+03
YMR313C	3.21E+03
YNL291C	3.21E+03
YBL058W	3.20E+03
YOR359W	3.20E+03
YDL018C	3.19E+03
YGR220C	3.19E+03
YNL185C	3.19E+03
YCR035C	3.18E+03
YFL049W	3.18E+03
YGR030C	3.18E+03
YJL073W	3.18E+03
YJL104W	3.18E+03
YKL215C	3.18E+03
YDR051C	3.17E+03
YFR039C	3.17E+03
YHR201C	3.17E+03
YIL083C	3.17E+03
YJL013C	3.17E+03
YOR156C	3.17E+03
YDR175C	3.15E+03
YIL128W	3.15E+03
YIR022W	3.15E+03
YJL176C	3.15E+03
YKR011C	3.15E+03
YNL123W	3.15E+03
YLR407W	3.14E+03
YNL048W	3.14E+03
YNL290W	3.14E+03
YDR246W	3.13E+03
YDR484W	3.13E+03
YGL141W	3.12E+03
YGR171C	3.12E+03
YLR237W	3.12E+03
YLR245C	3.12E+03
YNL246W	3.12E+03
YPL129W	3.12E+03
YPR175W	3.11E+03
YJL087C	3.11E+03
YDR156W	3.10E+03
YKR067W	3.10E+03
YLR262C-A	3.10E+03
YDR021W	3.09E+03
YAL061W	3.09E+03
YER124C	3.08E+03
YMR258C	3.08E+03
YPR097W	3.08E+03
YBR290W	3.07E+03
YER042W	3.07E+03
YHL048W	3.07E+03
YNL147W	3.07E+03
YLR115W	3.06E+03
YBR216C	3.06E+03
YBR261C	3.06E+03
YCR028C-A	3.06E+03
YCR068W	3.06E+03
YDL076C	3.06E+03
YDR481C	3.06E+03
YGR001C	3.06E+03
YIL062C	3.06E+03
YKR060W	3.06E+03
YKR082W	3.06E+03
YLR231C	3.06E+03
YLR336C	3.06E+03
YMR132C	3.06E+03
YNL079C	3.06E+03
YPL216W	3.06E+03
YCR044C	3.05E+03
YDR371W	3.05E+03
YDR460W	3.05E+03
YGR202C	3.05E+03
YNL021W	3.05E+03
YBR058C	3.04E+03
YDR063W	3.04E+03
YDR284C	3.04E+03
YGL046W	3.04E+03
YPL139C	3.04E+03
YPL235W	3.03E+03
YML031W	3.03E+03
YCL035C	3.03E+03
YCR059C	3.03E+03
YJL063C	3.03E+03
YGR262C	3.02E+03
YBR059C	3.00E+03
YGL022W	3.00E+03
YGR177C	3.00E+03
YKR065C	3.00E+03
YLL048C	3.00E+03
YML067C	3.00E+03
YOR242C	3.00E+03
YDR258C	2.99E+03
YHR146W	2.99E+03
YJL044C	2.99E+03
YDL074C	2.98E+03
YDL236W	2.98E+03
YJR057W	2.98E+03
YML056C	2.97E+03
YOL006C	2.97E+03
YHR118C	2.97E+03
YIL096C	2.96E+03
YJR122W	2.96E+03
YLR335W	2.96E+03
YBR119W	2.95E+03
YDR397C	2.95E+03
YDR412W	2.95E+03
YGL157W	2.95E+03
YHL030W	2.95E+03
YKL126W	2.95E+03
YLR373C	2.95E+03
YMR134W	2.95E+03
YMR238W	2.95E+03
YPR004C	2.95E+03
YDR510W	2.94E+03
YGL241W	2.94E+03
YGR255C	2.94E+03
YHR109W	2.94E+03
YJR031C	2.94E+03
YKL088W	2.94E+03
YKL206C	2.94E+03
YLR221C	2.94E+03
YOL033W	2.94E+03
YPR155C	2.94E+03
YDL070W	2.93E+03
YGR233C	2.93E+03
YJL010C	2.93E+03
YJL011C	2.93E+03
YMR110C	2.93E+03
YMR241W	2.93E+03
YDR170W-A	2.91E+03
YFL004W	2.91E+03
YKL106W	2.91E+03
YKL157W	2.91E+03
YLR168C	2.91E+03
YLR226W	2.91E+03
YFL048C	2.90E+03
YHL025W	2.90E+03
YJR137C	2.90E+03
YLR429W	2.90E+03
YML094W	2.90E+03
YAL054C	2.89E+03
YHL019C	2.89E+03
YIL085C	2.89E+03
YBL038W	2.88E+03
YNR009W	2.88E+03
YOL149W	2.88E+03
YOR275C	2.88E+03
YBR131W	2.87E+03
YCR105W	2.87E+03
YGR178C	2.87E+03
YJL212C	2.87E+03
YKL091C	2.87E+03
YOR215C	2.87E+03
YER002W	2.86E+03
YDR202C	2.86E+03
YNL119W	2.86E+03
YEL038W	2.85E+03
YGR231C	2.85E+03
YNL304W	2.85E+03
YAL059W	2.84E+03
YBR214W	2.84E+03
YCL001W	2.84E+03
YCL045C	2.84E+03
YDL046W	2.84E+03
YDL072C	2.84E+03
YDR075W	2.84E+03
YDR229W	2.84E+03
YDR347W	2.84E+03
YFL041W	2.84E+03
YGL027C	2.84E+03
YGR017W	2.84E+03
YGR267C	2.84E+03
YGR271C-A	2.84E+03
YHR167W	2.84E+03
YJR074W	2.84E+03
YKL008C	2.84E+03
YKL052C	2.84E+03
YLR220W	2.84E+03
YNL315C	2.84E+03
YOL012C	2.84E+03
YOR171C	2.84E+03
YOR341W	2.84E+03
YPL069C	2.84E+03
YPL134C	2.84E+03
YPL169C	2.83E+03
YPR133C	2.83E+03
YGR283C	2.82E+03
YMR003W	2.82E+03
YNR034W-A	2.82E+03
YML082W	2.81E+03
YMR188C	2.81E+03
YMR304W	2.81E+03
YPL026C	2.81E+03
YDR228C	2.80E+03
YEL019C	2.80E+03
YGR038W	2.80E+03
YHR040W	2.80E+03
YNL189W	2.79E+03
YHR115C	2.79E+03
YAL021C	2.78E+03
YDR083W	2.78E+03
YFL044C	2.77E+03
YGL058W	2.77E+03
YIL149C	2.77E+03
YGL087C	2.76E+03
YOL094C	2.76E+03
YOR201C	2.76E+03
YPR156C	2.76E+03
YKL022C	2.75E+03
YKR084C	2.75E+03
YBR173C	2.74E+03
YDL088C	2.74E+03
YGL111W	2.74E+03
YKR007W	2.74E+03
YBR242W	2.73E+03
YDR517W	2.73E+03
YGL071W	2.73E+03
YJR055W	2.73E+03
YMR255W	2.73E+03
YOR037W	2.73E+03
YPR002W	2.73E+03
YBR185C	2.72E+03
YDR173C	2.72E+03
YOR321W	2.72E+03
YKR079C	2.71E+03
YKR095W	2.71E+03
YOR016C	2.71E+03
YGR185C	2.71E+03
YDR141C	2.70E+03
YJL204C	2.70E+03
YDL230W	2.69E+03
YDR410C	2.69E+03
YGR179C	2.69E+03
YKL134C	2.69E+03
YKL135C	2.69E+03
YMR049C	2.68E+03
YMR282C	2.68E+03
YFR047C	2.66E+03
YJL074C	2.66E+03
YOL013C	2.66E+03
YOR110W	2.66E+03
YDL209C	2.65E+03
YKL179C	2.65E+03
YNR015W	2.65E+03
YBR246W	2.64E+03
YML112W	2.64E+03
YMR202W	2.64E+03
YDL201W	2.63E+03
YGL232W	2.63E+03
YHR059W	2.63E+03
YNL087W	2.63E+03
YPL019C	2.63E+03
YHR111W	2.62E+03
YLR174W	2.62E+03
YAL034W-A	2.61E+03
YCL031C	2.61E+03
YDR296W	2.61E+03
YFR055W	2.61E+03
YGL133W	2.61E+03
YGR163W	2.61E+03
YHR034C	2.61E+03
YHR174W	2.61E+03
YJL021C	2.61E+03
YKL069W	2.61E+03
YLR319C	2.61E+03
YLR455W	2.61E+03
YML108W	2.61E+03
YML127W	2.61E+03
YNL047C	2.61E+03
YNL084C	2.61E+03
YDL063C	2.60E+03
YDL064W	2.60E+03
YDL190C	2.60E+03
YFL007W	2.60E+03
YHR063C	2.60E+03
YOR118W	2.60E+03
YBL061C	2.58E+03
YKL046C	2.58E+03
YNL268W	2.58E+03
YOR303W	2.58E+03
YNL062C	2.58E+03
YGL001C	2.58E+03
YGL153W	2.57E+03
YHR206W	2.57E+03
YML004C	2.57E+03
YPR182W	2.57E+03
YDR028C	2.56E+03
YJR011C	2.56E+03
YBR037C	2.55E+03
YBR177C	2.55E+03
YBR262C	2.55E+03
YFL017C	2.55E+03
YKL047W	2.55E+03
YKR003W	2.55E+03
YMR074C	2.55E+03
YNL168C	2.55E+03
YCL011C	2.54E+03
YDR027C	2.54E+03
YDR288W	2.54E+03
YKR027W	2.54E+03
YLR272C	2.54E+03
YMR310C	2.54E+03
YBR274W	2.53E+03
YIL103W	2.53E+03
YJL049W	2.53E+03
YJL062W-A	2.53E+03
YPR190C	2.52E+03
YJL039C	2.52E+03
YOR021C	2.52E+03
YBL021C	2.51E+03
YBR152W	2.51E+03
YBR001C	2.50E+03
YHR039C	2.50E+03
YGL151W	2.49E+03
YIL038C	2.49E+03
YJL203W	2.49E+03
YLL006W	2.49E+03
YPL120W	2.49E+03
YML009C	2.48E+03
YCR052W	2.47E+03
YDR176W	2.47E+03
YLR417W	2.47E+03
YPL109C	2.47E+03
YNL323W	2.46E+03
YDL234C	2.46E+03
YGR129W	2.46E+03
YKL170W	2.46E+03
YOR185C	2.46E+03
YER048W-A	2.44E+03
YGL070C	2.44E+03
YHR046C	2.44E+03
YKR035W-A	2.44E+03
YDL232W	2.43E+03
YGL108C	2.43E+03
YHR087W	2.43E+03
YMR098C	2.43E+03
YPL152W	2.43E+03
YPL222W	2.43E+03
YMR216C	2.42E+03
YOL031C	2.42E+03
YOR124C	2.42E+03
YPL112C	2.42E+03
YDR261C	2.41E+03
YIL065C	2.41E+03
YJR043C	2.41E+03
YNL297C	2.41E+03
YMR146C	2.40E+03
YGR207C	2.40E+03
YIL145C	2.40E+03
YPL063W	2.40E+03
YGR074W	2.40E+03
YHR043C	2.40E+03
YJL041W	2.40E+03
YGR075C	2.38E+03
YIR035C	2.37E+03
YKR068C	2.37E+03
YNR075W	2.37E+03
YOR253W	2.37E+03
YBR081C	2.36E+03
YER053C-A	2.36E+03
YGL212W	2.36E+03
YHL014C	2.36E+03
YJL154C	2.36E+03
YML014W	2.36E+03
YMR200W	2.36E+03
YMR233W	2.36E+03
YNR014W	2.36E+03
YPL064C	2.36E+03
YOR217W	2.36E+03
YHR001W	2.35E+03
YLR309C	2.35E+03
YOR084W	2.35E+03
YEL015W	2.34E+03
YGL039W	2.34E+03
YLR166C	2.34E+03
YML010W	2.34E+03
YDR279W	2.34E+03
YGL029W	2.34E+03
YJR044C	2.34E+03
YLR005W	2.34E+03
YMR113W	2.34E+03
YDL058W	2.33E+03
YDR032C	2.33E+03
YER118C	2.33E+03
YJR025C	2.33E+03
YLR357W	2.33E+03
YNL036W	2.33E+03
YCR005C	2.31E+03
YGL148W	2.31E+03
YGR203W	2.31E+03
YIL014W	2.31E+03
YNL099C	2.31E+03
YNL227C	2.31E+03
YMR175W	2.30E+03
YOL140W	2.30E+03
YPL110C	2.30E+03
YJR080C	2.29E+03
YNL005C	2.29E+03
YNL094W	2.29E+03
YPR081C	2.29E+03
YER092W	2.28E+03
YHR039C-A	2.28E+03
YLR052W	2.28E+03
YMR109W	2.28E+03
YNL073W	2.28E+03
YOR355W	2.28E+03
YDL087C	2.27E+03
YDR495C	2.27E+03
YHR108W	2.27E+03
YLR143W	2.27E+03
YOR165W	2.27E+03
YBR282W	2.25E+03
YDL012C	2.25E+03
YDR183W	2.25E+03
YFL034C-B	2.25E+03
YGL020C	2.25E+03
YIL111W	2.25E+03
YKL095W	2.25E+03
YKR017C	2.25E+03
YPR128C	2.25E+03
YBR055C	2.25E+03
YLR064W	2.24E+03
YLR387C	2.24E+03
YNL277W	2.24E+03
YNL299W	2.24E+03
YHR172W	2.23E+03
YAL033W	2.23E+03
YER169W	2.23E+03
YGR002C	2.23E+03
YMR196W	2.22E+03
YAR009C	2.22E+03
YOL045W	2.22E+03
YPL203W	2.22E+03
YPR112C	2.22E+03
YAL029C	2.21E+03
YBL026W	2.21E+03
YER151C	2.21E+03
YGL004C	2.21E+03
YML107C	2.21E+03
YMR004W	2.21E+03
YOL146W	2.21E+03
YPL144W	2.21E+03
YBL057C	2.19E+03
YBR273C	2.19E+03
YGL021W	2.19E+03
YGL223C	2.19E+03
YHR072W	2.19E+03
YJR046W	2.19E+03
YKL063C	2.19E+03
YML017W	2.19E+03
YOL067C	2.19E+03
YPR127W	2.19E+03
YPR154W	2.19E+03
YBR166C	2.18E+03
YBR253W	2.18E+03
YHR136C	2.18E+03
YIL135C	2.18E+03
YJL184W	2.18E+03
YJL209W	2.18E+03
YNL180C	2.18E+03
YPL032C	2.18E+03
YPR162C	2.17E+03
YBR187W	2.17E+03
YDR405W	2.17E+03
YDR416W	2.17E+03
YER019W	2.17E+03
YKL001C	2.17E+03
YNL059C	2.17E+03
YOL144W	2.17E+03
YBR047W	2.16E+03
YDR440W	2.16E+03
YJL123C	2.16E+03
YJL128C	2.16E+03
YKR046C	2.16E+03
YOR001W	2.16E+03
YCR020C-A	2.14E+03
YDL080C	2.14E+03
YDR197W	2.14E+03
YER007W	2.14E+03
YHR023W	2.14E+03
YHR127W	2.14E+03
YKL094W	2.14E+03
YLR298C	2.14E+03
YPR063C	2.14E+03
YPR116W	2.14E+03
YLR117C	2.14E+03
YBR017C	2.13E+03
YBR120C	2.13E+03
YBR223C	2.13E+03
YDR474C	2.13E+03
YFL050C	2.13E+03
YLR426W	2.13E+03
YML102W	2.13E+03
YNL326C	2.13E+03
YOR347C	2.13E+03
YPL199C	2.13E+03
YDL165W	2.12E+03
YDR476C	2.12E+03
YER088C	2.12E+03
YGL254W	2.12E+03
YIR011C	2.12E+03
YKL138C	2.12E+03
YLR382C	2.12E+03
YMR144W	2.12E+03
YOR078W	2.12E+03
YCR038C	2.11E+03
YDL110C	2.11E+03
YDR486C	2.11E+03
YCR018C	2.10E+03
YDR121W	2.10E+03
YGR161C	2.10E+03
YJR085C	2.10E+03
YKL197C	2.10E+03
YML034W	2.10E+03
YMR022W	2.10E+03
YOR202W	2.10E+03
YPL107W	2.10E+03
YBR238C	2.08E+03
YML098W	2.08E+03
YDR244W	2.07E+03
YDR444W	2.07E+03
YIR015W	2.07E+03
YJR112W	2.07E+03
YJR130C	2.07E+03
YLL058W	2.07E+03
YMR170C	2.07E+03
YOR299W	2.07E+03
YOR316C	2.07E+03
YPR161C	2.07E+03
YPL007C	2.07E+03
YDL044C	2.06E+03
YJR101W	2.06E+03
YKL096W	2.06E+03
YMR153W	2.06E+03
YMR166C	2.06E+03
YPL055C	2.06E+03
YFR049W	2.05E+03
YGL220W	2.05E+03
YJR147W	2.05E+03
YOR101W	2.05E+03
YOR212W	2.05E+03
YPL191C	2.05E+03
YGL017W	2.03E+03
YKL119C	2.03E+03
YBR158W	2.02E+03
YDL021W	2.02E+03
YLR148W	2.02E+03
YLR409C	2.02E+03
YNL316C	2.02E+03
YOL124C	2.02E+03
YOR274W	2.02E+03
YBL078C	2.01E+03
YBR042C	2.01E+03
YBR244W	2.01E+03
YGL018C	2.01E+03
YIL074C	2.01E+03
YJR097W	2.01E+03
YML018C	2.01E+03
YMR192W	2.01E+03
YOR062C	2.01E+03
YOR158W	2.01E+03
YPR147C	2.01E+03
YBR151W	2.00E+03
YDR292C	2.00E+03
YMR128W	2.00E+03
YDR375C	1.99E+03
YIL126W	1.99E+03
YJR050W	1.99E+03
YLR104W	1.99E+03
YNL004W	1.99E+03
YOR377W	1.99E+03
YDL141W	1.97E+03
YEL053C	1.97E+03
YGR068C	1.97E+03
YLR206W	1.97E+03
YNL262W	1.97E+03
YNR034W	1.97E+03
YBR056W	1.96E+03
YJL058C	1.96E+03
YKR075C	1.96E+03
YLL038C	1.96E+03
YML078W	1.96E+03
YML100W	1.96E+03
YNR032W	1.96E+03
YBR054W	1.95E+03
YBR096W	1.95E+03
YGL047W	1.95E+03
YNL108C	1.95E+03
YOR207C	1.95E+03
YPL140C	1.95E+03
YBR281C	1.94E+03
YDR017C	1.94E+03
YLR361C	1.94E+03
YMR005W	1.94E+03
YOR111W	1.94E+03
YPL249C	1.94E+03
YPR051W	1.94E+03
YAL008W	1.92E+03
YCR086W	1.92E+03
YDR305C	1.92E+03
YDR325W	1.92E+03
YER182W	1.92E+03
YGR043C	1.92E+03
YGR186W	1.92E+03
YHR084W	1.92E+03
YIL093C	1.92E+03
YKL079W	1.92E+03
YKL150W	1.92E+03
YLR370C	1.92E+03
YPL051W	1.92E+03
YPR114W	1.92E+03
YDL197C	1.91E+03
YDR266C	1.91E+03
YGR250C	1.91E+03
YOL032W	1.91E+03
YMR168C	1.90E+03
YBL001C	1.90E+03
YCR063W	1.90E+03
YDR103W	1.90E+03
YER100W	1.90E+03
YHR133C	1.90E+03
YHR195W	1.90E+03
YKL155C	1.90E+03
YOL129W	1.90E+03
YBR110W	1.89E+03
YDR363W	1.89E+03
YER079W	1.89E+03
YJR056C	1.89E+03
YJR111C	1.89E+03
YKL041W	1.89E+03
YLR093C	1.89E+03
YLR289W	1.89E+03
YLR390W	1.89E+03
YLR393W	1.89E+03
YML029W	1.89E+03
