ID	Protein_copy_number	mRNA_copy_number	Protein_half-life_h	mRNA_half-life_h
ENSMUST00000001480	108626.77	36.81	149.64	10.48
ENSMUST00000001485	18665.93	29.2	95.55	7.75
ENSMUST00000054252	18665.93	29.2	95.55	7.75
ENSMUST00000001507	181264.4	30.97	21.12	13.25
ENSMUST00000001513	296508.18	132.07	78.9	8.48
ENSMUST00000001520	453.39	NA	32.22	14.91
ENSMUST00000098320	453.39	NA	32.22	14.91
ENSMUST00000001544	21521.7	5.65	261.33	19.5
ENSMUST00000118144	21521.7	5.65	261.33	19.5
ENSMUST00000001547	69288.29	589.1	2.87	33.14
ENSMUST00000107754	69288.29	589.1	2.87	33.14
ENSMUST00000001548	53354.58	89.07	13.76	17.22
ENSMUST00000073698	53354.58	89.07	13.76	17.22
ENSMUST00000120375	53354.58	89.07	13.76	17.22
ENSMUST00000107739	53354.58	89.07	13.76	17.22
ENSMUST00000001562	796.52	9.13	17.15	7.51
ENSMUST00000001565	2081.05	7.97	30.19	11.7
ENSMUST00000001566	4281923.64	395.89	136.33	13.73
ENSMUST00000001569	25538.08	8.45	109.14	12.23
ENSMUST00000001592	5167.63	27.89	14.64	14.77
ENSMUST00000107403	5167.63	27.89	14.64	14.77
ENSMUST00000001595	53958.46	63.41	37.27	17.96
ENSMUST00000107400	53958.46	63.41	37.27	17.96
ENSMUST00000001611	3070.1	14.23	18.78	7.54
ENSMUST00000001619	76030.07	46.26	83.99	19.32
ENSMUST00000001620	84635.74	50.62	38.67	7.04
ENSMUST00000091244	84635.74	50.62	38.67	7.04
ENSMUST00000108197	84635.74	50.62	38.67	7.04
ENSMUST00000108198	84635.74	50.62	38.67	7.04
ENSMUST00000001672	16349.1	68.53	6.25	5.59
ENSMUST00000001715	118694.7	20.87	1185.09	17.42
ENSMUST00000001716	334069.19	69.18	146.33	14.72
ENSMUST00000001724	98335.64	71.46	45.18	10.79
ENSMUST00000001757	95374.59	22.68	154.21	6.25
ENSMUST00000001780	12130.74	85.72	27.79	15.99
ENSMUST00000109749	12130.74	85.72	27.79	15.99
ENSMUST00000121171	12130.74	85.72	27.79	15.99
ENSMUST00000001801	12412.32	36.68	295.93	6.85
ENSMUST00000001806	6022.22	6.73	1701.95	11.44
ENSMUST00000107308	6022.22	6.73	1701.95	11.44
ENSMUST00000001809	529830.6	717.4	79.42	18.6
ENSMUST00000001818	13026.14	7.99	24.18	11.49
ENSMUST00000001825	49299.87	18.44	116.71	7.9
ENSMUST00000001834	148257.21	76.86	43.59	12.47
ENSMUST00000001836	19003.39	21.07	26.92	10.51
