ID	Protein_copy_number	mRNA_copy_number	Protein_half-life_h	mRNA_half-life_h
ENSMUST00000021001	403992.68	40.29	62.75	12.61
ENSMUST00000021008	10337.77	39.56	5.03	21.1
ENSMUST00000122328	10337.77	39.56	5.03	21.1
ENSMUST00000021018	7354.61	83.52	64.28	6.79
ENSMUST00000108135	7354.61	83.52	64.28	6.79
ENSMUST00000092837	7354.61	83.52	64.28	6.79
ENSMUST00000021030	2092.76	12.37	785.94	4.73
ENSMUST00000021039	561.96	5.4	53.5	7.09
ENSMUST00000108174	561.96	5.4	53.5	7.09
ENSMUST00000092849	561.96	5.4	53.5	7.09
ENSMUST00000080461	561.96	5.4	53.5	7.09
ENSMUST00000021046	18855.58	21.87	31.03	6.5
ENSMUST00000021048	36808.42	72.71	18.29	12.85
ENSMUST00000021049	259760.25	131.42	47.1	10.55
ENSMUST00000021052	10999.27	15.55	49.84	8.69
ENSMUST00000106843	10999.27	15.55	49.84	8.69
ENSMUST00000021062	617894.29	108.63	19.83	8.71
ENSMUST00000021062	133924.65	NA	19.9	NA
ENSMUST00000021063	237630.31	66.77	112.18	8.84
ENSMUST00000106750	237630.31	66.77	112.18	8.84
ENSMUST00000106752	237630.31	66.77	112.18	8.84
ENSMUST00000021077	18269.41	12.75	50.6	12.69
ENSMUST00000021078	3054.21	3.35	69.05	7.97
ENSMUST00000021079	16422.22	29.13	49.66	9.98
ENSMUST00000103036	16422.22	29.13	49.66	9.98
ENSMUST00000106539	16422.22	29.13	49.66	9.98
ENSMUST00000021082	70117.3	30.19	99.72	7.64
ENSMUST00000106530	70117.3	30.19	99.72	7.64
ENSMUST00000021083	17958.11	105.02	17.17	11.69
ENSMUST00000021084	438947.74	NA	28.89	NA
ENSMUST00000021085	22829.09	48.13	97.26	8.68
ENSMUST00000021087	3570.29	8.55	37.44	8.45
ENSMUST00000106507	3570.29	8.55	37.44	8.45
ENSMUST00000106506	3570.29	8.55	37.44	8.45
ENSMUST00000021090	113993.05	32.4	17.22	8.45
ENSMUST00000106497	113993.05	32.4	17.22	8.45
ENSMUST00000106500	113993.05	32.4	17.22	8.45
ENSMUST00000106495	113993.05	32.4	17.22	8.45
ENSMUST00000021091	84110.85	29.01	45.66	8.26
ENSMUST00000102520	84110.85	29.01	45.66	8.26
ENSMUST00000021101	4605.29	14.28	34.01	6.93
ENSMUST00000021114	162669.09	52.06	251.46	17.23
ENSMUST00000021120	63818.17	25.45	26.18	5
ENSMUST00000106441	63818.17	25.45	26.18	5
ENSMUST00000021130	12132.54	13.28	50.58	13.11
ENSMUST00000021133	43533.19	NA	117.62	8.23
ENSMUST00000106425	43533.19	NA	117.62	8.23
ENSMUST00000021135	920.91	3.71	27.32	8.95
ENSMUST00000021147	3478.13	NA	47.9	17.77
ENSMUST00000106411	3478.13	NA	47.9	17.77
ENSMUST00000106413	3478.13	NA	47.9	17.77
ENSMUST00000106409	3478.13	NA	47.9	17.77
ENSMUST00000021148	9800.14	8.94	33.94	6.52
ENSMUST00000021153	133609.62	NA	94.84	11.29
ENSMUST00000106391	133609.62	NA	94.84	11.29
ENSMUST00000106390	133609.62	NA	94.84	11.29
ENSMUST00000021157	6116.08	5.83	19.57	5.98
ENSMUST00000021158	113553.52	25.16	188.52	11.35
ENSMUST00000021170	10478.76	NA	264.49	11.53
ENSMUST00000047715	10478.76	NA	264.49	11.53
ENSMUST00000106374	10478.76	NA	264.49	11.53
ENSMUST00000021181	6269.43	NA	23.73	NA
ENSMUST00000081826	6269.43	NA	23.73	NA
ENSMUST00000102569	6269.43	NA	23.73	NA
ENSMUST00000108578	6269.43	NA	23.73	NA
ENSMUST00000021180	6269.43	NA	23.73	NA
ENSMUST00000100950	6269.43	NA	23.73	NA
ENSMUST00000021187	7429.86	9.61	48.97	5.37
ENSMUST00000021197	79858.94	21.73	243.75	10.42
ENSMUST00000021201	9724.74	15.58	7.52	18.26
ENSMUST00000021203	18154.28	9.5	14.34	12.55
ENSMUST00000021204	26181.55	14.17	63.98	14.96
ENSMUST00000021207	2528.2	NA	9.24	NA
ENSMUST00000021217	1196161.87	445.33	161.78	15.14
ENSMUST00000072566	1196161.87	445.33	161.78	15.14
ENSMUST00000021220	2764306.03	145.85	173.71	14.29
ENSMUST00000107844	2764306.03	145.85	173.71	14.29
ENSMUST00000021226	58977.27	23.04	75.71	6.14
ENSMUST00000107820	58977.27	23.04	75.71	6.14
ENSMUST00000107821	58977.27	23.04	75.71	6.14
ENSMUST00000107822	58977.27	23.04	75.71	6.14
ENSMUST00000021239	956278.87	160.13	70.41	18.13
ENSMUST00000107767	956278.87	160.13	70.41	18.13
ENSMUST00000021243	1975.43	40.79	18.06	11.41
ENSMUST00000021249	647.73	1.55	94.82	10.99
ENSMUST00000021277	11178.91	15.35	5.34	6.72
ENSMUST00000108666	11178.91	15.35	5.34	6.72
ENSMUST00000021282	39151.1	11.06	188.2	5.99
ENSMUST00000108668	39151.1	11.06	188.2	5.99
ENSMUST00000021285	10508.66	NA	42.71	NA
ENSMUST00000021297	67696.36	22.26	73.65	4.11
ENSMUST00000021306	118534.36	67.81	53.94	18.96
ENSMUST00000107060	118534.36	67.81	53.94	18.96
ENSMUST00000021311	174.69	17.34	5.34	5.07
ENSMUST00000021313	134912.95	40.25	45.2	13.75
ENSMUST00000021314	101768.75	71.73	64.55	9.17
ENSMUST00000021320	7101.33	8.72	64.78	5.19
ENSMUST00000103077	7101.33	8.72	64.78	5.19
ENSMUST00000021329	29370.09	25.97	26.5	9.52
ENSMUST00000107013	29370.09	25.97	26.5	9.52
ENSMUST00000021332	303846.42	46.76	93.91	7.7
ENSMUST00000021335	51066.44	16.91	68.26	12.33
ENSMUST00000085415	51066.44	16.91	68.26	12.33
ENSMUST00000110735	51066.44	16.91	68.26	12.33
ENSMUST00000021339	11461.77	2.26	295.86	13.26
ENSMUST00000085404	11461.77	2.26	295.86	13.26
ENSMUST00000021345	8126.61	2.48	45.92	5.06
ENSMUST00000021347	1885.84	12.01	21.89	16.46
ENSMUST00000021368	7778.2	12.12	50.21	8.84
ENSMUST00000021375	15503.28	6.67	362.05	15.11
ENSMUST00000021379	5647.67	6.99	94.83	3.83
ENSMUST00000021380	16897.23	12.23	86.68	3.87
ENSMUST00000021381	33715.43	36.5	60.52	8.69
ENSMUST00000021399	1292.35	22.79	13.22	13.09
ENSMUST00000047981	1292.35	22.79	13.22	13.09
ENSMUST00000057000	1292.35	22.79	13.22	13.09
ENSMUST00000066979	1292.35	22.79	13.22	13.09
ENSMUST00000110105	1292.35	22.79	13.22	13.09
ENSMUST00000021405	121283.92	26.27	53.68	5.71
ENSMUST00000021406	2422.09	4.3	577.61	4.81
ENSMUST00000021407	33904.88	NA	32.76	NA
ENSMUST00000101418	33904.88	NA	32.76	NA
ENSMUST00000110703	33904.88	NA	32.76	NA
ENSMUST00000110708	33904.88	NA	32.76	NA
ENSMUST00000021412	505386	146.33	140.04	10.36
ENSMUST00000021424	7977.7	15.8	12.96	12.58
ENSMUST00000021425	227138.25	101.83	64.25	12.61
ENSMUST00000021428	36081.89	27.87	16.18	8.67
ENSMUST00000021443	131677.52	34.97	115.39	16.66
ENSMUST00000021447	18444.25	7.76	40.66	9.47
ENSMUST00000101303	18444.25	7.76	40.66	9.47
ENSMUST00000021468	2697.53	4.47	73.58	9
ENSMUST00000085314	2697.53	4.47	73.58	9
ENSMUST00000095666	2697.53	4.47	73.58	9
ENSMUST00000021471	78929.53	21.71	45.83	16.58
ENSMUST00000021479	23413.78	6.12	59.13	16.7
ENSMUST00000021486	28552.29	17.44	142.91	5.43
ENSMUST00000021512	9530.11	9.78	120.4	19.81
ENSMUST00000021514	4727.79	19.01	46.47	8.39
ENSMUST00000021522	13100.51	34.24	30.39	12.91
ENSMUST00000021523	21197.08	6.09	13.52	16.57
ENSMUST00000021536	31233.43	16.91	24.56	8.41
ENSMUST00000021539	24189.29	5.21	42.72	16.27
ENSMUST00000072040	24189.29	5.21	42.72	16.27
ENSMUST00000085026	24189.29	5.21	42.72	16.27
ENSMUST00000021554	337093.32	150.69	84.25	13.77
ENSMUST00000021559	213982.23	NA	40.87	19.23
ENSMUST00000021562	99863.68	77.54	36.25	4.66
ENSMUST00000110354	99863.68	77.54	36.25	4.66
ENSMUST00000110351	99863.68	77.54	36.25	4.66
ENSMUST00000110352	99863.68	77.54	36.25	4.66
ENSMUST00000110356	99863.68	77.54	36.25	4.66
ENSMUST00000021572	3937.85	3.59	119.85	4.74
ENSMUST00000054251	3937.85	3.59	119.85	4.74
ENSMUST00000021574	87216.61	34.74	36.09	6.86
ENSMUST00000021594	599.08	7.47	33.41	13.41
ENSMUST00000021595	208320.44	67.36	94.63	10.84
ENSMUST00000021605	2211.68	4.15	49.03	6.8
ENSMUST00000021611	33215.46	25.91	494.27	18.16
ENSMUST00000110683	33215.46	25.91	494.27	18.16
ENSMUST00000021614	66580.32	23.57	441.86	21.63
ENSMUST00000021632	3039.69	10.24	129.82	10.6
ENSMUST00000021634	120657.67	22.97	298.97	12.3
ENSMUST00000021639	6877.15	NA	87.74	NA
ENSMUST00000021667	2195.68	8.05	21.24	3.96
ENSMUST00000021668	94283.16	40.19	50.67	27.51
ENSMUST00000021669	9202.93	51.6	5.22	9.43
ENSMUST00000021676	25496.22	16.45	48.42	9.55
ENSMUST00000021692	2986.28	22.05	5.81	6.4
ENSMUST00000084993	2986.28	22.05	5.81	6.4
ENSMUST00000021698	896849.95	274.96	169.22	12.17
ENSMUST00000094361	896849.95	274.96	169.22	12.17
ENSMUST00000021704	454.73	12.36	39.07	11.03
ENSMUST00000021705	454.73	12.36	39.07	11.03
ENSMUST00000043716	454.73	12.36	39.07	11.03
ENSMUST00000021717	14051.41	30.83	41.73	11.51
ENSMUST00000084941	14051.41	30.83	41.73	11.51
ENSMUST00000118471	14051.41	30.83	41.73	11.51
ENSMUST00000069328	14051.41	30.83	41.73	11.51
ENSMUST00000021719	41517.83	90.32	36.3	10.89
ENSMUST00000021733	6016.52	4.99	2728.65	4.1
ENSMUST00000021785	4796.54	6.08	51.29	11.83
ENSMUST00000102946	4796.54	6.08	51.29	11.83
ENSMUST00000021790	10476.52	31.48	142.77	13.84
ENSMUST00000021800	1633.81	5.96	232.94	8.06
ENSMUST00000021803	14903.85	19.35	32.61	4.51
ENSMUST00000021806	2846.75	NA	326.58	NA
ENSMUST00000021807	96791.27	31.41	39.02	8.95
ENSMUST00000021824	2198.81	7.81	28.26	5.48
ENSMUST00000021832	1730.12	19.49	15.33	9.52
ENSMUST00000021844	5384.14	7.17	41.26	7.66
ENSMUST00000021850	14121.53	15.43	135.01	6.79
ENSMUST00000021854	26940.81	22.36	336.13	11.27
ENSMUST00000110251	26940.81	22.36	336.13	11.27
ENSMUST00000021855	11066.93	2.65	144.78	14.73
ENSMUST00000021857	2023.24	3.92	18.47	18.22
ENSMUST00000021864	203138.09	19.86	60.11	24.81
ENSMUST00000086842	203138.09	19.86	60.11	24.81
ENSMUST00000021866	1809.06	12.48	16.76	6.09
ENSMUST00000021913	1709.14	4	43.22	6.47
ENSMUST00000110031	1709.14	4	43.22	6.47
ENSMUST00000021918	401.9	10.12	12.84	7.57
ENSMUST00000021920	20909.72	12.45	31.45	9.59
ENSMUST00000021930	70496.3	19.48	370.2	8.62
ENSMUST00000021933	87159.81	485.21	1.13	18.41
ENSMUST00000021940	104670.93	27.52	83.7	19.63
ENSMUST00000021956	5866.33	20.33	40.99	11.34
ENSMUST00000021958	2990.8	5.75	242.94	15.32
ENSMUST00000021959	5231.27	21.65	5.41	12.14
ENSMUST00000021963	2478.62	11.18	18.46	2.93
ENSMUST00000021991	1104.11	9.15	8.77	3.81
ENSMUST00000021993	185125.44	74.1	38.46	7.45
ENSMUST00000022030	11197.92	9.42	25.17	14.99
ENSMUST00000022034	8026.9	13.1	73.99	8.31
ENSMUST00000109552	8026.9	13.1	73.99	8.31
ENSMUST00000022038	1122.94	16.14	87.16	11.31
ENSMUST00000022039	3747.57	13.8	9.68	15.41
ENSMUST00000095739	3747.57	13.8	9.68	15.41
ENSMUST00000022040	10188.08	5.39	68.12	9.89
ENSMUST00000091573	10188.08	5.39	68.12	9.89
ENSMUST00000109830	10188.08	5.39	68.12	9.89
ENSMUST00000022053	45435.24	18.21	58.25	8.13
ENSMUST00000022060	139742.07	42.7	50.56	13.96
ENSMUST00000022062	79019.61	40.33	93.41	17.5
ENSMUST00000022063	6833.92	9.7	83.34	7.29
ENSMUST00000109637	6833.92	9.7	83.34	7.29
ENSMUST00000022070	17895.97	10.16	127.78	18.73
ENSMUST00000022082	59427.94	23.4	143.38	9.3
ENSMUST00000022087	89912.27	52.39	80.64	16.88
ENSMUST00000109699	89912.27	52.39	80.64	16.88
ENSMUST00000022089	19633.33	33.73	15.14	7.34
ENSMUST00000022097	12663.58	27.4	33.83	22.92
ENSMUST00000022099	3688.13	15.75	35.8	3.72
ENSMUST00000022115	4760.43	3.3	31.7	9.14
ENSMUST00000022121	1683.03	9.5	11.04	3.89
ENSMUST00000070886	1683.03	9.5	11.04	3.89
ENSMUST00000022147	3780.9	32.54	47.33	8.47
ENSMUST00000022148	4266.99	6.36	169.44	14.96
ENSMUST00000091326	4266.99	6.36	169.44	14.96
ENSMUST00000022153	788.8	12.82	22.26	6.65
ENSMUST00000022163	469661.12	98.86	16.94	10.96
ENSMUST00000022163	36364.76	NA	14.38	NA
ENSMUST00000022169	1371.36	8.51	58.29	20.36
ENSMUST00000022170	493.7	5.33	55.38	8.51
ENSMUST00000109434	493.7	5.33	55.38	8.51
ENSMUST00000022196	12649.73	15.9	73.76	22.07
ENSMUST00000022197	19516.12	7.44	54.01	10.44
ENSMUST00000022203	53123.77	NA	17.9	7.02
ENSMUST00000022204	27717.12	NA	36.63	8.07
ENSMUST00000042181	27717.12	NA	36.63	8.07
ENSMUST00000122233	27717.12	NA	36.63	8.07
ENSMUST00000022206	32398.62	NA	68.53	12.8
ENSMUST00000022212	654.14	NA	47.85	3.41
ENSMUST00000022218	270379.68	9.29	55.13	13.75
ENSMUST00000022222	3752.87	19.52	23.51	9.33
ENSMUST00000053927	3752.87	19.52	23.51	9.33
ENSMUST00000091269	3752.87	19.52	23.51	9.33
ENSMUST00000022223	34222	10.03	222.39	14.6
ENSMUST00000109315	34222	10.03	222.39	14.6
ENSMUST00000022226	5637.19	5.23	89.37	4.44
ENSMUST00000072775	5637.19	5.23	89.37	4.44
ENSMUST00000022227	7356.73	2.64	33.7	4.74
ENSMUST00000070761	7356.73	2.64	33.7	4.74
ENSMUST00000099187	7356.73	2.64	33.7	4.74
ENSMUST00000022228	4609.79	7.28	146.73	10.59
ENSMUST00000022242	6724.98	NA	41.85	23.79
ENSMUST00000022245	19103.18	NA	33.11	7.29
ENSMUST00000022256	205396.36	41.59	172.6	9.49
ENSMUST00000022268	123387.21	20.24	583.52	9.56
ENSMUST00000022281	16127.64	NA	39.21	8.34
ENSMUST00000022282	25108.79	NA	14.24	8.24
ENSMUST00000022286	17947.88	NA	21.62	21.39
ENSMUST00000022293	289574.16	43.87	185.12	9.74
ENSMUST00000022295	14196.41	2.31	410.3	11.31
ENSMUST00000022322	118339.71	26.18	198.15	14.24
ENSMUST00000022341	165055.05	15.08	67.87	16.04
ENSMUST00000022345	22110.18	15.5	23.68	11.42
ENSMUST00000022358	166.99	15.15	12.3	10.11
ENSMUST00000022368	808.02	56.74	4.94	5.37
ENSMUST00000022369	188943.77	63.74	63	12.84
ENSMUST00000022371	10397.07	2.76	225.62	10.56
ENSMUST00000022378	72427.01	22.03	666.35	13.46
ENSMUST00000022380	235901.61	52.05	59.06	8.23
ENSMUST00000022386	1252.92	6.71	40.35	5.35
ENSMUST00000100672	1252.92	6.71	40.35	5.35
ENSMUST00000022388	1254926.43	174.27	60.99	15.91
ENSMUST00000022391	30785.22	15.11	57.05	13.04
ENSMUST00000070762	30785.22	15.11	57.05	13.04
ENSMUST00000089901	30785.22	15.11	57.05	13.04
ENSMUST00000111743	30785.22	15.11	57.05	13.04
ENSMUST00000111744	30785.22	15.11	57.05	13.04
ENSMUST00000111745	30785.22	15.11	57.05	13.04
ENSMUST00000022416	42265.44	12.03	58.99	20.3
ENSMUST00000022419	21111.47	11.02	160.09	5.49
ENSMUST00000022429	3084.53	37.62	42.4	12.61
ENSMUST00000112318	3084.53	37.62	42.4	12.61
ENSMUST00000022462	8629.14	3.23	83.93	7.61
ENSMUST00000022469	6457.29	47.78	6.45	14.48
ENSMUST00000022476	984.13	5.89	18.42	7.8
ENSMUST00000022496	69769.75	18.51	52.81	8.63
ENSMUST00000053719	69769.75	18.51	52.81	8.63
ENSMUST00000022497	6173.14	5.08	35.26	6.26
ENSMUST00000100496	6173.14	5.08	35.26	6.26
ENSMUST00000022499	3969.14	4.09	51.42	9.18
ENSMUST00000022507	32077.32	7.98	84.04	11.37
ENSMUST00000022511	2087.26	3.05	40.47	4.23
ENSMUST00000022518	7234.08	15.14	45.67	10.87
ENSMUST00000022519	60501.16	21.27	284.32	11.56
ENSMUST00000120077	60501.16	21.27	284.32	11.56
ENSMUST00000022521	3322.15	18.45	60.55	7.21
ENSMUST00000112208	3322.15	18.45	60.55	7.21
ENSMUST00000112210	3322.15	18.45	60.55	7.21
ENSMUST00000112211	3322.15	18.45	60.55	7.21
ENSMUST00000112206	3322.15	18.45	60.55	7.21
ENSMUST00000112202	3322.15	18.45	60.55	7.21
ENSMUST00000112204	3322.15	18.45	60.55	7.21
ENSMUST00000112207	3322.15	18.45	60.55	7.21
ENSMUST00000112203	3322.15	18.45	60.55	7.21
ENSMUST00000022529	171454.64	17.2	2363.5	16.17
ENSMUST00000022533	72295.34	NA	25.66	NA
ENSMUST00000074053	72295.34	NA	25.66	NA
ENSMUST00000022535	1342.69	3.53	46.73	3.23
ENSMUST00000022536	2766.65	4.83	48.99	3.71
ENSMUST00000022538	24159.25	5.12	66.69	19.79
ENSMUST00000022543	3162.46	7.55	36.71	11.44
ENSMUST00000022563	5321.96	6.83	21.98	9.36
ENSMUST00000022573	560047.53	78.86	90.61	13.37
ENSMUST00000022577	290.63	5.84	30.65	9.77
ENSMUST00000022580	6178.19	14.14	14.72	2.93
ENSMUST00000022593	88.63	6.24	4.68	7.29
ENSMUST00000022599	2516.85	13.12	7.07	10.73
ENSMUST00000022601	2417.64	4.59	15.96	7.7
ENSMUST00000022609	5280.24	15.91	21.33	12.49
ENSMUST00000022612	6509.64	8.57	16.51	6.34
ENSMUST00000022614	2313.19	5.67	70.07	3.73
ENSMUST00000022629	170810.94	4.12	106.12	6.05
ENSMUST00000022681	4194.5	15.58	9	15.73
ENSMUST00000022682	7668.64	5.8	12.6	11.01
ENSMUST00000022696	8813.14	NA	117.97	NA
ENSMUST00000022705	13700.25	11.54	26.35	4.41
ENSMUST00000022706	39994.36	12.06	125.35	10.7
ENSMUST00000022715	10368.37	NA	54.85	7.63
ENSMUST00000077531	10368.37	NA	54.85	7.63
ENSMUST00000022734	18518.55	NA	42.83	19.61
ENSMUST00000022738	4652.84	NA	36.1	7.33
ENSMUST00000088418	4652.84	NA	36.1	7.33
ENSMUST00000088419	4652.84	NA	36.1	7.33
ENSMUST00000022742	58218.49	24.58	35.62	6.95
ENSMUST00000022751	9981.33	9.3	39.15	6.62
ENSMUST00000081640	9981.33	9.3	39.15	6.62
ENSMUST00000118193	9981.33	9.3	39.15	6.62
ENSMUST00000022781	128434.17	67.03	107.99	14
ENSMUST00000022784	2978.2	6.63	31.51	7.01
ENSMUST00000022791	1290.07	3.47	281.72	13.19
ENSMUST00000022793	21245	26.22	89.91	15.01
ENSMUST00000022794	21245	26.22	89.91	15.01
ENSMUST00000111485	21245	26.22	89.91	15.01
ENSMUST00000022793	12450.22	NA	46.06	NA
ENSMUST00000100564	12450.22	NA	46.06	NA
ENSMUST00000022803	313765.83	46.32	120.11	9.91
ENSMUST00000022808	88815.52	30.19	68.61	9.73
ENSMUST00000116476	88815.52	30.19	68.61	9.73
ENSMUST00000022814	13643.81	34.4	24.03	12.82
ENSMUST00000022815	48281.35	15.41	43.72	6.36
ENSMUST00000022816	332436.44	12.2	170.78	20.9
ENSMUST00000110504	332436.44	12.2	170.78	20.9
ENSMUST00000022821	45413.33	8.99	212.32	11.46
ENSMUST00000022830	30989.2	17.11	44.8	14.68
ENSMUST00000022842	590827.15	372.99	59.3	13.55
ENSMUST00000022849	268933.23	96.95	141.26	11.95
ENSMUST00000022855	182018.58	25.42	28.63	6.89
ENSMUST00000022856	2494.03	9.03	41.05	4.18
ENSMUST00000100775	2494.03	9.03	41.05	4.18
ENSMUST00000022865	103551.99	56.63	72.15	12.97
ENSMUST00000022871	8853.23	29.06	4.39	20.69
ENSMUST00000022894	2512005.35	72.15	111.89	11.11
ENSMUST00000110361	2512005.35	72.15	111.89	11.11
ENSMUST00000110362	2512005.35	72.15	111.89	11.11
ENSMUST00000022899	3718.09	42.56	7.93	12.79
ENSMUST00000110336	3718.09	42.56	7.93	12.79
ENSMUST00000022904	63296.53	39.28	21.77	11.94
ENSMUST00000022908	15832.34	10.77	39.39	3.93
ENSMUST00000022909	30074.34	57.62	7.87	8.59
ENSMUST00000022925	231628.2	329.16	28.43	18.53
ENSMUST00000022927	29657.73	75.4	12.6	8.64
ENSMUST00000022945	11315.12	12.73	28.9	6.92
ENSMUST00000022946	48842.94	11.57	327.4	14.45
ENSMUST00000022960	236898.84	130.67	28.47	13.14
ENSMUST00000022962	63045.46	23.88	45.18	9.03
ENSMUST00000022964	5456.15	10.82	107.4	9.06
ENSMUST00000022976	7101.56	43.52	52.36	18.3
ENSMUST00000110129	7101.56	43.52	52.36	18.3
ENSMUST00000022977	2375.32	34.89	9.26	8.4
ENSMUST00000100640	2375.32	34.89	9.26	8.4
ENSMUST00000022980	28602.52	154.25	56.58	14.06
ENSMUST00000022988	12613.07	30	5.11	5.84
ENSMUST00000038194	12613.07	30	5.11	5.84
ENSMUST00000022993	35870.02	36.59	35.8	11.94
ENSMUST00000023000	33001.96	92.78	28.81	10.88
ENSMUST00000023008	9952.91	NA	65.13	NA
ENSMUST00000110114	9952.91	NA	65.13	NA
ENSMUST00000110115	9952.91	NA	65.13	NA
ENSMUST00000023018	2025.95	NA	5.11	5.14
ENSMUST00000023022	904.79	NA	22.65	4.54
ENSMUST00000109381	904.79	NA	22.65	4.54
ENSMUST00000088911	904.79	NA	22.65	4.54
ENSMUST00000023039	463799.38	116.36	105.37	13.87
ENSMUST00000023040	9500.35	33.77	160.06	7.9
ENSMUST00000023043	244223.56	55.67	138.7	12.77
ENSMUST00000023054	19110.04	16.23	75.97	10.61
ENSMUST00000100424	19110.04	16.23	75.97	10.61
ENSMUST00000109620	19110.04	16.23	75.97	10.61
ENSMUST00000023059	2483.2	8.82	26.92	5.98
ENSMUST00000110231	2483.2	8.82	26.92	5.98
ENSMUST00000023062	155920.33	87.31	46.98	9.42
ENSMUST00000023064	2354.39	13.06	8.29	12.42
ENSMUST00000023068	3899.73	NA	87.21	NA
ENSMUST00000023069	2512.58	11.06	16.5	4.48
ENSMUST00000023071	27660.12	56.16	215.82	12.55
ENSMUST00000023072	5512.1	24.32	14.25	8.62
ENSMUST00000023085	70267.37	68.36	19.74	13.29
ENSMUST00000023086	6985.84	96.62	14.05	13.26
ENSMUST00000023087	184273.71	NA	58.07	9.43
ENSMUST00000023099	120405.42	NA	9.13	3.81
ENSMUST00000023104	14288.65	NA	37.23	10.62
ENSMUST00000023110	8078.54	26.76	8.62	10.58
ENSMUST00000089187	8078.54	26.76	8.62	10.58
ENSMUST00000100399	8078.54	26.76	8.62	10.58
ENSMUST00000023112	24141.46	41.25	9.58	10.8
ENSMUST00000071462	24141.46	41.25	9.58	10.8
ENSMUST00000023113	3655	30.83	9.61	10.95
ENSMUST00000023116	185048.93	69.99	706.59	18.21
ENSMUST00000023117	76547.71	63.98	29.17	11.31
ENSMUST00000023146	12328.49	15.44	31.67	9.18
ENSMUST00000023165	128.33	7.12	58.6	3.72
ENSMUST00000080297	128.33	7.12	58.6	3.72
ENSMUST00000023189	7415.25	26.01	19.37	9.92
ENSMUST00000115844	7415.25	26.01	19.37	9.92
ENSMUST00000023190	9358.17	26.56	18.8	8.89
ENSMUST00000089772	9358.17	26.56	18.8	8.89
ENSMUST00000117363	9358.17	26.56	18.8	8.89
ENSMUST00000023206	2206.57	1.77	31.95	6.49
ENSMUST00000023210	192710.58	146.03	181.48	12.73
ENSMUST00000023213	78414.01	26.84	35.11	6.16
ENSMUST00000023217	41547.22	97.16	17.94	17.29
ENSMUST00000100506	41547.22	97.16	17.94	17.29
ENSMUST00000023226	434086.44	115.77	104.14	10.2
ENSMUST00000054449	434086.44	115.77	104.14	10.2
ENSMUST00000071869	434086.44	115.77	104.14	10.2
ENSMUST00000072692	434086.44	115.77	104.14	10.2
ENSMUST00000073418	434086.44	115.77	104.14	10.2
ENSMUST00000074834	434086.44	115.77	104.14	10.2
ENSMUST00000076355	434086.44	115.77	104.14	10.2
ENSMUST00000076442	434086.44	115.77	104.14	10.2
ENSMUST00000080857	434086.44	115.77	104.14	10.2
ENSMUST00000089610	434086.44	115.77	104.14	10.2
ENSMUST00000023226	4155.16	119.56	186.16	10.06
ENSMUST00000054449	4155.16	119.56	186.16	10.06
ENSMUST00000071869	4155.16	119.56	186.16	10.06
ENSMUST00000072692	4155.16	119.56	186.16	10.06
ENSMUST00000073418	4155.16	119.56	186.16	10.06
ENSMUST00000074834	4155.16	119.56	186.16	10.06
ENSMUST00000076355	4155.16	119.56	186.16	10.06
ENSMUST00000076442	4155.16	119.56	186.16	10.06
ENSMUST00000080857	4155.16	119.56	186.16	10.06
ENSMUST00000089610	4155.16	119.56	186.16	10.06
ENSMUST00000023226	288.21	119.72	100.87	10.05
ENSMUST00000054449	288.21	119.72	100.87	10.05
ENSMUST00000071869	288.21	119.72	100.87	10.05
ENSMUST00000072692	288.21	119.72	100.87	10.05
ENSMUST00000073418	288.21	119.72	100.87	10.05
ENSMUST00000074834	288.21	119.72	100.87	10.05
ENSMUST00000076355	288.21	119.72	100.87	10.05
ENSMUST00000076442	288.21	119.72	100.87	10.05
ENSMUST00000080857	288.21	119.72	100.87	10.05
ENSMUST00000089610	288.21	119.72	100.87	10.05
ENSMUST00000023226	86.94	119.57	116.9	10.05
ENSMUST00000054449	86.94	119.57	116.9	10.05
ENSMUST00000071869	86.94	119.57	116.9	10.05
ENSMUST00000072692	86.94	119.57	116.9	10.05
ENSMUST00000073418	86.94	119.57	116.9	10.05
ENSMUST00000074834	86.94	119.57	116.9	10.05
ENSMUST00000076355	86.94	119.57	116.9	10.05
ENSMUST00000076442	86.94	119.57	116.9	10.05
ENSMUST00000080857	86.94	119.57	116.9	10.05
ENSMUST00000089610	86.94	119.57	116.9	10.05
ENSMUST00000023231	135316.04	56.18	103.72	8.31
ENSMUST00000023238	163569.91	106.95	76.45	9.2
ENSMUST00000023269	905743.3	NA	87.11	NA
ENSMUST00000114450	905743.3	NA	87.11	NA
ENSMUST00000122365	905743.3	NA	87.11	NA
ENSMUST00000023283	30819.26	NA	64.62	15
ENSMUST00000023289	13401.28	NA	181.26	4.55
ENSMUST00000023292	13461.24	NA	16.64	18.21
ENSMUST00000023294	5972.53	NA	23.43	7.51
ENSMUST00000058058	5972.53	NA	23.43	7.51
ENSMUST00000094056	5972.53	NA	23.43	7.51
ENSMUST00000023312	18822.39	14.77	23.46	26.88
ENSMUST00000023320	29841.87	25.93	23.03	9.15
ENSMUST00000073477	29841.87	25.93	23.03	9.15
ENSMUST00000084838	29841.87	25.93	23.03	9.15
ENSMUST00000023351	24938.55	9.43	49.83	13.08
ENSMUST00000117136	24938.55	9.43	49.83	13.08
ENSMUST00000023352	213.28	2.15	70.1	14.78
