CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,7171,7184,7197,7210,7223,7236,7249,7262,7275,7288,7301,7314,7327,7340,7353,7366,7379,7392,7405,7418
YPL195W,0.002743015,0.005528181,9,8.348030436,7.013967205,0.083242178,0.11821853,10,8.5,6.764890576,0.033070687,0.068208291,10.14678899,7.981220886,56.57073275,0.00062177,0.001024268,9.71559633,8.302461296,48.35066799,8.597223735,0.177809823,50.304,40.63,40.232,39.203,54.35,53.542,54.639,52.132,58.065,57.189,53.139,35.816,37.725,40.617,46.481,46.845,53.104,51.135,53.39,49.213
YMR165C,0.0069141,0.011592119,9,5.359432242,8.478158183,0.296441553,0.369828913,10,5,9.8383302,0.158142751,0.217446283,10.14678899,3.721308973,49.36661671,0.013389888,0.018932766,9.71559633,4.747559939,44.58146695,8.836499596,0.198210158,54.069,52.094,44.862,44.512,53.471,59.89,56.453,26.954,34.508,33.966,40.591,44.176,52.303,46.981,52.272,56.264,41,28.393,27.044,37.568
YPR010C-A,0.032087861,0.045018352,9,3.475296115,99.75183046,0.374483792,0.456430007,8,4.5,32.36533804,0.532571718,0.588995532,7.956834532,5.109677573,813.9422365,0.120379154,0.150119311,8.318944844,4.445477308,750.2420195,97.70235502,0.130227783,666.466,745.809,661.59,936.585,671.645,763.362,733.014,456.834,677.747,741.067,738.469,933.034,777.442,762.18,725.597,895.959,571.218,669.523,926.412,915.704
YGR015C,0.815051843,0.833381345,9,8.995659696,0.901494544,1,1,5,0,4.312290705,0.246124936,0.31046339,4.993227991,2.715539452,38.68768324,0.781698176,0.827394965,6.331075997,6.070009607,36.47241734,0.285812256,0.007836395,37.935,31.586,33.605,40.186,37.421,39.028,39.909,30.127,42.31,39.771,39.636,33.239,29.541,34.413,35.626,40.845,29.176,34.93,40.756,39.319
YNL067W-B,0.904345793,0.914326219,9,4.210233536,0.105020747,1,1,12,9,0.453609,0.939292774,0.954059085,6.955974843,6.094373666,0.708749492,0.999359008,0.999999152,9.318658281,6.727472526,0.525048838,0.06229945,0.06229945,0.532,0,0,0,0,0.726,0.557,0.732,0.552,0,1.049,0,1.213,0,1.965,0,0.64,0,0,2.604
YMR106C,0.078868161,0.100957825,9,8.348585491,2.552838715,0.374483792,0.456430007,11,8.5,3.206729253,0.275474703,0.340556642,10.14678899,8.096455088,14.12003809,0.141457876,0.174491246,10.04892966,8.354280637,11.5646331,3.171871167,0.274273394,13.766,6.193,5.426,8.114,12.994,13.132,16.417,9.815,12.474,14.35,16.722,8.324,6.653,7.887,10.39,12.681,17.506,10.063,13.838,14.476
YBR202W,0.001819253,0.004151142,9,7.982058735,23.50236665,1.07E-07,2.86E-06,11,7.5,28.48049338,0.003502531,0.045989133,10.63461538,7.742055358,77.4830335,2.88E-10,4.62E-09,10.21153846,7.788753049,53.27889735,31.24956024,0.586527909,24.788,16.41,30.161,40.897,65.337,66.143,70.365,83.254,83.65,64.058,45.981,16.353,20.284,28.764,47.828,63.333,69.518,98.935,66.008,64.814
YKL052C,0.00060301,0.001970513,9,4.552799249,11.96626394,3.19E-06,2.15E-05,10,4,11.28577778,0.010803697,0.046079132,10.14678899,3.382983308,69.91653084,6.81E-09,3.82E-08,9.71559633,4.006735722,61.18303429,14.11655071,0.230726555,62.46,55.963,78.698,83.743,63.17,59.809,58.928,47.366,43.115,50.958,64.09,62.356,65.285,80.636,69.675,70.77,53.893,49.004,45.492,54.261
YPL259C,0.00283468,0.005656459,9,8.847100587,10.2558814,0.001148248,0.002528864,12,9,13.6317813,0.019104906,0.051163139,10.38497653,8.232224085,63.34229166,9.65E-06,2.04E-05,10.46165884,8.756052497,52.19701764,12.68760314,0.243071419,56.183,38.899,39.319,42.517,49.066,54.183,57.062,58.574,69.134,69.807,62.495,34.516,40.287,39.401,51.032,45.229,53.13,57.007,63.084,57.147
YIR020C,0.01363467,0.020948587,9,0.828659737,2.755984875,1,1,11,0,3.531114489,0.353305875,0.417518572,10.14678899,9.680939049,13.3411846,0.099088372,0.125506485,10.04892966,0.149600328,10.90387726,2.922836105,0.268054751,16.53,10.419,9.655,10.992,8.336,12.624,12.127,7.123,14.581,16.558,16.784,8.155,6.749,9.723,5.163,8.313,10.683,9.475,11.729,12.073
YKL140W,0.327786221,0.364550068,9,4.086742118,4.445340534,0.108852698,0.150651153,5,1,5.764688034,0.340287746,0.405334016,4.9375,3.049435829,60.9965937,0.183825083,0.222504114,6.3125,2.769898762,55.59400581,1.783645251,0.032083409,73.379,61.075,59.049,51.836,64.524,64.176,62.109,29.187,55.336,56.522,63.419,60.941,56.028,57.68,58.674,59.993,43.883,40.978,42.076,51.315
YFL050C,0.000132883,0.00082526,9,8.395884171,3.600073264,0.000132863,0.000392829,11,8.5,3.660338253,0.008029251,0.045989133,9.701754386,8.108200308,16.77317688,3.98E-08,1.52E-07,9.900584795,8.381898985,13.25934611,4.164987972,0.314117147,12.64,9.146,9.33,10.446,13.224,14.86,14.913,17.297,18.174,15.58,15.57,9.928,9.692,8.824,10.503,13.563,17.116,18.17,14.936,11.464
YER087C-A,0.093865565,0.118159729,9,4.965483886,0.179746183,1,1,7,5.5,0.176776695,0.829841798,0.860109584,8.573643411,4.427289329,0.587836601,0.530440804,0.586005337,8.19121447,4.984938297,0.363970344,0.154686902,0.154686902,0.135,0.293,0.16,0.385,0.571,0.277,0.283,0.372,0.561,0,0.667,0.172,0.771,0.987,0.499,0.19,0.325,0,0.443,0
