ID	Translation_number	Protein_halflive	mRNA_halflive
ENSMUST00000113356	867.5033223	20.5	3.61
ENSMUST00000085306	867.5033223	20.5	3.61
ENSMUST00000058524	2968.799107	30.18	3.62
ENSMUST00000039007	290.9877676	110.42	3.64
ENSMUST00000032843	1001.492063	26.47	3.65
ENSMUST00000032719	227.127193	7.88	3.66
ENSMUST00000053033	76.96789883	8.89	3.66
ENSMUST00000116375	1138.864917	48.58	3.67
ENSMUST00000048788	453.6848907	51.9	3.67
ENSMUST00000094161	46.28577044	4.59	3.69
ENSMUST00000106317	29107.34703	92.81	3.69
ENSMUST00000106321	29107.34703	92.81	3.69
ENSMUST00000056458	29107.34703	92.81	3.69
ENSMUST00000106318	29107.34703	92.81	3.69
ENSMUST00000106319	29107.34703	92.81	3.69
ENSMUST00000097981	3354.984028	103.51	3.69
ENSMUST00000042450	1828.467787	124.9	3.69
ENSMUST00000102899	318.3484518	20.4	3.7
ENSMUST00000015920	318.3484518	20.4	3.7
ENSMUST00000022536	572.805383	48.99	3.71
ENSMUST00000089950	750.1119067	25.17	3.72
ENSMUST00000069318	750.1119067	25.17	3.72
ENSMUST00000042734	1659.174825	25.97	3.72
ENSMUST00000022099	234.1669841	35.8	3.72
ENSMUST00000023165	18.0238764	58.6	3.72
ENSMUST00000080297	18.0238764	58.6	3.72
ENSMUST00000034775	60.06001622	6.12	3.73
ENSMUST00000022614	407.9700176	70.07	3.73
ENSMUST00000007921	1637.662021	21.93	3.76
ENSMUST00000109098	1637.662021	21.93	3.76
ENSMUST00000093883	152.849667	12.86	3.78
ENSMUST00000111061	152.849667	12.86	3.78
ENSMUST00000028536	152.849667	12.86	3.78
ENSMUST00000067384	166.2805681	4.8	3.79
ENSMUST00000035121	4.818273261	12.58	3.79
ENSMUST00000053407	79.65591398	30.47	3.79
ENSMUST00000051870	197.7084378	14.32	3.8
ENSMUST00000042054	163.9395973	6.88	3.81
ENSMUST00000050684	163.9395973	6.88	3.81
ENSMUST00000021991	120.6677596	8.77	3.81
ENSMUST00000023099	750.1119067	9.13	3.81
ENSMUST00000109226	750.1119067	23.15	3.81
ENSMUST00000043867	1189.332137	26.48	3.81
ENSMUST00000048305	1054.999031	71.19	3.81
ENSMUST00000050850	422.0116618	18.2	3.82
ENSMUST00000107366	422.0116618	18.2	3.82
ENSMUST00000055303	122.4533469	24.28	3.82
ENSMUST00000112031	122.4533469	24.28	3.82
ENSMUST00000021379	807.9642346	94.83	3.83
ENSMUST00000055984	312.7028479	21.01	3.84
ENSMUST00000032477	689.5009363	28.62	3.84
ENSMUST00000040914	671167.9838	56.98	3.85
ENSMUST00000087867	851.6946827	28.99	3.87
ENSMUST00000109961	911.911834	48.62	3.87
ENSMUST00000047177	911.911834	48.62	3.87
ENSMUST00000021380	1381.621423	86.68	3.87
ENSMUST00000110801	639.5164835	169.17	3.88
ENSMUST00000028768	639.5164835	169.17	3.88
ENSMUST00000110802	639.5164835	169.17	3.88
ENSMUST00000076991	58.44520548	10.95	3.89
ENSMUST00000022121	177.1610526	11.04	3.89
ENSMUST00000070886	177.1610526	11.04	3.89
ENSMUST00000111644	750.1119067	22.85	3.89
ENSMUST00000001675	750.1119067	22.85	3.89
ENSMUST00000027271	4219.622951	340.39	3.89
ENSMUST00000018716	41.78425656	7	3.9
ENSMUST00000075249	16.89308176	8.71	3.9
ENSMUST00000101279	16.89308176	8.71	3.9
ENSMUST00000034543	181.2410526	21.74	3.9
ENSMUST00000051301	8304.977941	420	3.9
ENSMUST00000035532	250.3880126	41.08	3.91
ENSMUST00000055518	250.3880126	41.08	3.91
ENSMUST00000087210	556.0187062	18.7	3.92
ENSMUST00000087211	556.0187062	18.7	3.92
ENSMUST00000113322	56.34257813	18.95	3.92
